onset	duration	conditions
9613	2000	global incongruent
16476	2000	global congruent
22340	2000	global congruent
26172	2000	global incongruent
31003	2000	local congruent
36800	2000	global congruent
41631	2000	local incongruent
45446	2000	local congruent
50278	2000	global incongruent
55076	2000	local incongruent
60906	2000	local congruent
66854	2000	local incongruent
73567	2000	local congruent
79415	2000	global incongruent
86228	2000	global incongruent
91026	2000	local incongruent
96857	2000	local congruent
100639	2000	global congruent
107452	2000	local incongruent
113183	2000	local incongruent
119997	2000	global congruent
126827	2000	local incongruent
131658	2000	local congruent
138655	2000	global incongruent
143470	2000	global congruent
150334	2000	global incongruent
155031	2000	global incongruent
158880	2000	global congruent
164744	2000	local congruent
170458	2000	global congruent
175289	2000	global congruent
180120	2000	global congruent
183818	2000	global incongruent
189599	2000	local incongruent
195447	2000	global incongruent
199378	2000	local congruent
204143	2000	global incongruent
207991	2000	local incongruent
214821	2000	local congruent
218820	2000	local incongruent
222651	2000	global congruent
229498	2000	global congruent
236279	2000	local incongruent
240077	2000	local incongruent
244925	2000	local congruent
251822	2000	local congruent
255670	2000	local congruent
259468	2000	global incongruent
