onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	1.712	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
7.111	0.57	n/a	boundary	n/a	n/a	n/a
8.899	1.07	n/a	boundary	n/a	n/a	n/a
9.545	1.07	n/a	boundary	n/a	n/a	n/a
12.155	0.82	n/a	boundary	n/a	n/a	n/a
13.371	0.82	n/a	boundary	n/a	n/a	n/a
16.803	0.82	n/a	boundary	n/a	n/a	n/a
18.593	0.498	n/a	boundary	n/a	n/a	n/a
27.199	1.32	n/a	boundary	n/a	n/a	n/a
29.351	0.82	n/a	boundary	n/a	n/a	n/a
30.619	1	n/a	boundary	n/a	n/a	n/a
32.605	0.892	n/a	boundary	n/a	n/a	n/a
39.789	0.498	n/a	boundary	n/a	n/a	n/a
45.829	1.962	n/a	boundary	n/a	n/a	n/a
53.335	0.57	n/a	boundary	n/a	n/a	n/a
60.769	0.57	n/a	boundary	n/a	n/a	n/a
61.021	0.82	n/a	boundary	n/a	n/a	n/a
62.167	0.64	n/a	boundary	n/a	n/a	n/a
70.173	0.82	n/a	boundary	n/a	n/a	n/a
73.605	1.392	n/a	boundary	n/a	n/a	n/a
75.965	1.392	n/a	boundary	n/a	n/a	n/a
79.147	0.82	n/a	boundary	n/a	n/a	n/a
84.043	0.82	n/a	boundary	n/a	n/a	n/a
88.941	0.498	n/a	boundary	n/a	n/a	n/a
89.263	0.57	n/a	boundary	n/a	n/a	n/a
91.303	0.82	n/a	boundary	n/a	n/a	n/a
93.591	1.392	n/a	boundary	n/a	n/a	n/a
93.663	0.82	n/a	boundary	n/a	n/a	n/a
96.845	0.498	n/a	boundary	n/a	n/a	n/a
98.563	0.32	n/a	boundary	n/a	n/a	n/a
99.707	0.57	n/a	boundary	n/a	n/a	n/a
108.857	0.57	n/a	boundary	n/a	n/a	n/a
110.323	1.392	n/a	boundary	n/a	n/a	n/a
112.039	0.82	n/a	boundary	n/a	n/a	n/a
124.619	1.712	n/a	boundary	n/a	n/a	n/a
126.981	1.64	n/a	boundary	n/a	n/a	n/a
133.593	0.57	n/a	boundary	n/a	n/a	n/a
143.637	0.498	n/a	boundary	n/a	n/a	n/a
147.639	0.32	n/a	boundary	n/a	n/a	n/a
148.213	0.32	n/a	boundary	n/a	n/a	n/a
148.465	1.142	n/a	boundary	n/a	n/a	n/a
151.647	1.07	n/a	boundary	n/a	n/a	n/a
169.121	0.57	n/a	boundary	n/a	n/a	n/a
170.015	0.82	n/a	boundary	n/a	n/a	n/a
170.379	6.762	n/a	boundary	n/a	n/a	n/a
170.739	3.64	n/a	boundary	n/a	n/a	n/a
186.485	0.57	n/a	boundary	n/a	n/a	n/a
187.106	n/a	n/a	S  1	Fixation	n/a	n/a
187.774	n/a	n/a	S101	CUE: 123	n/a	n/a
189.364	n/a	n/a	S 99	No Response	n/a	n/a
189.576	n/a	n/a	S199	FB: No Resp	n/a	n/a
190.66	n/a	n/a	S  1	Fixation	n/a	n/a
190.819	1.34	n/a	boundary	n/a	n/a	n/a
191.536	n/a	n/a	S 99	No Response	n/a	n/a
191.69	n/a	n/a	S199	FB: No Resp	n/a	n/a
192.579	0.32	n/a	boundary	n/a	n/a	n/a
193.114	n/a	n/a	S103	CUE: 213	n/a	n/a
193.954	n/a	n/a	S  4	Up Button	n/a	n/a
194.226	n/a	n/a	S201	FB: Win	n/a	n/a
195.304	n/a	n/a	S  1	Fixation	n/a	n/a
195.367	0.57	n/a	boundary	n/a	n/a	n/a
195.396	n/a	n/a	S103	CUE: 213	n/a	n/a
196.244	n/a	n/a	S  4	Up Button	n/a	n/a
196.518	n/a	n/a	S201	FB: Win	n/a	n/a
197.604	n/a	n/a	S  1	Fixation	n/a	n/a
198.299	1.07	n/a	boundary	n/a	n/a	n/a
198.634	n/a	n/a	S  2	Right Button	n/a	n/a
198.99	n/a	n/a	S200	FB: Loss	n/a	n/a
200.07	n/a	n/a	S  1	Fixation	n/a	n/a
200.75	n/a	n/a	S103	CUE: 213	n/a	n/a
202.038	n/a	n/a	S  3	Left Button	n/a	n/a
202.362	n/a	n/a	S200	FB: Loss	n/a	n/a
202.945	0.57	n/a	boundary	n/a	n/a	n/a
203.59	n/a	n/a	S101	CUE: 123	n/a	n/a
204.548	n/a	n/a	S  2	Right Button	n/a	n/a
204.722	n/a	n/a	S200	FB: Loss	n/a	n/a
205.804	n/a	n/a	S  1	Fixation	n/a	n/a
206.526	n/a	n/a	S105	CUE: 312	n/a	n/a
207.696	n/a	n/a	S  4	Up Button	n/a	n/a
207.99	n/a	n/a	S200	FB: Loss	n/a	n/a
208.093	0.82	n/a	boundary	n/a	n/a	n/a
208.254	n/a	n/a	S  1	Fixation	n/a	n/a
208.964	n/a	n/a	S102	CUE: 132	n/a	n/a
210.076	n/a	n/a	S  3	Left Button	n/a	n/a
210.23	n/a	n/a	S201	FB: Win	n/a	n/a
211.306	n/a	n/a	S  1	Fixation	n/a	n/a
212.038	n/a	n/a	S106	CUE: 321	n/a	n/a
213.636	n/a	n/a	S 99	No Response	n/a	n/a
213.811	0.82	n/a	boundary	n/a	n/a	n/a
214.135	0.82	n/a	boundary	n/a	n/a	n/a
214.6	n/a	n/a	S  2	Right Button	n/a	n/a
214.954	n/a	n/a	S200	FB: Loss	n/a	n/a
216.038	n/a	n/a	S  1	Fixation	n/a	n/a
216.788	n/a	n/a	S101	CUE: 123	n/a	n/a
217.067	2.534	n/a	boundary	n/a	n/a	n/a
217.806	n/a	n/a	S  3	Left Button	n/a	n/a
217.97	n/a	n/a	S201	FB: Win	n/a	n/a
219.04	n/a	n/a	S  1	Fixation	n/a	n/a
219.752	n/a	n/a	S102	CUE: 132	n/a	n/a
221.142	n/a	n/a	S  4	Up Button	n/a	n/a
221.366	n/a	n/a	S200	FB: Loss	n/a	n/a
222.444	n/a	n/a	S  1	Fixation	n/a	n/a
223.134	n/a	n/a	S103	CUE: 213	n/a	n/a
224.19	n/a	n/a	S  2	Right Button	n/a	n/a
224.374	n/a	n/a	S200	FB: Loss	n/a	n/a
225.446	n/a	n/a	S  1	Fixation	n/a	n/a
226.098	n/a	n/a	S103	CUE: 213	n/a	n/a
227.126	n/a	n/a	S  4	Up Button	n/a	n/a
227.41	n/a	n/a	S201	FB: Win	n/a	n/a
227.681	0.57	n/a	boundary	n/a	n/a	n/a
227.912	n/a	n/a	S  1	Fixation	n/a	n/a
228.652	n/a	n/a	S101	CUE: 123	n/a	n/a
229.668	n/a	n/a	S  3	Left Button	n/a	n/a
229.95	n/a	n/a	S200	FB: Loss	n/a	n/a
231.03	n/a	n/a	S  1	Fixation	n/a	n/a
231.792	n/a	n/a	S103	CUE: 213	n/a	n/a
232.8	n/a	n/a	S  2	Right Button	n/a	n/a
233.134	n/a	n/a	S200	FB: Loss	n/a	n/a
234.216	n/a	n/a	S  1	Fixation	n/a	n/a
235.038	n/a	n/a	S103	CUE: 213	n/a	n/a
235.716	n/a	n/a	S  3	Left Button	n/a	n/a
235.94	n/a	n/a	S201	FB: Win	n/a	n/a
237.018	n/a	n/a	S  1	Fixation	n/a	n/a
