onset	duration	sample	value	trial_type	response_time	stim_file
237.87	n/a	n/a	S105	CUE: 312	n/a	n/a
238.884	n/a	n/a	S  4	Up Button	n/a	n/a
239.058	n/a	n/a	S200	FB: Loss	n/a	n/a
240.138	n/a	n/a	S  1	Fixation	n/a	n/a
240.808	n/a	n/a	S102	CUE: 132	n/a	n/a
241.708	n/a	n/a	S  3	Left Button	n/a	n/a
242.02	n/a	n/a	S200	FB: Loss	n/a	n/a
243.106	n/a	n/a	S  1	Fixation	n/a	n/a
243.848	n/a	n/a	S106	CUE: 321	n/a	n/a
244.276	n/a	n/a	S  2	Right Button	n/a	n/a
244.448	n/a	n/a	S201	FB: Win	n/a	n/a
245.526	n/a	n/a	S  1	Fixation	n/a	n/a
246.206	n/a	n/a	S102	CUE: 132	n/a	n/a
247.388	n/a	n/a	S  4	Up Button	n/a	n/a
247.59	n/a	n/a	S201	FB: Win	n/a	n/a
248.678	n/a	n/a	S  1	Fixation	n/a	n/a
249.508	n/a	n/a	S105	CUE: 312	n/a	n/a
251.062	n/a	n/a	S 99	No Response	n/a	n/a
251.304	n/a	n/a	S199	FB: No Resp	n/a	n/a
251.695	0.818	n/a	boundary	n/a	n/a	n/a
252.314	n/a	n/a	S103	CUE: 213	n/a	n/a
252.97	n/a	n/a	S  4	Up Button	n/a	n/a
253.172	n/a	n/a	S201	FB: Win	n/a	n/a
254.248	n/a	n/a	S  1	Fixation	n/a	n/a
254.898	n/a	n/a	S106	CUE: 321	n/a	n/a
255.738	n/a	n/a	S  3	Left Button	n/a	n/a
255.9	n/a	n/a	S201	FB: Win	n/a	n/a
256.984	n/a	n/a	S  1	Fixation	n/a	n/a
257.684	n/a	n/a	S102	CUE: 132	n/a	n/a
258.45	n/a	n/a	S  4	Up Button	n/a	n/a
258.752	n/a	n/a	S200	FB: Loss	n/a	n/a
259.836	n/a	n/a	S  1	Fixation	n/a	n/a
260.496	n/a	n/a	S106	CUE: 321	n/a	n/a
260.93	n/a	n/a	S  2	Right Button	n/a	n/a
261.252	n/a	n/a	S201	FB: Win	n/a	n/a
262.338	n/a	n/a	S  1	Fixation	n/a	n/a
262.998	n/a	n/a	S105	CUE: 312	n/a	n/a
263.742	n/a	n/a	S  4	Up Button	n/a	n/a
264.024	n/a	n/a	S200	FB: Loss	n/a	n/a
265.106	n/a	n/a	S  1	Fixation	n/a	n/a
265.858	n/a	n/a	S103	CUE: 213	n/a	n/a
266.474	n/a	n/a	S  3	Left Button	n/a	n/a
266.726	n/a	n/a	S201	FB: Win	n/a	n/a
267.808	n/a	n/a	S  1	Fixation	n/a	n/a
268.46	n/a	n/a	S101	CUE: 123	n/a	n/a
269.684	n/a	n/a	S  3	Left Button	n/a	n/a
269.719	2.16	n/a	boundary	n/a	n/a	n/a
270.04	n/a	n/a	S  4	Up Button	n/a	n/a
270.324	n/a	n/a	S201	FB: Win	n/a	n/a
271.402	n/a	n/a	S  1	Fixation	n/a	n/a
272.224	n/a	n/a	S102	CUE: 132	n/a	n/a
273.7	n/a	n/a	S  2	Right Button	n/a	n/a
273.934	n/a	n/a	S201	FB: Win	n/a	n/a
275.022	n/a	n/a	S  1	Fixation	n/a	n/a
275.734	n/a	n/a	S106	CUE: 321	n/a	n/a
276.748	n/a	n/a	S  4	Up Button	n/a	n/a
276.902	n/a	n/a	S200	FB: Loss	n/a	n/a
277.974	n/a	n/a	S  1	Fixation	n/a	n/a
278.776	n/a	n/a	S103	CUE: 213	n/a	n/a
279.2	n/a	n/a	S  3	Left Button	n/a	n/a
279.414	n/a	n/a	S201	FB: Win	n/a	n/a
280.492	n/a	n/a	S  1	Fixation	n/a	n/a
280.981	1.142	n/a	boundary	n/a	n/a	n/a
281.394	n/a	n/a	S  2	Right Button	n/a	n/a
281.578	n/a	n/a	S201	FB: Win	n/a	n/a
282.654	n/a	n/a	S  1	Fixation	n/a	n/a
283.384	n/a	n/a	S105	CUE: 312	n/a	n/a
283.806	n/a	n/a	S  4	Up Button	n/a	n/a
283.96	n/a	n/a	S200	FB: Loss	n/a	n/a
285.038	n/a	n/a	S  1	Fixation	n/a	n/a
285.88	n/a	n/a	S103	CUE: 213	n/a	n/a
286.282	n/a	n/a	S  3	Left Button	n/a	n/a
286.476	n/a	n/a	S201	FB: Win	n/a	n/a
287.558	n/a	n/a	S  1	Fixation	n/a	n/a
287.759	1	n/a	boundary	n/a	n/a	n/a
287.886	n/a	n/a	S  3	Left Button	n/a	n/a
287.987	1.14	n/a	boundary	n/a	n/a	n/a
288.052	n/a	n/a	S  1	Fixation	n/a	n/a
288.784	n/a	n/a	S101	CUE: 123	n/a	n/a
289.406	n/a	n/a	S  2	Right Button	n/a	n/a
289.68	n/a	n/a	S201	FB: Win	n/a	n/a
290.754	n/a	n/a	S  1	Fixation	n/a	n/a
291.566	n/a	n/a	S106	CUE: 321	n/a	n/a
292.274	n/a	n/a	S  4	Up Button	n/a	n/a
292.588	n/a	n/a	S200	FB: Loss	n/a	n/a
293.674	n/a	n/a	S  1	Fixation	n/a	n/a
294.364	n/a	n/a	S106	CUE: 321	n/a	n/a
295.018	n/a	n/a	S  4	Up Button	n/a	n/a
295.282	n/a	n/a	S201	FB: Win	n/a	n/a
296.358	n/a	n/a	S  1	Fixation	n/a	n/a
297.06	n/a	n/a	S104	CUE: 231	n/a	n/a
298.046	n/a	n/a	S  4	Up Button	n/a	n/a
298.2	n/a	n/a	S201	FB: Win	n/a	n/a
299.278	n/a	n/a	S  1	Fixation	n/a	n/a
300.13	n/a	n/a	S105	CUE: 312	n/a	n/a
301.242	n/a	n/a	S  3	Left Button	n/a	n/a
301.516	n/a	n/a	S201	FB: Win	n/a	n/a
302.596	n/a	n/a	S  1	Fixation	n/a	n/a
303.348	n/a	n/a	S104	CUE: 231	n/a	n/a
304.034	n/a	n/a	S  4	Up Button	n/a	n/a
304.388	n/a	n/a	S201	FB: Win	n/a	n/a
305.466	n/a	n/a	S  1	Fixation	n/a	n/a
306.168	n/a	n/a	S101	CUE: 123	n/a	n/a
307.734	n/a	n/a	S 99	No Response	n/a	n/a
307.926	n/a	n/a	S199	FB: No Resp	n/a	n/a
309.002	n/a	n/a	S  1	Fixation	n/a	n/a
309.854	n/a	n/a	S106	CUE: 321	n/a	n/a
310.574	n/a	n/a	S  2	Right Button	n/a	n/a
310.788	n/a	n/a	S201	FB: Win	n/a	n/a
311.87	n/a	n/a	S  1	Fixation	n/a	n/a
312.712	n/a	n/a	S102	CUE: 132	n/a	n/a
313.442	n/a	n/a	S  4	Up Button	n/a	n/a
313.606	n/a	n/a	S200	FB: Loss	n/a	n/a
314.69	n/a	n/a	S  1	Fixation	n/a	n/a
315.42	n/a	n/a	S106	CUE: 321	n/a	n/a
316.486	n/a	n/a	S  3	Left Button	n/a	n/a
316.67	n/a	n/a	S201	FB: Win	n/a	n/a
317.742	n/a	n/a	S  1	Fixation	n/a	n/a
318.494	n/a	n/a	S104	CUE: 231	n/a	n/a
319.482	n/a	n/a	S  4	Up Button	n/a	n/a
319.826	n/a	n/a	S201	FB: Win	n/a	n/a
320.91	n/a	n/a	S  1	Fixation	n/a	n/a
321.602	n/a	n/a	S105	CUE: 312	n/a	n/a
322.662	n/a	n/a	S  3	Left Button	n/a	n/a
323.016	n/a	n/a	S201	FB: Win	n/a	n/a
324.096	n/a	n/a	S  1	Fixation	n/a	n/a
324.938	n/a	n/a	S104	CUE: 231	n/a	n/a
325.79	n/a	n/a	S  4	Up Button	n/a	n/a
325.954	n/a	n/a	S200	FB: Loss	n/a	n/a
327.032	n/a	n/a	S  1	Fixation	n/a	n/a
327.724	n/a	n/a	S104	CUE: 231	n/a	n/a
328.406	n/a	n/a	S  4	Up Button	n/a	n/a
328.71	n/a	n/a	S201	FB: Win	n/a	n/a
329.784	n/a	n/a	S  1	Fixation	n/a	n/a
330.606	n/a	n/a	S105	CUE: 312	n/a	n/a
331.438	n/a	n/a	S  3	Left Button	n/a	n/a
331.702	n/a	n/a	S201	FB: Win	n/a	n/a
332.786	n/a	n/a	S  1	Fixation	n/a	n/a
333.578	n/a	n/a	S103	CUE: 213	n/a	n/a
334.358	n/a	n/a	S  3	Left Button	n/a	n/a
334.612	n/a	n/a	S200	FB: Loss	n/a	n/a
335.688	n/a	n/a	S  1	Fixation	n/a	n/a
336.36	n/a	n/a	S105	CUE: 312	n/a	n/a
336.958	n/a	n/a	S  4	Up Button	n/a	n/a
337.155	0.892	n/a	boundary	n/a	n/a	n/a
337.348	n/a	n/a	S  1	Fixation	n/a	n/a
338.01	n/a	n/a	S102	CUE: 132	n/a	n/a
339.366	n/a	n/a	S  3	Left Button	n/a	n/a
339.65	n/a	n/a	S201	FB: Win	n/a	n/a
340.734	n/a	n/a	S  1	Fixation	n/a	n/a
341.486	n/a	n/a	S103	CUE: 213	n/a	n/a
343.052	n/a	n/a	S 99	No Response	n/a	n/a
343.406	n/a	n/a	S199	FB: No Resp	n/a	n/a
343.695	0.82	n/a	boundary	n/a	n/a	n/a
344.45	n/a	n/a	S101	CUE: 123	n/a	n/a
345.322	n/a	n/a	S  2	Right Button	n/a	n/a
345.506	n/a	n/a	S201	FB: Win	n/a	n/a
346.586	n/a	n/a	S  1	Fixation	n/a	n/a
347.308	n/a	n/a	S105	CUE: 312	n/a	n/a
347.922	n/a	n/a	S  3	Left Button	n/a	n/a
348.086	n/a	n/a	S201	FB: Win	n/a	n/a
349.172	n/a	n/a	S  1	Fixation	n/a	n/a
349.944	n/a	n/a	S104	CUE: 231	n/a	n/a
350.87	n/a	n/a	S  4	Up Button	n/a	n/a
351.024	n/a	n/a	S201	FB: Win	n/a	n/a
352.108	n/a	n/a	S  1	Fixation	n/a	n/a
352.343	0.82	n/a	boundary	n/a	n/a	n/a
352.718	n/a	n/a	S  3	Left Button	n/a	n/a
352.902	n/a	n/a	S200	FB: Loss	n/a	n/a
353.972	n/a	n/a	S  1	Fixation	n/a	n/a
354.684	n/a	n/a	S104	CUE: 231	n/a	n/a
355.43	n/a	n/a	S  4	Up Button	n/a	n/a
355.774	n/a	n/a	S201	FB: Win	n/a	n/a
355.775	0.82	n/a	boundary	n/a	n/a	n/a
356.038	n/a	n/a	S  1	Fixation	n/a	n/a
356.78	n/a	n/a	S106	CUE: 321	n/a	n/a
357.458	n/a	n/a	S  2	Right Button	n/a	n/a
357.812	n/a	n/a	S200	FB: Loss	n/a	n/a
358.89	n/a	n/a	S  1	Fixation	n/a	n/a
359.722	n/a	n/a	S101	CUE: 123	n/a	n/a
360.062	n/a	n/a	S  4	Up Button	n/a	n/a
360.386	n/a	n/a	S200	FB: Loss	n/a	n/a
361.46	n/a	n/a	S  1	Fixation	n/a	n/a
362.13	n/a	n/a	S105	CUE: 312	n/a	n/a
362.518	n/a	n/a	S  2	Right Button	n/a	n/a
362.862	n/a	n/a	S201	FB: Win	n/a	n/a
363.944	n/a	n/a	S  1	Fixation	n/a	n/a
364.756	n/a	n/a	S104	CUE: 231	n/a	n/a
365.542	n/a	n/a	S  4	Up Button	n/a	n/a
365.817	0.82	n/a	boundary	n/a	n/a	n/a
366.144	n/a	n/a	S  1	Fixation	n/a	n/a
366.319	1	n/a	boundary	n/a	n/a	n/a
366.566	n/a	n/a	S  2	Right Button	n/a	n/a
366.76	n/a	n/a	S201	FB: Win	n/a	n/a
367.846	n/a	n/a	S  1	Fixation	n/a	n/a
368.606	n/a	n/a	S102	CUE: 132	n/a	n/a
369.63	n/a	n/a	S  4	Up Button	n/a	n/a
369.814	n/a	n/a	S201	FB: Win	n/a	n/a
370.898	n/a	n/a	S  1	Fixation	n/a	n/a
371.66	n/a	n/a	S103	CUE: 213	n/a	n/a
372.534	n/a	n/a	S  3	Left Button	n/a	n/a
372.848	n/a	n/a	S201	FB: Win	n/a	n/a
373.934	n/a	n/a	S  1	Fixation	n/a	n/a
374.604	n/a	n/a	S101	CUE: 123	n/a	n/a
375.818	n/a	n/a	S  3	Left Button	n/a	n/a
376.052	n/a	n/a	S200	FB: Loss	n/a	n/a
376.897	0.82	n/a	boundary	n/a	n/a	n/a
377.058	n/a	n/a	S102	CUE: 132	n/a	n/a
378.05	n/a	n/a	S  4	Up Button	n/a	n/a
378.314	n/a	n/a	S201	FB: Win	n/a	n/a
379.386	n/a	n/a	S  1	Fixation	n/a	n/a
380.236	n/a	n/a	S105	CUE: 312	n/a	n/a
381.446	n/a	n/a	S  3	Left Button	n/a	n/a
381.61	n/a	n/a	S201	FB: Win	n/a	n/a
382.688	n/a	n/a	S  1	Fixation	n/a	n/a
383.468	n/a	n/a	S104	CUE: 231	n/a	n/a
384.214	n/a	n/a	S  4	Up Button	n/a	n/a
384.528	n/a	n/a	S201	FB: Win	n/a	n/a
385.606	n/a	n/a	S  1	Fixation	n/a	n/a
386.278	n/a	n/a	S101	CUE: 123	n/a	n/a
386.958	n/a	n/a	S  3	Left Button	n/a	n/a
387.282	n/a	n/a	S201	FB: Win	n/a	n/a
388.358	n/a	n/a	S  1	Fixation	n/a	n/a
389.14	n/a	n/a	S102	CUE: 132	n/a	n/a
389.93	n/a	n/a	S  3	Left Button	n/a	n/a
390.104	n/a	n/a	S201	FB: Win	n/a	n/a
391.178	n/a	n/a	S  1	Fixation	n/a	n/a
391.858	n/a	n/a	S103	CUE: 213	n/a	n/a
393.428	n/a	n/a	S 99	No Response	n/a	n/a
393.732	n/a	n/a	S199	FB: No Resp	n/a	n/a
394.814	n/a	n/a	S  1	Fixation	n/a	n/a
395.614	n/a	n/a	S102	CUE: 132	n/a	n/a
397.18	n/a	n/a	S 99	No Response	n/a	n/a
397.464	n/a	n/a	S199	FB: No Resp	n/a	n/a
398.55	n/a	n/a	S  1	Fixation	n/a	n/a
399.382	n/a	n/a	S105	CUE: 312	n/a	n/a
399.842	n/a	n/a	S  4	Up Button	n/a	n/a
400.014	n/a	n/a	S201	FB: Win	n/a	n/a
401.102	n/a	n/a	S  1	Fixation	n/a	n/a
401.882	n/a	n/a	S102	CUE: 132	n/a	n/a
402.53	n/a	n/a	S  3	Left Button	n/a	n/a
402.804	n/a	n/a	S200	FB: Loss	n/a	n/a
403.517	0.57	n/a	boundary	n/a	n/a	n/a
411.656	n/a	n/a	S  1	Fixation	n/a	n/a
412.338	n/a	n/a	S105	CUE: 312	n/a	n/a
412.345	0.82	n/a	boundary	n/a	n/a	n/a
413.07	n/a	n/a	S 99	No Response	n/a	n/a
413.364	n/a	n/a	S199	FB: No Resp	n/a	n/a
413.811	0.82	n/a	boundary	n/a	n/a	n/a
414.402	n/a	n/a	S106	CUE: 321	n/a	n/a
415.62	n/a	n/a	S  2	Right Button	n/a	n/a
415.854	n/a	n/a	S201	FB: Win	n/a	n/a
416.938	n/a	n/a	S  1	Fixation	n/a	n/a
417.79	n/a	n/a	S103	CUE: 213	n/a	n/a
418.66	n/a	n/a	S  2	Right Button	n/a	n/a
419.012	n/a	n/a	S200	FB: Loss	n/a	n/a
420.092	n/a	n/a	S  1	Fixation	n/a	n/a
420.882	n/a	n/a	S102	CUE: 132	n/a	n/a
421.3	n/a	n/a	S  3	Left Button	n/a	n/a
421.502	n/a	n/a	S201	FB: Win	n/a	n/a
422.576	n/a	n/a	S  1	Fixation	n/a	n/a
423.248	n/a	n/a	S102	CUE: 132	n/a	n/a
424.304	n/a	n/a	S  3	Left Button	n/a	n/a
424.566	n/a	n/a	S201	FB: Win	n/a	n/a
425.646	n/a	n/a	S  1	Fixation	n/a	n/a
426.306	n/a	n/a	S104	CUE: 231	n/a	n/a
427.283	0.57	n/a	boundary	n/a	n/a	n/a
427.446	n/a	n/a	S201	FB: Win	n/a	n/a
428.528	n/a	n/a	S  1	Fixation	n/a	n/a
429.19	n/a	n/a	S101	CUE: 123	n/a	n/a
430.746	n/a	n/a	S 99	No Response	n/a	n/a
431.088	n/a	n/a	S199	FB: No Resp	n/a	n/a
431.287	0.82	n/a	boundary	n/a	n/a	n/a
431.344	n/a	n/a	S  1	Fixation	n/a	n/a
432.006	n/a	n/a	S103	CUE: 213	n/a	n/a
433.254	n/a	n/a	S  2	Right Button	n/a	n/a
433.566	n/a	n/a	S200	FB: Loss	n/a	n/a
434.646	n/a	n/a	S  1	Fixation	n/a	n/a
435.428	n/a	n/a	S101	CUE: 123	n/a	n/a
436.066	n/a	n/a	S  3	Left Button	n/a	n/a
436.258	n/a	n/a	S200	FB: Loss	n/a	n/a
436.757	0.568	n/a	boundary	n/a	n/a	n/a
436.764	n/a	n/a	S  1	Fixation	n/a	n/a
437.556	n/a	n/a	S101	CUE: 123	n/a	n/a
438.016	n/a	n/a	S  4	Up Button	n/a	n/a
438.19	n/a	n/a	S200	FB: Loss	n/a	n/a
439.266	n/a	n/a	S  1	Fixation	n/a	n/a
440.118	n/a	n/a	S103	CUE: 213	n/a	n/a
441.36	n/a	n/a	S  3	Left Button	n/a	n/a
441.604	n/a	n/a	S200	FB: Loss	n/a	n/a
441.905	0.82	n/a	boundary	n/a	n/a	n/a
442.546	n/a	n/a	S101	CUE: 123	n/a	n/a
444.072	n/a	n/a	S  4	Up Button	n/a	n/a
444.386	n/a	n/a	S201	FB: Win	n/a	n/a
445.468	n/a	n/a	S  1	Fixation	n/a	n/a
446.19	n/a	n/a	S103	CUE: 213	n/a	n/a
446.832	n/a	n/a	S  4	Up Button	n/a	n/a
447.036	n/a	n/a	S200	FB: Loss	n/a	n/a
447.695	0.82	n/a	boundary	n/a	n/a	n/a
448.082	n/a	n/a	S106	CUE: 321	n/a	n/a
449.632	n/a	n/a	S  2	Right Button	n/a	n/a
449.984	n/a	n/a	S201	FB: Win	n/a	n/a
451.07	n/a	n/a	S  1	Fixation	n/a	n/a
451.832	n/a	n/a	S104	CUE: 231	n/a	n/a
452.76	n/a	n/a	S  4	Up Button	n/a	n/a
453.054	n/a	n/a	S200	FB: Loss	n/a	n/a
454.138	n/a	n/a	S  1	Fixation	n/a	n/a
454.84	n/a	n/a	S104	CUE: 231	n/a	n/a
455.52	n/a	n/a	S  4	Up Button	n/a	n/a
455.834	n/a	n/a	S200	FB: Loss	n/a	n/a
456.908	n/a	n/a	S  1	Fixation	n/a	n/a
457.628	n/a	n/a	S104	CUE: 231	n/a	n/a
458.184	n/a	n/a	S  3	Left Button	n/a	n/a
458.338	n/a	n/a	S201	FB: Win	n/a	n/a
459.41	n/a	n/a	S  1	Fixation	n/a	n/a
460.26	n/a	n/a	S105	CUE: 312	n/a	n/a
461.644	n/a	n/a	S  2	Right Button	n/a	n/a
461.908	n/a	n/a	S200	FB: Loss	n/a	n/a
462.996	n/a	n/a	S  1	Fixation	n/a	n/a
463.756	n/a	n/a	S106	CUE: 321	n/a	n/a
465.284	n/a	n/a	S  3	Left Button	n/a	n/a
465.438	n/a	n/a	S200	FB: Loss	n/a	n/a
466.514	n/a	n/a	S  1	Fixation	n/a	n/a
467.206	n/a	n/a	S103	CUE: 213	n/a	n/a
468.084	n/a	n/a	S  2	Right Button	n/a	n/a
468.268	n/a	n/a	S200	FB: Loss	n/a	n/a
469.35	n/a	n/a	S  1	Fixation	n/a	n/a
470.032	n/a	n/a	S106	CUE: 321	n/a	n/a
470.528	n/a	n/a	S  4	Up Button	n/a	n/a
470.882	n/a	n/a	S200	FB: Loss	n/a	n/a
471.97	n/a	n/a	S  1	Fixation	n/a	n/a
472.8	n/a	n/a	S105	CUE: 312	n/a	n/a
473.932	n/a	n/a	S  4	Up Button	n/a	n/a
474.206	n/a	n/a	S201	FB: Win	n/a	n/a
475.288	n/a	n/a	S  1	Fixation	n/a	n/a
475.99	n/a	n/a	S104	CUE: 231	n/a	n/a
476.888	n/a	n/a	S  2	Right Button	n/a	n/a
477.232	n/a	n/a	S201	FB: Win	n/a	n/a
478.308	n/a	n/a	S  1	Fixation	n/a	n/a
478.978	n/a	n/a	S104	CUE: 231	n/a	n/a
479.84	n/a	n/a	S  2	Right Button	n/a	n/a
480.154	n/a	n/a	S201	FB: Win	n/a	n/a
481.226	n/a	n/a	S  1	Fixation	n/a	n/a
481.948	n/a	n/a	S105	CUE: 312	n/a	n/a
483.256	n/a	n/a	S  3	Left Button	n/a	n/a
483.5	n/a	n/a	S200	FB: Loss	n/a	n/a
483.713	0.82	n/a	boundary	n/a	n/a	n/a
483.758	n/a	n/a	S  1	Fixation	n/a	n/a
484.42	n/a	n/a	S103	CUE: 213	n/a	n/a
485.016	n/a	n/a	S  2	Right Button	n/a	n/a
485.28	n/a	n/a	S200	FB: Loss	n/a	n/a
486.36	n/a	n/a	S  1	Fixation	n/a	n/a
487.092	n/a	n/a	S103	CUE: 213	n/a	n/a
487.456	n/a	n/a	S  4	Up Button	n/a	n/a
