onset	duration	trial	value	instruction
8193	8	1	2	task
16149	7	1	3	interval
23062	5	2	1	rest
28172	8	2	2	task
36132	7	2	3	interval
43078	5	3	1	rest
48178	8	3	2	task
56153	7	3	3	interval
63082	5	4	1	rest
68188	8	4	2	task
76144	7	4	3	interval
83084	5	5	1	rest
88190	8	5	2	task
96151	7	5	3	interval
103087	5	6	1	rest
108194	8	6	2	task
116150	7	6	3	interval
123392	5	7	1	rest
128202	8	7	2	task
136156	7	7	3	interval
143094	5	8	1	rest
148200	8	8	2	task
156161	12	8	3	interval
168208	8	9	1	rest
176186	7	9	2	task
183100	5	9	3	interval
188204	8	10	1	rest
196168	7	10	2	task
203107	5	10	3	interval
208210	8	11	1	rest
216171	7	11	2	task
223117	5	11	3	interval
228213	8	12	1	rest
236175	7	12	2	task
243153	5	12	3	interval
248209	8	13	1	rest
256170	7	13	2	task
263113	5	13	3	interval
268219	8	14	1	rest
276175	7	14	2	task
283116	5	14	3	interval
288213	8	15	1	rest
296173	7	15	2	task
303119	5	15	3	interval
308221	8	16	1	rest
316180	7	16	2	task
323135	5	16	3	interval
328237	8	17	1	rest
336180	7	17	2	task
343118	5	17	3	interval
348232	8	18	1	rest
356203	7	18	2	task
363122	5	18	3	interval
368222	8	19	1	rest
376191	7	19	2	task
383118	5	19	3	interval
388221	8	20	1	rest
396180	7	20	2	task
403124	5	20	3	interval
408232	8	21	1	rest
416187	7	21	2	task
423120	5	21	3	interval
428234	8	22	1	rest
436191	7	22	2	task
443131	5	22	3	interval
448228	8	23	1	rest
456187	7	23	2	task
463133	5	23	3	interval
468229	8	24	1	rest
476212	7	24	2	task
483133	5	24	3	interval
488232	8	25	1	rest
496198	7	25	2	task
503133	5	25	3	interval
