onset	duration	accuracy	response_time	image
12.006	2	0	0	29
18.004	2	1	0.926	-30
20.07	2	1	1.086	31
22.136	2	0	1.281	-37
24.185	2	1	0.993	-38
30.016	2	1	1.218	40
32.065	2	0	1.065	45
36.014	2	1	0.971	-46
42.012	2	1	0.961	47
46.01	2	1	0.887	58
48.076	2	1	0.75	-41
52.008	2	1	1.738	42
58.006	2	1	0.958	-44
64.003	2	1	0.99	56
68.018	2	1	1.031	33
74.016	2	1	1.011	34
80.014	2	1	0.885	-35
82.08	2	0	1.57	-60
88.011	2	1	0.841	45
94.009	2	1	0.979	-46
100.006	2	1	0.947	48
106.004	2	1	0.816	-57
108.07	2	0	0.91	-25
114.018	2	1	0.818	26
116.083	2	1	0.72	-27
122.015	2	1	1.165	-41
126.013	2	1	0.756	42
130.012	2	1	1.07	-43
132.077	2	0	0.627	-37
134.143	2	1	1.131	-38
136.209	2	1	0.85	39
138.275	2	1	0.99	29
140.341	2	1	0.708	-30
146.006	2	1	0.787	32
152.003	2	1	0.791	-55
154.069	2	0	1.079	-25
158.018	2	1	0.769	26
160.083	2	1	0.895	-28
166.015	2	1	1.594	59
168.08	2	1	0.808	33
170.146	2	0	1.834	34
176.011	2	0	0.033	-36
178.077	2	1	1.132	-41
180.143	2	1	0.67	42
182.208	2	1	0.705	-43
188.006	2	1	1.445	-60
190.072	2	0	0.74	-37
194.004	2	1	1.237	-38
200.002	2	1	0.967	40
204.017	2	0	1.129	29
206.083	2	1	0.847	-30
210.014	2	1	0.678	32
214.013	2	0	0.964	59
218.011	2	0	1.256	45
220.077	2	1	1.453	-46
222.143	2	1	0.66	47
226.008	2	0	1.497	-25
228.074	2	0	1.063	26
230.14	2	1	0.037	-28
232.206	2	0	0.63	-37
238.004	2	1	1.125	-38
242.002	2	1	0.67	39
244.085	2	1	0.774	33
246.167	2	0	1.107	34
252.015	2	1	0.916	-35
254.098	2	0	0.921	-55
258.013	2	1	0.661	45
260.096	2	0	0.04	-46
262.178	2	0	0	48
266.01	2	1	0.672	58
270.008	2	0	1.816	29
272.074	2	1	1.094	-30
276.006	2	1	0.764	31
278.089	2	1	0.954	-57
280.171	2	0	0.549	-41
284.003	2	0	0.72	42
286.086	2	1	1.155	-44
288.168	2	1	0.804	56
292.017	2	0	0	-25
294.083	2	0	1.313	26
296.165	2	1	0.646	-27
298.248	2	1	0.658	33
300.33	2	0	0.992	34
304.012	2	0	0	-36
