onset	duration	accuracy	response_time	image
12.01	2	1	0	40
19.007	2	1	0	59
26.005	2	0	0.992	-22
33.019	2	1	0	32
37.017	2	1	0	-4
42.015	2	1	0	58
48.013	2	1	0	-57
54.011	2	1	0	-36
58.009	2	1	0	-28
63.007	2	1	0	-12
67.006	2	1	0	-60
71.004	2	1	0.87	-14
77.019	2	1	0	2
81.017	2	1	0	-38
86.015	2	1	0	16
90.014	2	1	0	18
94.012	2	1	0	8
101.01	2	1	0	-44
108.007	2	1	0	48
114.005	2	1	1.341	-6
118.003	2	1	0	34
125.017	2	1	0	26
131.015	2	1	0	10
138.012	2	1	0	-30
144.01	2	1	1.042	-38
148.008	2	1	0	-6
152.007	2	1	0	-14
157.005	2	1	0.773	-30
161.003	2	1	0	56
165.018	2	1	0	-20
171.016	2	1	0	24
175.015	2	1	0	-55
179.013	2	1	0	42
186.011	2	1	0	-46
190.009	2	1	0	-30
196.007	2	1	0	-55
200.005	2	1	0	40
204.004	2	1	0	8
208.002	2	1	0	-44
214.017	2	1	0	-38
218.015	2	1	0	56
223.013	2	1	0	58
227.012	2	1	0	-12
232.01	2	1	0	-4
237.008	2	1	0	34
242.006	2	1	0	-20
246.004	2	1	0	-60
250.003	2	1	0	42
254.002	2	1	0	59
261.016	2	1	0	-28
267.013	2	1	0	10
271.012	2	1	0	-22
278.009	2	1	0	16
283.007	2	1	0.642	-4
287.006	2	1	0	-46
291.004	2	1	0	26
295.003	2	0	1.68	2
299.018	2	1	0	-14
305.015	2	1	0	-57
309.014	2	1	0	24
314.012	2	1	0	48
318.01	2	1	0	-36
323.009	2	1	0	18
329.006	2	1	0	32
333.005	2	1	0	-6
338.003	2	1	0	2
342.001	2	0	0	-12
348.016	2	1	0	48
355.013	2	1	0	-44
361.011	2	1	0	32
366.009	2	1	0	16
370.007	2	1	0	-57
376.005	2	1	0	-36
381.003	2	0	0.044	-22
387.018	2	1	0	56
391.016	2	1	0	-55
397.014	2	1	0	-12
404.011	2	1	0	-30
411.009	2	1	0	18
415.007	2	1	1.69	-28
419.006	2	1	0	-38
425.003	2	0	0.415	8
431.018	2	1	0	-14
436.016	2	1	0	-20
443.013	2	1	0	24
447.012	2	1	0	58
451.01	2	1	0	-46
457.008	2	1	0	-28
461.006	2	1	0	59
465.005	2	1	0	-6
469.003	2	1	0	-60
473.002	2	1	0	34
477.017	2	1	0	40
484.014	2	1	0	42
489.012	2	0	0	-36
494.01	2	1	0	-4
500.008	2	1	0	26
506.006	2	1	0	10
513.003	2	0	0	-53
518.018	2	1	0	26
525.015	2	1	0	-38
532.013	2	1	0	-20
539.01	2	1	0	-14
543.008	2	1	0	18
550.006	2	1	0	-6
554.004	2	1	0	40
560.002	2	1	0	-55
567.016	2	1	0	-22
573.014	2	1	0	-28
579.011	2	1	0	42
585.009	2	1	0	16
589.008	2	1	0	24
593.006	2	1	0	8
598.004	2	1	0	-46
605.002	2	1	0	2
609.017	2	1	0.635	-50
613.015	2	1	0	-12
618.013	2	1	0	-30
625.011	2	1	0	58
629.009	2	1	0	-36
634.007	2	1	0	56
639.005	2	1	0	-60
644.003	2	1	0	-4
651.018	2	1	0	48
656.016	2	1	0	-57
660.014	2	0	0.83	32
667.011	2	1	0	-44
672.009	2	1	0	59
676.008	2	1	0	10
681.006	2	1	0	34
