onset	duration	accuracy	response_time	image
12.016	2	0	0	45
14.065	2	1	0.793	-46
18.013	2	1	0.98	48
20.079	2	1	0.721	-55
24.011	2	1	0.639	33
26.077	2	1	1.326	34
28.143	2	1	0.683	-35
30.209	2	0	0.889	-25
32.275	2	1	1	26
36.007	2	1	0.955	-27
42.004	2	0	0.671	29
44.07	2	0	0.596	-30
48.002	2	1	1.167	32
50.068	2	1	0.941	-57
54.016	2	1	0.698	33
58.015	2	0	0.58	34
64.013	2	1	0.748	-36
70.01	2	0	0	-60
76.008	2	1	0.699	-37
78.074	2	1	0.633	-38
84.005	2	1	0.717	40
86.071	2	1	0.699	-41
92.002	2	0	1.104	42
94.068	2	1	0.751	-43
96.134	2	1	0.748	58
98.2	2	1	0.827	-25
100.265	2	0	0	26
106.013	2	1	1.677	-28
108.079	2	1	0.882	29
114.01	2	1	0.615	-30
118.009	2	1	0.939	31
120.075	2	1	1.014	-37
122.141	2	1	1.014	-38
124.206	2	0	0.748	39
130.004	2	0	0	59
132.053	2	1	0.196	-41
134.119	2	1	1.067	42
136.185	2	1	0.602	-44
138.251	2	1	0.769	56
142.016	2	0	1.281	45
148.014	2	1	1.294	-46
150.08	2	1	0.684	47
154.012	2	1	0.688	-25
160.009	2	1	0.898	26
164.008	2	1	1.052	-27
166.074	2	0	1.738	-37
168.14	2	0	0	-38
172.005	2	0	1.223	39
174.071	2	1	0.603	33
176.137	2	0	0.84	34
178.203	2	1	0.745	-35
180.268	2	1	0.632	-55
182.334	2	0	0.523	45
188.015	2	0	0.908	-46
190.081	2	1	0.679	47
196.012	2	1	1.655	58
202.01	2	1	0.736	-37
206.009	2	1	1.163	-38
212.006	2	1	1.555	40
216.005	2	0	0	-41
218.071	2	1	0.587	42
222.003	2	1	0.655	-44
224.069	2	1	0.734	29
230.016	2	0	0	-30
232.082	2	1	1.648	32
234.165	2	1	0.565	-57
236.247	2	0	1.05	-25
242.012	2	0	0	26
246.01	2	1	0.608	-28
248.093	2	1	0.622	33
252.008	2	0	0	34
256.006	2	0	1.493	-36
258.089	2	1	0.569	-60
264.003	2	1	1.205	29
268.002	2	1	0.631	-30
270.084	2	0	0	31
274.016	2	1	0.873	59
278.015	2	1	0.661	45
284.012	2	1	0.902	-46
286.095	2	0	0	48
292.009	2	0	0	56
294.092	2	1	1.128	-41
298.007	2	1	0.949	42
300.09	2	0	0	-43
