onset	duration	accuracy	response_time	image
12.005	2	0	0	-41
18.003	2	1	0.873	42
20.069	2	1	0.71	-43
24.017	2	1	0.786	29
26.083	2	1	0.671	-30
28.149	2	0	0.582	32
30.215	2	1	0.869	58
32.281	2	0	0.9	45
34.346	2	1	1.288	-46
38.012	2	0	0	48
44.009	2	0	0.666	-37
46.075	2	1	1.271	-38
48.141	2	1	0.678	39
52.006	2	1	0.998	-60
54.072	2	1	0.922	33
58.004	2	1	1.605	34
60.07	2	1	0.635	-36
62.136	2	1	0.867	56
68.017	2	1	1.123	-25
70.083	2	1	0.56	26
76.014	2	1	1.068	-28
78.08	2	0	0.761	-37
84.011	2	1	1.238	-38
88.009	2	1	0.706	40
92.008	2	0	0	29
94.057	2	1	0.896	-30
100.005	2	0	0	31
104.003	2	1	0.744	-55
106.069	2	1	0.775	45
110.018	2	1	1.816	-46
112.084	2	1	0.672	47
116.015	2	0	2.018	59
122.013	2	0	0	-41
124.062	2	0	0	42
126.112	2	1	0.189	-44
128.178	2	1	0.823	-57
134.009	2	1	0.385	-25
138.007	2	0	0	26
144.005	2	1	1.749	-27
148.003	2	0	0	33
150.069	2	1	0.032	34
152.135	2	1	0.714	-35
154.201	2	1	1.056	59
156.267	2	1	0.807	45
158.333	2	1	0.702	-46
160.399	2	0	0	47
164.014	2	0	0.812	29
166.08	2	0	0	-30
172.011	2	1	0.854	31
178.009	2	1	0.704	58
182.007	2	1	0.709	-41
188.005	2	0	0.798	42
192.003	2	1	1.254	-43
194.069	2	0	0.685	-25
198.018	2	0	0	26
200.067	2	1	1.928	-27
202.133	2	0	0.037	56
204.182	2	1	0.643	-37
208.014	2	0	0	-38
210.08	2	0	0	39
214.012	2	1	0.609	-60
216.077	2	1	0.646	33
220.009	2	1	0.768	34
222.092	2	0	0	-35
226.007	2	1	1.868	45
232.005	2	1	0.805	-46
238.003	2	0	0.752	48
240.068	2	1	0.885	-55
242.151	2	0	0.602	-37
248.015	2	0	1.524	-38
250.098	2	1	0.81	40
256.012	2	0	0	-57
262.01	2	0	0	29
266.009	2	0	0	-30
268.074	2	1	0.288	32
270.157	2	0	0.575	-25
272.24	2	1	0.569	26
278.004	2	0	1.96	-28
280.087	2	1	0.045	33
282.169	2	1	0.522	34
288.017	2	0	0.322	-36
294.015	2	1	0.754	-41
298.013	2	1	0.668	42
300.096	2	1	0.674	-44
