onset	duration	accuracy	response_time	image
12.004	2	0	0	-37
14.053	2	1	0.672	-38
20.017	2	1	0.626	39
22.083	2	1	0.984	56
26.015	2	1	0.634	33
30.013	2	0	0.988	34
36.011	2	1	0.742	-36
40.009	2	1	0.635	58
46.007	2	1	1.141	-25
50.006	2	1	0.597	26
56.003	2	1	0.856	-28
58.053	2	1	0.764	-57
62.018	2	1	1.13	29
64.084	2	1	0.704	-30
70.015	2	1	0.908	31
72.081	2	1	0.603	-55
78.012	2	1	0.621	45
82.01	2	1	0.656	-46
88.008	2	1	0.643	47
90.074	2	1	0.801	33
92.14	2	0	1.118	34
98.004	2	1	0.631	-35
100.07	2	0	0.659	-25
102.136	2	1	0.57	26
104.202	2	1	0.616	-27
106.268	2	1	1.096	-41
108.334	2	1	0.707	42
110.399	2	1	0.675	-44
116.014	2	0	0.804	-37
118.08	2	1	0.763	-38
120.129	2	1	0.539	40
122.195	2	1	0.735	59
124.261	2	1	0.892	29
126.327	2	1	0.629	-30
132.008	2	1	0.665	32
138.006	2	1	0.629	-60
140.071	2	1	0.756	45
144.003	2	1	1.383	-46
150.018	2	1	0.625	48
152.084	2	1	0.576	-41
158.015	2	1	1.082	42
160.081	2	1	0.562	-43
162.146	2	0	0.697	-25
168.011	2	1	0.592	26
174.009	2	1	0.747	-27
176.074	2	1	0.632	29
178.14	2	1	0.524	-30
180.206	2	0	0	31
182.255	2	0	0	45
184.305	2	1	0.442	-46
186.371	2	1	0.624	48
190.003	2	1	0.64	-55
192.068	2	0	0.784	-37
194.134	2	1	0.612	-38
196.2	2	1	0.609	39
198.266	2	1	0.69	56
202.015	2	1	1.13	33
204.064	2	0	1.033	34
208.012	2	0	0	-36
212.011	2	1	0.718	-60
216.009	2	0	0.979	-25
222.007	2	1	0.684	26
226.006	2	0	0	-28
232.003	2	1	0.552	58
236.002	2	0	0	45
238.068	2	0	0	-46
240.134	2	1	0.039	47
242.216	2	1	0.629	-57
248.014	2	1	0.622	-41
250.096	2	1	0.993	42
256.011	2	0	0	-43
258.077	2	0	0.295	33
262.009	2	0	0.929	34
266.007	2	1	0.635	-35
268.09	2	0	0.699	-37
270.172	2	1	0.768	-38
272.255	2	0	0	40
276.003	2	1	0.638	29
280.002	2	1	1.416	-30
282.068	2	1	0.559	32
288.015	2	1	0.637	59
292.014	2	0	0	-41
296.012	2	1	0.709	42
302.01	2	0	0.432	-44
