onset	duration	accuracy	response_time	image
12.009	2	1	0	-49
18.007	2	1	1.442	1
24.005	2	1	0	7
30.003	2	1	0	-53
37.016	2	1	0	54
41.015	2	1	0	51
48.012	2	1	0	52
55.01	2	1	0	-35
61.007	2	1	0	15
66.005	2	1	0	-11
71.004	2	1	0	45
75.002	2	1	0	17
79.017	2	1	0	-9
86.015	2	1	0	-5
92.012	2	1	0	1
96.011	2	1	0	-19
101.009	2	1	0.56	-9
108.006	2	1	0	31
114.004	2	1	0	-37
121.018	2	1	0	-43
125.016	2	1	0	13
131.014	2	1	0	47
135.013	2	1	0	-27
142.01	2	1	0	23
148.008	2	1	0	-50
152.006	2	1	0.63	-25
156.005	2	1	0	39
160.003	2	1	0	-3
166.018	2	0	1.097	-41
170.016	2	1	0	-21
177.013	2	1	0	29
181.012	2	1	0	33
185.01	2	1	0	-25
191.008	2	1	0	39
195.007	2	1	0	33
200.005	2	1	0	-3
205.003	2	1	0.631	33
212.017	2	1	0	-19
216.015	2	1	0	-43
221.013	2	1	0	-37
228.011	2	1	0	-27
232.009	2	1	0	7
238.007	2	1	0	13
242.005	2	1	0	-9
247.003	2	1	0	-21
251.002	2	1	0	1
257.016	2	1	0	-50
264.014	2	1	0	47
268.012	2	1	0	-41
275.009	2	1	0	29
282.007	2	0	1.437	-11
288.005	2	1	0	51
295.002	2	1	0.577	23
300.017	2	1	0	45
304.015	2	1	0	15
308.014	2	1	0	31
314.011	2	1	0	-5
318.01	2	1	0	-25
322.008	2	1	0	-35
326.007	2	1	0	52
330.005	2	1	0	-53
337.003	2	1	0	54
341.018	2	1	0	-49
346.016	2	1	0	23
350.014	2	1	0	17
356.012	2	1	0.543	15
360.011	2	1	0	-5
364.009	2	1	0	-11
369.007	2	1	0	-37
375.005	2	1	0	-41
381.003	2	1	0	-50
385.018	2	1	0	-3
391.015	2	1	0	51
398.013	2	1	0	-49
402.011	2	1	0	47
407.009	2	1	0	15
411.008	2	1	0	33
416.006	2	1	0	17
421.004	2	1	0	-9
425.003	2	1	0.752	47
429.018	2	1	0	39
436.015	2	1	0	-25
440.014	2	1	0	-53
444.012	2	1	0	-43
451.009	2	1	0	-27
455.008	2	1	0	31
459.006	2	1	0	23
465.004	2	1	0.573	39
469.003	2	1	0	54
474.017	2	1	0	13
478.016	2	1	0	29
482.014	2	1	0	7
487.012	2	1	0	45
491.011	2	1	0	-35
497.009	2	1	0	1
502.007	2	1	0	52
507.005	2	1	0	-21
511.003	2	1	0	-19
516.001	2	1	0	-25
523.015	2	1	0	-50
528.014	2	0	0	52
533.012	2	1	0	15
540.009	2	1	0	39
544.007	2	1	0	-9
549.005	2	1	0	47
556.003	2	1	0.521	-50
563.017	2	1	0	-3
567.015	2	1	0	29
574.013	2	1	0	-11
578.011	2	1	0	33
583.009	2	1	0	23
587.008	2	1	0	13
593.006	2	1	0	-41
599.003	2	1	0	-35
606.017	2	1	0	-49
611.015	2	1	0	-37
616.013	2	1	0	-19
620.012	2	1	0	-27
624.01	2	1	0	-21
628.009	2	1	0	52
635.006	2	1	0	54
641.004	2	1	0	7
646.002	2	1	0	17
653.016	2	1	0	51
657.015	2	1	0	45
661.013	2	1	0	-5
667.011	2	1	0	31
673.008	2	1	0	-53
679.006	2	1	0	1
683.005	2	1	0	-43
