onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
711.859	10	clicks_high	2	7118590	22	1	2	clicks_high/clicks_high_022_regress.hdf5
721.9499	10	clicks_low	0	7219499	22	1	2	clicks_low/clicks_low_022_regress.hdf5
732.0195	10	clicks_mid	1	7320195	22	1	2	clicks_mid/clicks_mid_022_regress.hdf5
742.0891	10	clicks_low	0	7420891	23	1	2	clicks_low/clicks_low_023_regress.hdf5
752.1374	10	clicks_mid	1	7521374	23	1	2	clicks_mid/clicks_mid_023_regress.hdf5
762.2283	10	clicks_high	2	7622283	23	1	2	clicks_high/clicks_high_023_regress.hdf5
772.2979	10	clicks_mid	1	7722979	24	1	2	clicks_mid/clicks_mid_024_regress.hdf5
782.3675	10	clicks_high	2	7823675	24	1	2	clicks_high/clicks_high_024_regress.hdf5
792.4157	10	clicks_low	0	7924157	24	1	2	clicks_low/clicks_low_024_regress.hdf5
802.4853	10	clicks_high	2	8024853	25	1	2	clicks_high/clicks_high_025_regress.hdf5
812.5549	10	clicks_mid	1	8125549	25	1	2	clicks_mid/clicks_mid_025_regress.hdf5
822.6245	10	clicks_low	0	8226245	25	1	2	clicks_low/clicks_low_025_regress.hdf5
832.7154	10	clicks_high	2	8327154	26	1	2	clicks_high/clicks_high_026_regress.hdf5
842.7637	10	clicks_low	0	8427637	26	1	2	clicks_low/clicks_low_026_regress.hdf5
852.8333	10	clicks_mid	1	8528333	26	1	2	clicks_mid/clicks_mid_026_regress.hdf5
862.9029	10	clicks_high	2	8629029	27	1	2	clicks_high/clicks_high_027_regress.hdf5
872.9725	10	clicks_mid	1	8729725	27	1	2	clicks_mid/clicks_mid_027_regress.hdf5
883.0421	10	clicks_low	0	8830421	27	1	2	clicks_low/clicks_low_027_regress.hdf5
893.1116	10	clicks_mid	1	8931116	28	1	2	clicks_mid/clicks_mid_028_regress.hdf5
903.1812	10	clicks_low	0	9031812	28	1	2	clicks_low/clicks_low_028_regress.hdf5
913.2295	10	clicks_high	2	9132295	28	1	2	clicks_high/clicks_high_028_regress.hdf5
923.2991	10	clicks_low	0	9232991	29	1	2	clicks_low/clicks_low_029_regress.hdf5
933.3687	10	clicks_mid	1	9333687	29	1	2	clicks_mid/clicks_mid_029_regress.hdf5
943.4383	10	clicks_high	2	9434383	29	1	2	clicks_high/clicks_high_029_regress.hdf5
961.3801	10	male_low	3	9613801	15	1	2	male_low/male_low_015_regress.hdf5
971.4496	10	male_high	5	9714496	30	1	2	male_high/male_high_030_regress.hdf5
981.5192	10	female_high	8	9815192	117	1	2	female_high/female_high_117_regress.hdf5
991.5888	10	female_low	6	9915888	108	1	2	female_low/female_low_108_regress.hdf5
1001.6797	10	female_mid	7	10016797	31	1	2	female_mid/female_mid_031_regress.hdf5
