onset	duration	trial_type	rating	response_time	database	identifier
6.260	6.018	dp	1	1.976	iaps	5480
18.660	6.017	dp	1	1.222	iaps	8186
32.460	6.016	dp	1	1.072	iaps	5621
48.557	6.016	vn	1	0.975	iaps	9471
62.172	6.016	vn	1	1.012	iaps	9007
74.760	6.008	vn	1	2.268	iaps	6555
90.843	6.006	ip	2	1.695	iaps	7280
105.814	6.013	ip	3	1.510	iaps	4622
117.010	6.016	ip	3	0.947	iaps	5594
133.109	6.016	dn	2	1.929	iaps	2688
146.206	6.015	dn	2	1.006	iaps	9330
159.304	6.004	dn	2	1.076	iaps	6834
175.374	6.009	vt	1	1.436	iaps	7705
189.242	6.005	vt	1	1.274	iaps	7080
201.524	6.004	vt	1	1.123	iaps	7233
217.608	6.016	in	2	1.994	iaps	2700
230.308	6.015	in	3	0.761	iaps	9430
243.806	6.015	in	3	1.304	iaps	9342
259.903	6.015	vp	1	0.903	iaps	8161
274.300	6.007	vp	1	2.191	iaps	8501
286.065	6.009	vp	1	0.793	iaps	2224
302.157	6.017	dn	2	1.193	iaps	7380
314.957	6.017	dn	1	0.697	iaps	9592
328.357	6.016	dn	1	2.891	iaps	9341
344.455	6.015	vp	1	1.023	iaps	8193
358.039	6.011	vp	1	2.276	iaps	4180
370.650	6.005	vp	1	1.634	iaps	1510
386.713	6.009	in	2	1.668	iaps	9611
400.877	6.011	in	4	1.117	iaps	6831
412.872	6.016	in	3	0.740	iaps	2710
428.972	6.015	vt	1	1.325	iaps	2393
443.770	6.015	vt	n/a	n/a	iaps	2840
455.168	6.015	vt	1	0.943	iaps	7179
471.264	6.006	dp	2	3.385	iaps	7580
486.238	6.007	dp	1	2.316	iaps	5460
497.403	6.006	dp	2	1.401	iaps	1721
513.487	6.017	vn	3	1.382	iaps	9400
527.187	6.016	vn	3	2.514	iaps	3400
539.686	6.015	vn	1	3.206	iaps	6830
555.782	6.004	ip	2	1.369	iaps	1650
568.252	6.011	ip	2	0.774	iaps	7480
581.920	6.007	ip	3	1.383	iaps	8170
