onset	duration	trial_type	value
13.84	5	DifficultObservation	1
24.48	5	EasyObservation	1
33.16	5	DifficultObservation	1
43.32	5	EasyObservation	1
56.68	5	DifficultExecution	1
64.6	5	EasyObservation	1
71.08	5	DifficultExecution	1
80.6	5	EasyExecution	1
88.16	5	Control	1
98.04	5	EasyObservation	1
111.32	5	DifficultExecution	1
123.92	5	DifficultExecution	1
137.64	5	EasyExecution	1
148.96	5	Control	1
157.4	5	EasyExecution	1
164.52	5	Control	1
176.28	5	DifficultObservation	1
186.48	5	EasyExecution	1
194.52	5	Control	1
203.48	5	EasyExecution	1
209.76	5	EasyExecution	1
219.8	5	DifficultObservation	1
226.44	5	DifficultObservation	1
232.56	5	DifficultObservation	1
253.6	5	EasyObservation	1
263.6	5	EasyExecution	1
270.56	5	EasyObservation	1
279.6	5	Control	1
286.6	5	DifficultExecution	1
298.72	5	Control	1
307.36	5	DifficultExecution	1
313.72	5	DifficultExecution	1
321.96	5	Control	1
333.72	5	DifficultObservation	1
339.76	5	EasyObservation	1
