onset	duration	trial_type	value
13.84	5	DifficultObservation	1
20.72	5	DifficultExecution	1
28.92	5	DifficultObservation	1
35.48	5	DifficultObservation	1
42.96	5	Control	1
49.88	5	EasyObservation	1
59.6	5	DifficultExecution	1
73.32	5	DifficultObservation	1
81.8	5	Control	1
94.08	5	DifficultExecution	1
101.8	5	Control	1
114.68	5	EasyExecution	1
124.8	5	EasyExecution	1
132.24	5	EasyObservation	1
140.08	5	DifficultObservation	1
147.48	5	DifficultObservation	1
155.28	5	EasyExecution	1
167.56	5	Control	1
180.12	5	Control	1
193.32	5	Control	1
200.64	5	EasyObservation	1
211.12	5	DifficultExecution	1
217.4	5	DifficultExecution	1
230.12	5	DifficultObservation	1
242.24	5	EasyObservation	1
250.04	5	EasyExecution	1
256.44	5	EasyObservation	1
267.88	5	DifficultExecution	1
278.72	5	DifficultExecution	1
288.04	5	Control	1
298.72	5	EasyExecution	1
305.68	5	EasyObservation	1
314.08	5	EasyExecution	1
326.84	5	EasyObservation	1
334.48	5	EasyExecution	1
