onset	duration	trial_type	value
13.56	5	DifficultObservation	1
20.48	5	EasyExecution	1
29.56	5	DifficultExecution	1
39	5	DifficultObservation	1
52.2	5	DifficultObservation	1
58.56	5	DifficultObservation	1
65.8	5	EasyExecution	1
77.44	5	Control	1
85.48	5	DifficultObservation	1
95.88	5	EasyExecution	1
107.28	5	EasyObservation	1
119.96	5	DifficultExecution	1
130.72	5	DifficultExecution	1
141.48	5	Control	1
149.24	5	DifficultExecution	1
160.28	5	EasyExecution	1
168.72	5	Control	1
176.28	5	DifficultObservation	1
182.84	5	EasyExecution	1
192	5	DifficultExecution	1
205.24	5	EasyObservation	1
217.32	5	DifficultObservation	1
229.96	5	Control	1
237.04	5	DifficultExecution	1
246.4	5	EasyObservation	1
259.92	5	EasyObservation	1
269.6	5	Control	1
276.16	5	Control	1
282.28	5	EasyObservation	1
291.4	5	Control	1
304.36	5	EasyObservation	1
313.76	5	EasyExecution	1
322.28	5	DifficultExecution	1
331	5	EasyObservation	1
340.92	5	EasyExecution	1
