onset	duration	trial_type	resp	respTime
8	4.0666	vis_Nabst_2	2	9.139024
12.083381	5.002795	tact_abst_8	2	13.166024
17.086275	6.097055	vis_abst_4	2	18.240024
23.200106	4.001871	tact_abst_6	1	25.624024
27.202076	6.09797699999999	vis_Nabst_8	1	28.243024
33.316827	6.00335000000001	tact_abst_4	2	34.604024
39.320275	5.079829	vis_abst_8	1	40.357024
44.416847	4.00233099999999	tact_abst_2	2	45.596024
48.419281	5.08087	vis_Nabst_6	1	49.153024
53.500246	6.09993100000001	vis_abst_2	2	54.277024
59.600278	5.08326699999999	vis_Nabst_4	2	60.638024
64.683649	4.066579	vis_abst_6	1	65.588024
73.800461	6.00331599999999	tact_abst_4	2	75.521024
79.803876	4.063103	vis_abst_6	1	80.466024
83.867076	5.083265	vis_Nabst_4	2	84.791024
88.967191	6.003387	tact_abst_2	2	90.115024
94.970795	4.06293000000001	vis_abst_8	1	95.783024
99.033821	5.08326700000002	vis_Nabst_2	2	99.914024
104.133855	6.00342199999999	tact_abst_8	1	106.190024
110.137374	5.07976799999998	vis_Nabst_6	1	111.060024
115.217246	4.066573	vis_abst_4	2	116.094024
119.283916	5.083266	vis_Nabst_8	1	120.115024
124.38406	4.00191700000002	tact_abst_6	1	125.644024
128.386071	6.097826	vis_abst_2	2	129.206024
139.51736	5.08326699999999	vis_abst_8	1	140.422024
144.600725	6.09993100000001	vis_Nabst_2	2	145.521024
150.700752	4.06658499999999	vis_abst_6	1	151.648024
154.784186	5.002391	tact_abst_8	1	156.098024
159.786675	4.06404299999998	vis_Nabst_4	2	161.152024
163.867587	6.00249000000002	tact_abst_6	1	165.188024
169.870233	5.08054999999999	vis_abst_2	2	170.617024
174.950891	4.06657399999999	vis_Nabst_8	1	176.030024
179.034343	6.00323400000003	tact_abst_4	2	180.735024
185.037674	4.06318100000001	vis_Nabst_6	1	185.699024
189.100949	5.08326300000001	vis_abst_4	2	190.339024
194.200994	6.003383	tact_abst_2	2	195.274024
205.234377	4.06658299999998	vis_abst_6	1	206.056024
209.301056	5.08325599999999	vis_Nabst_2	2	210.017024
214.401099	6.00327899999998	tact_abst_4	2	215.710024
220.404477	4.06322899999999	vis_Nabst_8	1	221.363024
224.467797	5.08326400000002	vis_abst_2	2	226.432024
229.567919	6.003158	tact_abst_8	1	231.147024
235.571186	5.07993099999998	vis_Nabst_4	2	236.580024
240.667993	4.00228600000002	tact_abst_6	1	241.928024
244.670373	6.097467	vis_abst_4	2	245.446024
250.784714	5.002364	tact_abst_2	2	252.406024
255.787176	6.09738799999998	vis_Nabst_6	1	257.565024
261.88466	4.06658899999998	vis_abst_8	1	263.736024
271.001482	4.002196	tact_abst_2	2	272.069024
275.003775	6.09756	vis_Nabst_4	2	275.805024
281.118197	5.00288099999999	tact_abst_6	1	282.476024
286.121237	4.06347100000002	vis_abst_8	1	286.887024
290.184801	5.08327299999999	vis_Nabst_2	2	290.973024
295.284854	6.00282199999999	tact_abst_8	1	296.800024
301.287771	4.06369	vis_abst_4	2	301.934024
305.351558	5.08325200000004	vis_Nabst_6	1	306.250024
310.434901	6.09994900000002	vis_abst_2	2	311.055024
316.551583	4.00239399999997	tact_abst_4	2	317.955024
320.554082	6.09748300000001	vis_Nabst_8	1	321.382024
326.651659	5.08326000000001	vis_abst_6	1	327.564024
336.768377	6.09994299999997	vis_Nabst_2	2	337.662024
342.885056	5.00272100000002	tact_abst_6	1	343.949024
347.887879	4.063821	vis_Nabst_8	1	350.704024
351.968567	5.00271100000001	tact_abst_2	2	353.009024
356.971374	6.09704500000004	vis_abst_8	1	357.779024
363.068518	4.06659399999998	vis_Nabst_4	2	363.871024
367.135207	5.08325899999996	vis_abst_6	1	368.057024
372.235254	4.00202300000004	tact_abst_4	2	373.430024
376.237374	6.09781800000003	vis_Nabst_6	1	377.911024
382.335283	5.08326999999996	vis_abst_2	2	383.045024
387.435407	4.00227100000001	tact_abst_8	1	389.221024
391.437773	6.097489	vis_abst_4	2	392.275024
