onset	duration	trial_type	resp	respTime
8	4.066623	vis_Nabst_6	2	9.827376
12.066721	5.083255	vis_abst_2	2	12.920376
17.166755	6.003475	tact_abst_8	1	19.416376
23.170328	4.063023	vis_Nabst_2	2	23.916376
27.233449	4.066597	vis_abst_8	1	28.078376
31.316902	6.003227	tact_abst_6	1	34.105376
37.320222	6.096552	vis_abst_4	2	38.156376
43.433568	5.002761	tact_abst_2	2	45.480376
48.43643	6.097068	vis_Nabst_4	2	49.726376
54.533596	5.08325999999999	vis_abst_6	1	55.698376
59.616954	4.06658900000001	vis_Nabst_8	1	60.992376
63.700285	5.002644	tact_abst_4	2	65.766376
73.750461	4.00216799999999	tact_abst_6	1	76.354376
77.752721	6.09759299999999	vis_abst_8	1	78.599376
83.850421	5.083247	vis_Nabst_2	2	84.776376
88.933764	4.06659299999999	vis_abst_6	1	90.314376
93.017144	6.00318500000001	tact_abst_4	2	94.505376
99.020427	5.07999599999998	vis_abst_2	2	99.793376
104.100519	6.099935	vis_Nabst_4	2	104.967376
110.217321	4.00210800000001	tact_abst_8	1	111.643376
114.219526	5.080976	vis_Nabst_6	1	115.250376
119.3006	5.08326000000001	vis_abst_4	2	120.129376
124.400638	4.00189200000002	tact_abst_2	2	125.937376
128.402632	6.09794200000001	vis_Nabst_8	1	129.185376
139.534018	6.09994400000002	vis_abst_4	2	140.570376
145.634058	6.09993700000001	vis_Nabst_6	1	146.957376
151.7341	5.08325	vis_abst_8	1	152.510376
156.83414	6.00288800000001	tact_abst_6	1	158.357376
162.837132	4.06361600000001	vis_Nabst_4	2	164.699376
166.917517	4.00201300000001	tact_abst_2	2	168.999376
170.919675	6.097785	vis_Nabst_8	1	171.673376
177.017554	4.06659	vis_abst_6	1	177.785376
181.084239	5.08326599999997	vis_Nabst_2	2	182.121376
186.184288	4.002041	tact_abst_4	2	187.489376
190.186449	5.08109899999999	vis_abst_2	2	191.092376
195.284428	5.00260200000001	tact_abst_8	1	196.575376
205.317702	6.09994500000001	vis_Nabst_2	2	206.239376
211.417752	4.06657200000001	vis_abst_8	1	212.316376
215.501156	4.00207399999999	tact_abst_6	1	217.854376
219.503325	5.08104700000002	vis_abst_4	2	220.229376
224.584466	6.09993299999999	vis_Nabst_8	1	225.453376
230.701267	4.002163	tact_abst_2	2	231.659376
234.703526	5.08092599999998	vis_abst_6	1	235.446376
239.801322	6.003408	tact_abst_4	2	241.423376
245.804829	5.07967100000003	vis_Nabst_6	1	247.081376
250.901383	4.00204500000004	tact_abst_8	1	252.515376
254.903526	5.081033	vis_Nabst_4	2	255.748376
259.984653	6.09995699999999	vis_abst_2	2	261.031376
271.118038	6.09993199999997	vis_abst_8	1	271.928376
277.21807	4.06659599999996	vis_Nabst_2	2	278.224376
281.30156	4.00226899999997	tact_abst_8	1	282.540376
285.303922	5.08078900000005	vis_abst_6	1	286.057376
290.384806	5.08326500000001	vis_Nabst_4	2	291.536376
295.468162	5.08326699999999	vis_abst_2	2	296.380376
300.568299	4.00222899999999	tact_abst_4	1	302.527376
304.570627	6.09751900000003	vis_Nabst_8	1	305.406376
310.684925	4.00180499999999	tact_abst_6	1	312.810376
314.686826	6.09804499999998	vis_abst_4	2	315.569376
320.801736	6.00309400000004	tact_abst_2	2	322.264376
326.804927	5.08000200000004	vis_Nabst_6	1	327.947376
336.935153	6.00287699999998	tact_abst_4	2	339.188376
342.938128	5.08021600000002	vis_Nabst_2	2	343.713376
348.018441	4.06659000000003	vis_abst_4	2	348.887376
352.101815	6.00301399999997	tact_abst_8	1	353.368376
358.118592	5.00253700000001	tact_abst_6	1	361.924376
363.121227	4.06388099999999	vis_Nabst_8	1	364.214376
367.201846	5.00268300000002	tact_abst_2	2	368.954376
372.204629	6.09719499999995	vis_Nabst_4	2	373.554376
378.30192	5.08327299999999	vis_abst_8	1	379.117376
383.3853	4.066571	vis_abst_4	2	384.206376
387.451964	4.06660500000004	vis_abst_2	2	388.208376
391.518674	6.09992499999999	vis_Nabst_6	1	392.439376
