onset	duration	trial_type	resp	respTime
8	5.083287	vis_abst_8	1	8.950674
13.10007	6.003758	tact_abst_2	2	15.301674
19.10394	4.06273599999999	vis_Nabst_8	1	19.901674
23.16681	5.083224	vis_abst_4	2	24.022674
28.250132	4.066594	vis_Nabst_2	2	29.076674
32.333538	5.003289	tact_abst_6	2	34.260674
37.336923	4.063183	vis_Nabst_4	2	38.117674
41.4002	6.099935	vis_abst_2	2	42.253674
47.517009	4.002617	tact_abst_8	0	0
51.519722	6.097129	vis_abst_6	1	52.985674
57.633719	5.00310800000001	tact_abst_4	2	60.519674
62.636924	6.096655	vis_Nabst_6	1	63.472674
73.767024	6.09994499999999	vis_abst_2	2	74.898674
79.86707	4.06658300000001	vis_Nabst_6	1	80.770674
83.950529	5.00299800000001	tact_abst_4	2	86.493674
88.953626	6.09674800000002	vis_Nabst_8	1	90.569674
95.06722	4.00250700000001	tact_abst_2	2	96.666674
99.069823	5.08060000000001	vis_abst_8	1	100.113674
104.15052	4.06660200000001	vis_Nabst_4	2	105.128674
108.233972	6.00375399999999	tact_abst_8	1	109.733674
114.237825	5.07934199999997	vis_abst_6	1	115.061674
119.317265	4.06659600000002	vis_Nabst_2	2	120.086674
123.400672	5.002755	tact_abst_6	1	125.524674
128.403524	6.09706599999999	vis_abst_4	2	129.286674
139.534042	6.099929	vis_Nabst_2	2	140.247674
145.650759	5.00276700000002	tact_abst_6	1	147.681674
150.653619	4.063739	vis_abst_2	2	151.488674
154.734231	6.003696	tact_abst_8	1	157.096674
160.738025	5.07938399999999	vis_Nabst_4	2	162.604674
165.817504	6.099948	vis_abst_8	1	166.660674
171.934307	4.00242199999999	tact_abst_4	2	173.780674
175.936827	6.09733900000001	vis_Nabst_6	1	176.659674
182.034263	5.08325599999999	vis_abst_4	2	182.965674
187.117617	4.06659299999999	vis_Nabst_8	1	187.945674
191.184313	5.08325599999999	vis_abst_6	2	192.036674
196.284444	4.00238400000002	tact_abst_2	2	197.394674
205.317713	5.08326500000001	vis_abst_4	2	206.180674
210.417837	4.002389	tact_abst_6	1	211.579674
214.420321	6.09738099999999	vis_Nabst_2	2	216.069674
220.517798	4.06658299999998	vis_abst_8	1	221.378674
224.584479	6.09994099999999	vis_Nabst_4	2	225.788674
230.701293	5.00323499999999	tact_abst_2	2	231.631674
235.704625	6.09651500000001	vis_Nabst_6	1	236.550674
241.818016	4.00261099999998	tact_abst_4	2	243.041674
245.820724	5.080467	vis_abst_6	1	247.377674
250.917968	6.00356	tact_abst_8	1	252.775674
256.92163	5.07961200000002	vis_abst_2	2	257.660674
262.001341	4.066592	vis_Nabst_8	1	262.719674
271.118159	5.00296799999999	tact_abst_8	2	273.196674
276.121224	4.06344200000004	vis_Nabst_4	2	277.018674
280.18476	6.09994400000002	vis_abst_6	1	280.910674
286.284806	4.06658500000002	vis_Nabst_2	2	287.081674
290.368253	5.002375	tact_abst_6	1	290.424674
295.370722	6.09739500000002	vis_abst_4	2	296.376674
301.484975	4.002652	tact_abst_2	2	302.553674
305.487723	5.08044900000002	vis_Nabst_8	1	306.564674
310.568271	6.099929	vis_abst_2	2	311.184674
316.6683	4.06658500000002	vis_Nabst_6	1	317.795674
320.751751	5.00287700000004	tact_abst_4	2	321.931674
325.754724	6.09688099999999	vis_abst_8	1	326.417674
336.885112	4.06654499999998	vis_Nabst_4	2	337.642674
340.96852	5.00310699999996	tact_abst_6	1	342.966674
345.971722	6.09665999999997	vis_abst_8	1	347.611674
352.085251	4.00247700000001	tact_abst_2	2	353.448674
356.087825	5.08060499999998	vis_Nabst_6	1	356.976674
361.168525	4.06658899999998	vis_abst_2	2	361.975674
365.251987	6.00394099999999	tact_abst_8	1	367.234674
371.256033	4.06246799999999	vis_abst_4	2	372.043674
375.318598	5.08326500000001	vis_Nabst_8	1	376.135674
380.418639	6.003489	tact_abst_4	2	382.092674
386.422224	5.07968800000002	vis_abst_6	1	387.211674
391.502012	6.09993099999998	vis_Nabst_2	2	392.973674
