onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.207	2.00999999999999	4	4	5	28	TARGET
9.76999999999999	1.90800000000002	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
12.181	2.011	4	4	0	NaN	NULL
14.732	1.90599999999998	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
17.156	1.90700000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
19.584	1.911	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
22.008	1.90600000000001	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
24.433	1.90899999999999	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
26.834	2.011	4	4	5	28	TARGET
29.389	1.90700000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
31.807	1.90300000000002	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
34.209	2.00899999999999	4	4	0	NaN	NULL
36.737	2.00899999999999	4	4	0	NaN	NULL
39.288	1.90700000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
41.716	1.90899999999999	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
44.139	1.90600000000001	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
46.542	2.00999999999999	4	4	5	28	TARGET
49.104	1.91500000000002	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
51.532	1.90900000000002	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
53.936	2.01000000000002	4	4	5	28	TARGET
56.491	1.90600000000001	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
58.895	2.00900000000001	4	4	0	NaN	NULL
61.447	1.90600000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
63.876	1.90899999999999	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
66.306	1.91	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
68.711	2.00900000000001	4	4	5	28	TARGET
71.241	2.01000000000002	4	4	0	NaN	NULL
73.794	1.905	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
76.222	1.90700000000001	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
78.649	1.905	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
81.074	1.90700000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
83.499	1.904	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
85.928	1.90699999999998	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
88.356	1.90599999999998	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
90.763	2.00999999999999	4	4	0	NaN	NULL
93.295	2.01000000000002	4	4	5	28	TARGET
95.831	2.00999999999999	1	1	5	28	TARGET
98.39	1.90800000000002	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
100.816	1.905	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
103.248	1.91000000000003	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
105.679	1.90899999999999	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
108.084	2.00899999999999	1	1	0	NaN	NULL
110.618	2.00899999999999	1	1	0	NaN	NULL
113.182	1.91500000000002	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
115.59	2.00999999999999	1	1	5	28	TARGET
118.149	1.90600000000001	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
120.58	1.90700000000001	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
123.007	1.904	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
125.435	1.90300000000002	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
127.863	1.90600000000001	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
130.291	1.89999999999998	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
132.699	2.00999999999999	1	1	0	NaN	NULL
135.235	2.00899999999996	1	1	5	28	TARGET
137.791	1.90200000000004	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
140.22	1.90300000000002	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
142.63	2.00900000000001	1	1	5	28	TARGET
145.167	2.00900000000001	1	1	0	NaN	NULL
147.724	1.90499999999997	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
150.149	1.89800000000002	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
152.58	1.90299999999996	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
155.009	1.90199999999999	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
157.42	2.00999999999999	1	1	5	28	TARGET
159.979	1.904	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
162.387	2.00900000000001	1	1	0	NaN	NULL
164.943	1.90299999999996	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
167.372	1.90099999999995	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
169.801	1.90100000000001	1	1	4	NaN	F024_angry_cars0001-0057_half.avi
172.233	1.90400000000005	1	1	1	NaN	F024_angry_anticars0001-0057_half.avi
174.645	2.00900000000001	1	1	0	NaN	NULL
177.205	1.90500000000003	1	1	3	NaN	F024_angry_antimcars0001-0057_half.avi
179.641	1.90699999999998	1	1	2	NaN	F024_angry_antim_anticars0001-0057_half.avi
182.054	2.00999999999999	1	1	5	28	TARGET
184.617	1.90500000000003	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
187.046	1.899	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
189.477	1.90100000000001	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
191.892	2.00900000000001	5	1	5	28	TARGET
194.45	1.90100000000001	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
196.859	2.00900000000001	5	1	0	NaN	NULL
199.398	2.00900000000001	5	1	0	NaN	NULL
201.957	1.90300000000002	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
204.389	1.90099999999995	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
206.82	1.90000000000003	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
209.235	2.00899999999996	5	1	5	28	TARGET
211.796	1.90300000000002	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
214.224	1.89699999999999	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
216.654	1.89699999999999	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
219.084	1.89600000000002	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
221.498	2.00900000000001	5	1	0	NaN	NULL
224.059	1.904	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
226.474	2.00900000000001	5	1	5	28	TARGET
229.017	2.00999999999999	5	1	5	28	TARGET
231.572	1.89600000000002	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
233.986	2.00900000000001	5	1	0	NaN	NULL
236.547	1.90199999999999	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
238.976	1.89400000000001	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
241.407	1.899	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
243.839	1.89999999999998	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
246.287	1.91300000000001	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
248.723	1.904	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
251.143	2.00900000000001	5	1	0	NaN	NULL
253.686	2.00900000000001	5	1	5	28	TARGET
256.252	1.904	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
258.684	1.89799999999997	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
261.103	2.00899999999996	5	1	5	28	TARGET
263.649	2.00900000000001	5	1	0	NaN	NULL
266.213	1.904	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
268.644	1.89500000000004	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
271.085	1.90600000000001	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
273.511	1.89600000000002	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
275.944	1.899	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
278.362	2.01000000000005	4	2	5	28	TARGET
280.918	1.899	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
283.352	1.89999999999998	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
285.769	2.00900000000001	4	2	0	NaN	NULL
288.315	2.00900000000001	4	2	0	NaN	NULL
290.878	1.90100000000001	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
293.307	1.89400000000001	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
295.741	1.899	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
298.174	1.89800000000002	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
300.592	2.00900000000001	4	2	5	28	TARGET
303.137	2.00900000000001	4	2	5	28	TARGET
305.7	1.89800000000002	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
308.133	1.89800000000002	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
310.55	2.00899999999996	4	2	0	NaN	NULL
313.112	1.899	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
315.54	1.89400000000001	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
317.975	1.89999999999998	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
320.406	1.89800000000002	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
322.826	2.01000000000005	4	2	0	NaN	NULL
