onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.285	1.96	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
9.746	1.897	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
12.156	2.012	3	2	0	NaN	NULL
14.711	1.908	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
17.112	2.014	3	2	5	28	TARGET
19.671	1.899	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
22.097	1.907	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
24.526	1.91	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
26.954	1.908	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
29.355	2.01	3	2	5	28	TARGET
31.907	1.899	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
34.311	2.009	3	2	0	NaN	NULL
36.84	2.009	3	2	0	NaN	NULL
39.368	2.01	3	2	5	28	TARGET
41.925	1.90900000000001	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
44.35	1.905	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
46.776	1.907	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
49.198	1.904	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
51.622	1.905	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
54.05	1.907	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
56.475	1.904	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
58.879	2.009	3	2	0	NaN	NULL
61.432	1.908	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
63.838	2.01000000000001	3	2	5	28	TARGET
66.371	2.01000000000001	3	2	5	28	TARGET
68.928	1.90600000000001	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
71.333	2.009	3	2	0	NaN	NULL
73.891	1.911	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
76.321	1.90900000000001	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
78.746	1.90299999999999	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
81.173	1.904	3	2	4	NaN	F036_disgust_cars0001-0057_half.avi
83.599	1.905	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
86.018	1.90000000000001	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
88.421	2.009	3	2	5	28	TARGET
90.955	2.009	3	2	0	NaN	NULL
93.512	1.90900000000001	3	2	1	NaN	F036_disgust_anticars0001-0057_half.avi
95.946	1.90600000000001	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
98.373	1.90599999999999	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
100.799	1.90600000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
103.229	1.90600000000001	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
105.636	2.009	5	5	0	NaN	NULL
108.17	2.01000000000001	5	5	5	28	TARGET
110.707	2.00900000000001	5	5	5	28	TARGET
113.266	1.90799999999999	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
115.693	1.90100000000001	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
118.101	2.00899999999999	5	5	0	NaN	NULL
120.659	1.90700000000001	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
123.092	1.90899999999999	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
125.523	1.90699999999998	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
127.931	2.01000000000002	5	5	0	NaN	NULL
130.494	1.91	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
132.903	2.00999999999999	5	5	5	28	TARGET
135.464	1.90599999999998	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
137.893	1.90199999999999	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
140.326	1.905	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
142.754	1.90200000000002	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
145.163	2.01000000000002	5	5	5	28	TARGET
147.727	1.91	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
150.157	1.905	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
152.564	2.00900000000001	5	5	0	NaN	NULL
155.101	2.00999999999999	5	5	0	NaN	NULL
157.661	1.905	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
160.091	1.90199999999999	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
162.503	2.01000000000002	5	5	5	28	TARGET
165.066	1.90699999999998	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
167.496	1.905	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
169.927	1.90400000000002	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
172.363	1.90599999999998	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
174.776	2.00900000000001	5	5	5	28	TARGET
177.316	2.00999999999999	5	5	0	NaN	NULL
179.871	1.90000000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
182.3	1.899	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
184.727	1.898	4	1	1	NaN	M002_angry_anticars0001-0057_half.avi
187.161	1.90299999999999	4	1	3	NaN	M002_angry_antimcars0001-0057_half.avi
189.574	2.00900000000001	4	1	0	NaN	NULL
192.114	2.00999999999999	4	1	5	28	TARGET
194.675	1.90299999999999	4	1	4	NaN	M002_angry_cars0001-0057_half.avi
197.108	1.90899999999999	4	1	2	NaN	M002_angry_antim_anticars0001-0057_half.avi
199.538	1.904	4	1	2	NaN	M002_angry_antim_anticars0001-0057_half.avi
201.972	1.90299999999999	4	1	3	NaN	M002_angry_antimcars0001-0057_half.avi
204.401	1.89599999999999	4	1	1	NaN	M002_angry_anticars0001-0057_half.avi
206.832	1.899	4	1	4	NaN	M002_angry_cars0001-0057_half.avi
209.246	2.01000000000002	4	1	5	28	TARGET
211.789	2.00900000000001	4	1	0	NaN	NULL
214.33	2.01000000000002	4	1	0	NaN	NULL
216.886	1.898	4	1	4	NaN	M002_angry_cars0001-0057_half.avi
219.315	1.899	4	1	3	NaN	M002_angry_antimcars0001-0057_half.avi
221.747	1.90000000000001	4	1	2	NaN	M002_angry_antim_anticars0001-0057_half.avi
224.179	1.90000000000001	4	1	1	NaN	M002_angry_anticars0001-0057_half.avi
226.594	2.00899999999999	4	1	5	28	TARGET
229.138	2.00999999999999	4	1	5	28	TARGET
231.699	1.90000000000001	4	1	1	NaN	M002_angry_anticars0001-0057_half.avi
234.13	1.89800000000002	4	1	2	28	M002_angry_antim_anticars0001-0057_half.avi
236.549	2.00899999999999	4	1	0	NaN	NULL
239.092	1.89600000000002	4	1	3	NaN	M002_angry_antimcars0001-0057_half.avi
241.524	1.90199999999999	4	1	4	NaN	M002_angry_cars0001-0057_half.avi
243.964	1.90699999999998	4	1	4	NaN	M002_angry_cars0001-0057_half.avi
246.402	1.904	4	1	1	NaN	M002_angry_anticars0001-0057_half.avi
248.82	2.00900000000001	4	1	0	NaN	NULL
251.383	1.90300000000002	4	1	2	NaN	M002_angry_antim_anticars0001-0057_half.avi
253.8	2.00899999999996	4	1	5	28	TARGET
