onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.221	1.902	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
9.631	2.01000000000001	3	1	5	28	TARGET
12.192	1.911	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
14.618	1.908	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
17.02	2.009	3	1	0	NaN	NULL
19.57	1.908	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
21.997	1.906	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
24.395	2.01	3	1	5	28	TARGET
26.948	1.907	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
29.349	2.01	3	1	0	NaN	NULL
31.903	1.90899999999999	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
34.326	1.905	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
36.75	1.90499999999999	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
39.151	2.01000000000001	3	1	0	NaN	NULL
41.68	2.00999999999999	3	1	5	28	TARGET
44.236	1.91	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
46.657	1.90299999999999	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
49.085	1.908	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
51.512	1.907	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
53.937	1.90600000000001	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
56.362	1.90700000000001	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
58.792	1.91	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
61.196	2.01000000000001	3	1	5	28	TARGET
63.727	2.01000000000001	3	1	0	NaN	NULL
66.258	2.009	3	1	0	NaN	NULL
68.81	1.905	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
71.232	1.90300000000001	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
73.66	1.908	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
76.089	1.90600000000001	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
78.493	2.00999999999999	3	1	5	28	TARGET
81.026	2.01000000000001	3	1	5	28	TARGET
83.585	1.908	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
86.012	1.90499999999999	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
88.418	2.009	3	1	0	NaN	NULL
90.976	1.911	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
93.404	1.90600000000001	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
95.836	1.90699999999998	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
98.264	1.90699999999998	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
100.671	2.01000000000002	3	5	0	NaN	NULL
103.205	2.00999999999999	3	5	5	28	TARGET
105.766	1.90899999999999	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
108.199	1.90899999999999	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
110.63	1.905	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
113.06	1.905	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
