onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.218	1.9	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
9.651	1.904	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
12.052	2.01	4	5	5	28	TARGET
14.606	1.907	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
17.031	1.908	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
19.432	2.01	4	5	0	NaN	NULL
21.96	2.009	4	5	0	NaN	NULL
24.513	1.91	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
26.94	1.908	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
29.366	1.91	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
31.792	1.909	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
34.194	2.01	4	5	5	28	TARGET
36.723	2.01	4	5	5	28	TARGET
39.276	1.907	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
41.704	1.91	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
44.107	2.009	4	5	0	NaN	NULL
46.66	1.907	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
49.088	1.91	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
51.512	1.90600000000001	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
53.937	1.907	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
56.342	2.009	4	5	0	NaN	NULL
58.871	2.01000000000001	4	5	5	28	TARGET
61.429	1.91000000000001	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
63.857	1.908	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
66.285	1.908	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
68.714	1.907	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
71.119	2.00999999999999	4	5	5	28	TARGET
73.653	2.009	4	5	0	NaN	NULL
76.206	1.907	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
78.632	1.90599999999999	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
81.059	1.90600000000001	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
83.491	1.90900000000001	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
85.898	2.009	4	5	0	NaN	NULL
88.457	1.91200000000001	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
90.864	2.01000000000001	4	5	5	28	TARGET
93.424	1.90899999999999	4	5	2	28	M002_surprise_antim_anticars0001-0057_half.avi
95.856	1.905	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
98.261	2.009	5	2	5	28	TARGET
100.816	1.904	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
103.223	2.00999999999999	5	2	0	NaN	NULL
105.78	1.90700000000001	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
108.211	1.907	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
110.639	1.905	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
113.047	2.01000000000001	5	2	5	28	TARGET
115.606	1.90700000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
118.04	1.90699999999998	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
120.448	2.00900000000001	5	2	0	NaN	NULL
123.007	1.90900000000002	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
125.437	1.90699999999998	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
127.869	1.90800000000002	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
130.276	2.00899999999999	5	2	5	28	TARGET
132.831	1.90199999999999	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
135.258	1.90000000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
137.667	2.00900000000001	5	2	0	NaN	NULL
140.202	2.01000000000002	5	2	0	NaN	NULL
142.762	1.90700000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
145.186	1.89700000000002	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
147.618	1.904	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
150.029	2.00900000000001	5	2	5	28	TARGET
152.587	1.90600000000001	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
155.02	1.90799999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
157.454	1.90600000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
159.887	1.905	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
162.317	1.90100000000001	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
164.728	2.00900000000001	5	2	0	NaN	NULL
167.265	2.00999999999999	5	2	5	28	TARGET
169.805	2.00999999999999	5	2	5	28	TARGET
172.346	2.01000000000002	5	2	0	NaN	NULL
