onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.244	1.386	2	1	28	'4'
8.776	1.382	2	1	NaN	'6'
10.297	1.382	2	1	28	'2_dot'
11.813	1.382	2	1	28	'7_dot'
13.325	1.382	2	1	28	'3_dot'
14.837	1.382	2	1	NaN	'8'
16.346	1.382	2	1	NaN	'5'
17.859	1.382	2	1	28	'1_dot'
19.513	1.375	1	0	28	'4s_dot'
21.045	1.375	1	0	NaN	'3f_dot'
22.581	1.375	1	0	NaN	'8s'
24.108	1.375	1	0	NaN	'1d'
25.642	1.375	1	0	NaN	'5h'
27.172	1.375	1	0	NaN	'2f'
28.702	1.375	1	0	NaN	'6d'
30.235	1.375	1	0	28	'7h_dot'
31.752	1.381	2	1	NaN	'7'
33.262	1.382	2	1	28	'6_dot'
34.772	1.381	2	1	NaN	'3'
36.282	1.381	2	1	28	'8_dot'
37.789	1.381	2	1	NaN	'5'
39.297	1.382	2	1	NaN	'4'
40.806	1.38	2	1	28	'1_dot'
42.315	1.382	2	1	NaN	'2'
43.824	1.382	2	1	NaN	'8'
45.332	1.381	2	1	NaN	'2'
46.841	1.382	2	1	NaN	'3'
48.351	1.382	2	1	NaN	'1'
49.861	1.38	2	1	NaN	'6'
51.369	1.383	2	1	28	'5_dot'
52.879	1.382	2	1	NaN	'4'
54.385	1.381	2	1	NaN	'7'
55.897	1.38	1	1	28	'6s_dot'
57.407	1.38	1	1	NaN	'3d'
58.916	1.38	1	1	NaN	'7h'
60.423	1.38	1	1	28	'8s_dot'
61.932	1.38	1	1	NaN	'5h'
63.44	1.38	1	1	NaN	'1f'
64.946	1.379	1	1	28	'2d_dot'
66.454	1.379	1	1	28	'4f_dot'
67.962	1.382	2	1	28	'5_dot'
69.47	1.382	2	1	NaN	'2'
70.977	1.382	2	1	28	'1_dot'
72.486	1.382	2	1	NaN	'7'
73.996	1.382	2	1	28	'6_dot'
75.503	1.382	2	1	NaN	'8'
77.01	1.382	2	1	NaN	'3'
78.516	1.382	2	1	NaN	'4'
80.042	1.375	2	0	NaN	'7'
81.571	1.375	2	0	28	'3_dot'
83.099	1.375	2	0	NaN	'1'
84.627	1.375	2	0	28	'8_dot'
86.156	1.375	2	0	28	'5_dot'
87.684	1.375	2	0	NaN	'4'
89.215	1.375	2	0	28	'2_dot'
90.744	1.375	2	0	NaN	'6'
92.258	1.38	1	1	NaN	'6d'
93.768	1.38	1	1	28	'1f_dot'
95.276	1.38	1	1	28	'5h_dot'
96.784	1.38	1	1	NaN	'3f'
98.293	1.38	1	1	28	'7s_dot'
99.8	1.38	1	1	NaN	'2d'
101.307	1.38	1	1	28	'8h'
102.815	1.38	1	1	NaN	'4s'
104.341	1.375	2	0	NaN	'3'
105.861	1.375	2	0	NaN	'7'
107.378	1.375	2	0	NaN	'1'
108.902	1.375	2	0	NaN	'8'
110.424	1.375	2	0	NaN	'4'
111.954	1.375	2	0	NaN	'5'
113.478	1.375	2	0	NaN	'6'
114.996	1.375	2	0	28	'2_dot'
116.523	1.375	1	0	NaN	'6f'
118.049	1.375	1	0	NaN	'1h'
119.575	1.375	1	0	NaN	'4f'
121.107	1.375	1	0	28	'3s_dot'
122.63	1.375	1	0	NaN	'8h'
124.163	1.375	1	0	28	'7s_dot'
125.691	1.375	1	0	NaN	'2d'
127.22	1.375	1	0	NaN	'5d'
128.752	1.375	1	0	28	'5s_dot'
130.27	1.375	1	0	NaN	'2f'
131.796	1.375	1	0	28	'6s_dot'
133.318	1.375	1	0	NaN	'4d'
134.841	1.375	1	0	NaN	'8h'
136.37	1.375	1	0	NaN	'7d'
137.9	1.375	1	0	NaN	'1f'
139.43	1.375	1	0	NaN	'3h'
140.95	1.375	2	0	28	'8_dot'
142.471	1.375	2	0	NaN	'1'
143.994	1.375	2	0	NaN	'3'
145.518	1.375	2	0	NaN	'7'
147.049	1.375	2	0	NaN	'2'
148.582	1.375	2	0	28	'4_dot'
150.1	1.375	2	0	NaN	'5'
151.619	1.375	2	0	NaN	'6'
153.131	1.38	1	1	NaN	'8f'
154.638	1.38	1	1	NaN	'3f'
156.144	1.379	1	1	28	'6h_dot'
157.649	1.38	1	1	NaN	'7s'
159.162	1.38	1	1	NaN	'5d'
160.666	1.38	1	1	NaN	'1s'
162.173	1.379	1	1	NaN	'2d'
163.678	1.38	1	1	NaN	'4h'
165.203	1.375	2	0	NaN	'3'
166.73	1.375	2	0	NaN	'5'
168.263	1.375	2	0	28	'7_dot'
169.778	1.375	2	0	NaN	'4'
171.302	1.375	2	0	28	'2_dot'
172.823	1.375	2	0	NaN	'8'
174.355	1.375	2	0	28	'1_dot'
175.88	1.375	2	0	NaN	'6'
177.413	1.375	1	0	NaN	'4s'
178.942	1.375	1	0	NaN	'5f'
180.458	1.375	1	0	NaN	'8h'
181.986	1.375	1	0	28	'6d_dot'
183.511	1.375	1	0	28	'3d_dot'
185.033	1.375	1	0	NaN	'7f'
186.56	1.375	1	0	NaN	'1s'
188.092	1.375	1	0	28	'2h_dot'
189.602	1.38	1	1	NaN	'8d'
191.104	1.38	1	1	NaN	'6f'
192.611	1.38	1	1	NaN	'4s'
194.119	1.379	1	1	28	'5s_dot'
195.626	1.38	1	1	28	'1d_dot'
197.132	1.38	1	1	28	'7h_dot'
198.64	1.38	1	1	NaN	'3h'
200.148	1.38	1	1	NaN	'2f'
