onset	duration	sample	type	value
484.426666666667	0	581313	LIGHT	n/a
488.405833333333	n/a	586088	frontpanel trigger	16
488.405833333333	n/a	586088	UPPT001	16
488.405833333333	0	586088	lose	n/a
488.428333333333	0	586115	LIGHT	n/a
490	10	588001	trial	n/a
491.414166666667	n/a	589698	frontpanel trigger	1
491.414166666667	n/a	589698	UPPT001	1
491.414166666667	0	589698	Answer	n/a
491.429166666667	0	589716	LIGHT	n/a
492.825	n/a	591391	frontpanel trigger	4
492.825	n/a	591391	UPPT001	4
492.825	0	591391	gamble	n/a
492.846666666667	0	591417	LIGHT	n/a
496.825	n/a	596191	frontpanel trigger	16
496.825	n/a	596191	UPPT001	16
496.825	0	596191	lose	n/a
496.848333333333	0	596219	LIGHT	n/a
498.814166666667	n/a	598578	frontpanel trigger	32
498.814166666667	n/a	598578	UPPT001	32
498.814166666667	0	598578	ratemood	n/a
498.8325	0	598600	LIGHT	n/a
500	10	600001	trial	n/a
501.814166666667	n/a	602178	frontpanel trigger	64
501.814166666667	n/a	602178	UPPT001	64
501.814166666667	0	602178	slider	n/a
501.833333333333	0	602201	LIGHT	n/a
508.34	n/a	610009	frontpanel trigger	1
508.34	n/a	610009	UPPT001	1
508.34	0	610009	Answer	n/a
508.3525	0	610024	LIGHT	n/a
510	10	612001	trial	n/a
510.366666666667	n/a	612441	frontpanel trigger	4
510.366666666667	n/a	612441	UPPT001	4
510.366666666667	0	612441	gamble	n/a
510.386666666667	0	612465	LIGHT	n/a
514.365833333333	n/a	617240	frontpanel trigger	8
514.365833333333	n/a	617240	UPPT001	8
514.365833333333	0	617240	win	n/a
514.388333333333	0	617267	LIGHT	n/a
517.375833333333	n/a	620852	frontpanel trigger	1
517.375833333333	n/a	620852	UPPT001	1
517.375833333333	0	620852	Answer	n/a
517.39	0	620869	LIGHT	n/a
519.3525	n/a	623224	frontpanel trigger	2
519.3525	n/a	623224	UPPT001	2
519.3525	0	623224	certain	n/a
519.374166666667	0	623250	LIGHT	n/a
520	10	624001	trial	n/a
523.375	0	628051	LIGHT	n/a
525.341666666667	n/a	630411	frontpanel trigger	32
525.341666666667	n/a	630411	UPPT001	32
525.341666666667	0	630411	ratemood	n/a
525.359166666667	0	630432	LIGHT	n/a
528.341666666667	n/a	634011	frontpanel trigger	64
528.341666666667	n/a	634011	UPPT001	64
528.341666666667	0	634011	slider	n/a
528.360833333333	0	634034	LIGHT	n/a
530	10	636001	trial	n/a
534.865	n/a	641839	frontpanel trigger	1
534.865	n/a	641839	UPPT001	1
534.865	0	641839	Answer	n/a
534.88	0	641857	LIGHT	n/a
537.009166666667	n/a	644412	frontpanel trigger	2
537.009166666667	n/a	644412	UPPT001	2
537.009166666667	0	644412	certain	n/a
537.030833333333	0	644438	LIGHT	n/a
540	10	648001	trial	n/a
541.0325	0	649240	LIGHT	n/a
544.018333333333	n/a	652823	frontpanel trigger	1
544.018333333333	n/a	652823	UPPT001	1
544.018333333333	0	652823	Answer	n/a
544.033333333333	0	652841	LIGHT	n/a
546.5625	n/a	655876	frontpanel trigger	4
546.5625	n/a	655876	UPPT001	4
546.5625	0	655876	gamble	n/a
546.584166666667	0	655902	LIGHT	n/a
550	10	660001	trial	n/a
550.5625	n/a	660676	frontpanel trigger	16
550.5625	n/a	660676	UPPT001	16
550.5625	0	660676	lose	n/a
550.585833333333	0	660704	LIGHT	n/a
552.5525	n/a	663064	frontpanel trigger	32
552.5525	n/a	663064	UPPT001	32
552.5525	0	663064	ratemood	n/a
552.57	0	663085	LIGHT	n/a
555.5525	n/a	666664	frontpanel trigger	64
555.5525	n/a	666664	UPPT001	64
555.5525	0	666664	slider	n/a
555.571666666667	0	666687	LIGHT	n/a
560	10	672001	trial	n/a
562.076666666667	n/a	674493	frontpanel trigger	1
562.076666666667	n/a	674493	UPPT001	1
562.076666666667	0	674493	Answer	n/a
562.090833333333	0	674510	LIGHT	n/a
564.154166666667	n/a	676986	frontpanel trigger	4
564.154166666667	n/a	676986	UPPT001	4
564.154166666667	0	676986	gamble	n/a
564.175	0	677011	LIGHT	n/a
568.153333333333	n/a	681785	frontpanel trigger	16
568.153333333333	n/a	681785	UPPT001	16
568.153333333333	0	681785	lose	n/a
568.176666666667	0	681813	LIGHT	n/a
570	10	684001	trial	n/a
571.1625	n/a	685396	frontpanel trigger	1
571.1625	n/a	685396	UPPT001	1
571.1625	0	685396	Answer	n/a
571.1775	0	685414	LIGHT	n/a
573.94	n/a	688729	frontpanel trigger	4
573.94	n/a	688729	UPPT001	4
573.94	0	688729	gamble	n/a
573.961666666667	0	688755	LIGHT	n/a
577.94	n/a	693529	frontpanel trigger	8
577.94	n/a	693529	UPPT001	8
577.94	0	693529	win	n/a
577.963333333333	0	693557	LIGHT	n/a
580	10	696001	trial	n/a
580.949166666667	n/a	697140	frontpanel trigger	1
580.949166666667	n/a	697140	UPPT001	1
580.949166666667	0	697140	Answer	n/a
580.965	0	697159	LIGHT	n/a
582.96	n/a	699553	frontpanel trigger	2
582.96	n/a	699553	UPPT001	2
582.96	0	699553	certain	n/a
582.9825	0	699580	LIGHT	n/a
586.966666666667	0	704361	LIGHT	n/a
588.95	n/a	706741	frontpanel trigger	32
588.95	n/a	706741	UPPT001	32
588.95	0	706741	ratemood	n/a
588.9675	0	706762	LIGHT	n/a
590	10	708001	trial	n/a
591.95	n/a	710341	frontpanel trigger	64
591.95	n/a	710341	UPPT001	64
591.95	0	710341	slider	n/a
591.969166666667	0	710364	LIGHT	n/a
598.474166666667	n/a	718170	frontpanel trigger	1
598.474166666667	n/a	718170	UPPT001	1
598.474166666667	0	718170	Answer	n/a
598.488333333333	0	718187	LIGHT	n/a
600	10	720001	trial	n/a
600.584166666667	n/a	720702	frontpanel trigger	2
600.584166666667	n/a	720702	UPPT001	2
600.584166666667	0	720702	certain	n/a
600.605833333333	0	720728	LIGHT	n/a
604.6075	0	725530	LIGHT	n/a
607.594166666667	n/a	729114	frontpanel trigger	1
607.594166666667	n/a	729114	UPPT001	1
607.594166666667	0	729114	Answer	n/a
607.608333333333	0	729131	LIGHT	n/a
610	10	732001	trial	n/a
610.1875	n/a	732226	frontpanel trigger	4
610.1875	n/a	732226	UPPT001	4
610.1875	0	732226	gamble	n/a
610.209166666667	0	732252	LIGHT	n/a
614.1875	n/a	737026	frontpanel trigger	16
614.1875	n/a	737026	UPPT001	16
614.1875	0	737026	lose	n/a
614.210833333333	0	737054	LIGHT	n/a
616.1775	n/a	739414	frontpanel trigger	32
616.1775	n/a	739414	UPPT001	32
616.1775	0	739414	ratemood	n/a
616.195	0	739435	LIGHT	n/a
619.1775	n/a	743014	frontpanel trigger	64
619.1775	n/a	743014	UPPT001	64
619.1775	0	743014	slider	n/a
619.196666666667	0	743037	LIGHT	n/a
620	10	744001	trial	n/a
625.700833333333	n/a	750842	frontpanel trigger	1
625.700833333333	n/a	750842	UPPT001	1
625.700833333333	0	750842	Answer	n/a
625.715833333333	0	750860	LIGHT	n/a
628.045833333333	n/a	753656	frontpanel trigger	2
628.045833333333	n/a	753656	UPPT001	2
628.045833333333	0	753656	certain	n/a
628.066666666667	0	753681	LIGHT	n/a
630	10	756001	trial	n/a
632.051666666667	0	758463	LIGHT	n/a
635.055833333333	n/a	762068	frontpanel trigger	1
635.055833333333	n/a	762068	UPPT001	1
635.055833333333	0	762068	Answer	n/a
635.069166666667	0	762084	LIGHT	n/a
637.149166666667	n/a	764580	frontpanel trigger	2
637.149166666667	n/a	764580	UPPT001	2
637.149166666667	0	764580	certain	n/a
637.17	0	764605	LIGHT	n/a
640	10	768001	trial	n/a
641.171666666667	0	769407	LIGHT	n/a
643.1375	n/a	771766	frontpanel trigger	32
643.1375	n/a	771766	UPPT001	32
643.1375	0	771766	ratemood	n/a
643.155833333333	0	771788	LIGHT	n/a
646.1375	n/a	775366	frontpanel trigger	64
646.1375	n/a	775366	UPPT001	64
646.1375	0	775366	slider	n/a
646.156666666667	0	775389	LIGHT	n/a
650	10	780001	trial	n/a
652.6625	n/a	783196	frontpanel trigger	1
652.6625	n/a	783196	UPPT001	1
652.6625	0	783196	Answer	n/a
652.675833333333	0	783212	LIGHT	n/a
655.655833333333	n/a	786788	frontpanel trigger	4
655.655833333333	n/a	786788	UPPT001	4
655.655833333333	0	786788	gamble	n/a
655.6775	0	786814	LIGHT	n/a
659.655833333333	n/a	791588	frontpanel trigger	8
659.655833333333	n/a	791588	UPPT001	8
659.655833333333	0	791588	win	n/a
659.679166666667	0	791616	LIGHT	n/a
660	10	792001	trial	n/a
662.665	n/a	795199	frontpanel trigger	1
662.665	n/a	795199	UPPT001	1
662.665	0	795199	Answer	n/a
662.68	0	795217	LIGHT	n/a
664.209166666667	n/a	797052	frontpanel trigger	4
664.209166666667	n/a	797052	UPPT001	4
664.209166666667	0	797052	gamble	n/a
664.230833333333	0	797078	LIGHT	n/a
668.208333333333	n/a	801851	frontpanel trigger	8
668.208333333333	n/a	801851	UPPT001	8
668.208333333333	0	801851	win	n/a
668.215833333333	0	801860	LIGHT	n/a
670	10	804001	trial	n/a
671.218333333333	n/a	805463	frontpanel trigger	1
671.218333333333	n/a	805463	UPPT001	1
671.218333333333	0	805463	Answer	n/a
671.233333333333	0	805481	LIGHT	n/a
672.545	n/a	807055	frontpanel trigger	2
672.545	n/a	807055	UPPT001	2
672.545	0	807055	certain	n/a
672.5675	0	807082	LIGHT	n/a
676.569166666667	0	811884	LIGHT	n/a
678.535	n/a	814243	frontpanel trigger	32
678.535	n/a	814243	UPPT001	32
678.535	0	814243	ratemood	n/a
678.553333333333	0	814265	LIGHT	n/a
680	10	816001	trial	n/a
681.535	n/a	817843	frontpanel trigger	64
681.535	n/a	817843	UPPT001	64
681.535	0	817843	slider	n/a
681.554166666667	0	817866	LIGHT	n/a
688.059166666667	n/a	825672	frontpanel trigger	1
688.059166666667	n/a	825672	UPPT001	1
688.059166666667	0	825672	Answer	n/a
688.073333333333	0	825689	LIGHT	n/a
690	10	828001	trial	n/a
690.235833333333	n/a	828284	frontpanel trigger	4
690.235833333333	n/a	828284	UPPT001	4
690.235833333333	0	828284	gamble	n/a
690.2575	0	828310	LIGHT	n/a
694.235833333333	n/a	833084	frontpanel trigger	8
694.235833333333	n/a	833084	UPPT001	8
694.235833333333	0	833084	win	n/a
694.259166666667	0	833112	LIGHT	n/a
697.225	n/a	836671	frontpanel trigger	128
