onset	duration	imageid
8	4	266244
12	4	16010
16	4	92402
20	4	160311
24	4	431165
28	4	559463
32	4	431240
36	4	206548
40	4	354770
44	4	566262
48	4	367786
52	4	505384
56	4	382603
60	4	183809
64	4	405288
72	4	252759
76	4	397523
80	4	391509
84	4	239244
88	4	139077
92	4	477417
96	4	22747
100	4	493601
104	4	538067
108	4	66706
112	4	254119
116	4	178763
120	4	465813
124	4	373639
136	4	288739
140	4	491623
144	4	535130
148	4	379144
152	4	274267
156	4	296739
160	4	311822
164	4	42919
168	4	277470
172	4	162770
176	4	534070
180	4	218310
184	4	316269
188	4	193222
196	4	178715
200	4	396661
204	4	106881
208	4	293153
212	4	362676
216	4	183319
220	4	357824
224	4	358174
228	4	459449
232	4	178152
236	4	400860
240	4	256707
244	4	181756
248	4	259717
252	4	292879
256	4	338078
260	4	178771
264	4	138547
268	4	274184
272	4	467071
276	4	203636
280	4	199310
288	4	297870
292	4	340993
296	4	503961
300	4	404537
304	4	343349
308	4	98159
312	4	426795
320	4	517878
324	4	175024
328	4	538299
332	4	537169
336	4	210951
340	4	331272
344	4	554828
348	4	43971
352	4	174831
356	4	527963
360	4	429898
364	4	363160
368	4	288481
