onset	duration	imageid
8	4	551877
12	4	287239
16	4	478518
20	4	534564
24	4	256028
28	4	264250
32	4	511343
36	4	468027
40	4	449826
44	4	355425
48	4	294574
52	4	344720
56	4	284901
60	4	180650
64	4	75932
68	4	353839
72	4	312608
76	4	482514
80	4	171201
84	4	307082
88	4	466926
92	4	23230
100	4	288259
104	4	74213
108	4	263735
112	4	167171
116	4	173251
120	4	517182
124	4	518357
132	4	11615
136	4	203142
140	4	218941
144	4	209654
148	4	230780
152	4	368736
156	4	266271
160	4	561529
164	4	246099
168	4	288723
172	4	258289
176	4	131018
180	4	242716
188	4	78482
192	4	1353
196	4	484386
200	4	468182
204	4	242060
208	4	373045
212	4	325570
216	4	555998
220	4	327039
224	4	196916
228	4	559235
232	4	174627
236	4	169510
248	4	520674
252	4	259712
256	4	359701
260	4	140909
264	4	324104
268	4	471788
272	4	560173
276	4	322968
280	4	240764
284	4	34938
288	4	456286
292	4	579787
296	4	11158
300	4	532947
304	4	193547
308	4	241269
312	4	494085
316	4	365517
320	4	251860
324	4	377241
328	4	418175
332	4	420713
336	4	230727
340	4	264476
344	4	537729
348	4	311953
352	4	370926
356	4	447235
364	4	5601
368	4	378533
