onset	duration	cueid	targetid
8	4	4	18658
16	4	20	11766
28	4	13	1505
36	4	9	33992
48	4	17	5184
56	4	7	27691
64	4	10	839
76	4	6	26363
84	4	1	540
96	4	16	5131
104	4	5	19675
112	4	18	5669
120	4	2	8746
132	4	19	7096
140	4	12	984
148	4	14	1674
156	4	3	15259
164	4	15	1888
172	4	11	939
180	4	8	31597
192	4	2	8746
200	4	10	839
208	4	5	19675
216	4	14	1674
224	4	1	540
236	4	3	15259
244	4	12	984
252	4	9	33992
264	4	20	11766
272	4	15	1888
280	4	8	31597
292	4	6	26363
300	4	16	5131
308	4	7	27691
316	4	18	5669
324	4	11	939
332	4	17	5184
340	4	13	1505
348	4	4	18658
360	4	19	7096
