onset	duration	imageid
8	4	320593
12	4	351401
16	4	513968
24	4	12429
28	4	429015
32	4	354831
36	4	547318
40	4	233574
44	4	274667
48	4	307342
52	4	203069
56	4	325665
60	4	266749
64	4	502197
68	4	581909
72	4	515837
76	4	300169
80	4	278309
84	4	526087
88	4	24036
92	4	467646
96	4	331785
100	4	491659
104	4	290812
108	4	560511
112	4	400431
124	4	329942
128	4	483849
132	4	360706
136	4	374201
140	4	320659
144	4	370162
148	4	185409
152	4	138747
156	4	4495
160	4	244885
164	4	132683
168	4	335775
172	4	264758
176	4	273253
180	4	340611
188	4	316161
192	4	276239
196	4	338120
200	4	5001
204	4	201252
208	4	122159
212	4	311763
216	4	432349
220	4	239243
224	4	479729
228	4	79651
232	4	166464
236	4	532411
240	4	502126
244	4	3845
248	4	323263
252	4	493760
256	4	438024
260	4	333538
264	4	229539
268	4	272957
272	4	326064
276	4	490555
280	4	9865
284	4	552685
288	4	296106
292	4	191126
296	4	371179
300	4	331082
304	4	212044
308	4	166259
312	4	425685
316	4	426246
320	4	20362
324	4	139157
328	4	540728
332	4	505501
336	4	420485
340	4	24744
344	4	486362
348	4	441147
360	4	532256
364	4	454210
368	4	148409
