onset	duration	imageid
8	4	224874
12	4	198506
16	4	275793
20	4	531696
24	4	488789
28	4	198137
32	4	179808
36	4	15566
40	4	569050
44	4	347445
48	4	295560
52	4	207728
56	4	199127
60	4	191464
68	4	455370
72	4	456275
76	4	406826
80	4	343993
84	4	180657
92	4	160666
96	4	12748
104	4	200252
108	4	526648
112	4	277722
116	4	302989
120	4	256309
124	4	401838
128	4	262985
132	4	572795
136	4	18824
140	4	480403
144	4	507667
148	4	559873
152	4	508482
156	4	43190
160	4	146332
168	4	203095
172	4	194470
176	4	313709
180	4	168593
184	4	304300
192	4	314064
196	4	267715
200	4	559380
204	4	228530
208	4	372349
212	4	310376
216	4	260844
220	4	286698
224	4	338468
228	4	556983
232	4	139494
236	4	392747
240	4	199427
244	4	279437
248	4	180099
252	4	256720
256	4	241221
260	4	196715
264	4	528786
268	4	415588
272	4	532735
276	4	184914
280	4	175867
284	4	231125
288	4	18460
292	4	197812
296	4	537326
300	4	448842
304	4	576212
308	4	30156
312	4	487903
316	4	449963
320	4	237210
324	4	418586
332	4	441203
336	4	580979
340	4	67972
344	4	335241
348	4	581458
352	4	309694
356	4	205159
360	4	494382
364	4	208363
368	4	355092
