onset	duration	imageid
8	4	502136
12	4	46760
16	4	441464
20	4	188454
24	4	454898
28	4	355761
32	4	211110
36	4	197870
40	4	521652
44	4	341487
48	4	87862
52	4	460353
64	4	576421
68	4	495973
72	4	228525
76	4	283138
80	4	73533
84	4	380117
88	4	417373
92	4	490535
96	4	564465
100	4	273378
104	4	510144
108	4	330863
112	4	93621
116	4	23272
120	4	367375
124	4	544250
128	4	356213
132	4	319903
136	4	218312
140	4	425465
144	4	80337
148	4	547055
152	4	296657
156	4	284552
160	4	298177
164	4	180853
168	4	168832
172	4	265315
176	4	215462
180	4	419610
184	4	262161
188	4	352502
192	4	32513
200	4	481090
204	4	154087
208	4	291499
212	4	170040
216	4	439940
220	4	298738
224	4	288000
228	4	389404
232	4	175000
236	4	213086
240	4	501909
244	4	376009
248	4	523026
252	4	13249
256	4	515982
260	4	123633
264	4	5482
268	4	317458
272	4	288794
276	4	266756
280	4	544691
284	4	212011
288	4	191327
296	4	3321
300	4	343185
304	4	558748
312	4	197551
316	4	280112
320	4	512501
324	4	486170
328	4	473705
332	4	333808
336	4	424135
340	4	252608
344	4	120420
348	4	260033
352	4	494860
356	4	492954
364	4	453641
368	4	197044
