onset	duration	imageid
8	4	473815
12	4	381684
16	4	87850
20	4	244496
24	4	561928
28	4	157462
36	4	253975
40	4	63965
44	4	280320
48	4	398665
52	4	451024
56	4	265355
60	4	438995
64	4	197666
68	4	255440
72	4	201352
76	4	160308
80	4	288556
84	4	293340
88	4	460049
92	4	116755
96	4	139858
100	4	223458
104	4	76978
108	4	521964
112	4	473438
116	4	85162
120	4	192524
124	4	186784
128	4	211177
132	4	367814
140	4	193347
144	4	332875
148	4	229472
152	4	202129
160	4	296901
164	4	467157
168	4	461224
172	4	562843
180	4	342126
184	4	451228
188	4	258264
192	4	378912
196	4	491554
200	4	396550
204	4	429735
208	4	280622
212	4	408445
216	4	359857
220	4	119965
224	4	549209
228	4	382533
232	4	575970
236	4	512194
240	4	205304
244	4	432036
248	4	231527
252	4	230213
256	4	165162
260	4	318630
264	4	494014
268	4	335415
276	4	297559
280	4	311011
288	4	185282
292	4	323827
296	4	337153
300	4	484753
304	4	184978
308	4	496517
312	4	434305
316	4	275691
320	4	506832
324	4	264767
328	4	513999
332	4	76912
336	4	209859
340	4	185160
344	4	297277
348	4	527562
352	4	15660
356	4	556073
360	4	533485
364	4	83531
368	4	255044
