name	type	units
E1	EEG	uV
E2	EEG	uV
E3	EEG	uV
E4	EEG	uV
E5	EEG	uV
E6	EEG	uV
E7	EEG	uV
E8	EEG	uV
E9	EEG	uV
E10	EEG	uV
E11	EEG	uV
E12	EEG	uV
E13	EEG	uV
E14	EEG	uV
E15	EEG	uV
E16	EEG	uV
E17	EEG	uV
E18	EEG	uV
E19	EEG	uV
E20	EEG	uV
E21	EEG	uV
E22	EEG	uV
E23	EEG	uV
E24	EEG	uV
E25	EEG	uV
E26	EEG	uV
E27	EEG	uV
E28	EEG	uV
E29	EEG	uV
E30	EEG	uV
E31	EEG	uV
E32	EEG	uV
E33	EEG	uV
E34	EEG	uV
E35	EEG	uV
E36	EEG	uV
E37	EEG	uV
E38	EEG	uV
E39	EEG	uV
E40	EEG	uV
E41	EEG	uV
E42	EEG	uV
E43	EEG	uV
E44	EEG	uV
E45	EEG	uV
E46	EEG	uV
E47	EEG	uV
E48	EEG	uV
E49	EEG	uV
E50	EEG	uV
E51	EEG	uV
E52	EEG	uV
E53	EEG	uV
E54	EEG	uV
E55	EEG	uV
E56	EEG	uV
E57	EEG	uV
E58	EEG	uV
E59	EEG	uV
E60	EEG	uV
E61	EEG	uV
E62	EEG	uV
E63	EEG	uV
E64	EEG	uV
E65	EEG	uV
