onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	1	0.627	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	0.579	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	0.585	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	0.604	bath	cope	leads	n/a
23.64	4.91	O-P+	1	0.598	quote	shut	throat	1.0
28.55	4.91	O-P+	1	0.496	dance	curve	serve	2.0
33.46	4.91	O-P-	1	0.527	ought	pace	king	n/a
38.37	4.91	O+P+	1	0.661	free	took	three	1.0
43.28	4.91	O+P+	1	0.519	hoop	weave	heave	2.0
48.19	4.91	O-P-	1	0.659	debt	gaze	grill	n/a
57.1	4.91	control	1	0.51	/ /	/ \	\ \	n/a
62.01	4.91	control	1	0.498	\ \	\ /	/ \	n/a
66.92	4.91	control	1	0.53	/ /	/ \	/ /	1.0
71.83	4.91	control	1	0.516	\ /	/ \	/ /	n/a
76.74	4.91	control	1	0.541	\ \	\ /	\ /	2.0
81.65	4.91	control	1	0.476	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.458	\ \	\ /	\ \	1.0
91.47	4.91	control	1	0.371	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.354	\ /	/ \	/ \	2.0
101.29	4.91	control	1	0.472	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	0.622	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	0.632	mild	weep	drag	n/a
120.02	4.91	O-P-	1	0.612	people	girl	what	n/a
124.93	4.91	O+P+	1	0.624	wrong	round	ground	2.0
129.84	4.91	O-P+	1	0.546	clip	weed	plead	2.0
134.75	4.91	O-P-	1	0.468	shine	skip	cute	n/a
139.66	4.91	O-P-	1	0.573	town	gain	five	n/a
144.57	4.91	O-P+	1	0.581	throats	startle	quotes	1.0
149.48	4.91	O+P+	1	0.657	malt	coin	halt	1.0
154.39	4.91	O-P+	1	0.561	broth	sneer	smear	2.0
163.3	4.91	control	1	0.574	/ \	/ /	/ \	1.0
168.21	4.91	control	1	0.342	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.529	\ /	\ \	\ /	1.0
178.03	4.91	control	1	0.485	/ \	\ \	/ /	n/a
182.94	4.91	control	1	0.593	/ /	\ \	/ /	1.0
187.85	4.91	control	1	0.393	/ /	\ \	\ /	n/a
192.76	4.91	control	1	0.412	/ /	\ \	\ \	2.0
197.67	4.91	control	0	0.571	\ /	/ /	/ \	n/a
202.58	4.91	control	1	0.434	\ \	/ /	/ \	n/a
207.49	4.91	control	1	0.567	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	0.488	squash	stacked	hacked	2.0
221.31	4.91	O-P-	1	0.51	wharf	gleam	dell	n/a
226.22	4.91	O+P+	1	0.667	black	fish	track	1.0
231.13	4.91	O+P+	1	0.484	book	floor	door	2.0
236.04	4.91	O-P+	1	0.795	clause	geese	niece	2.0
240.95	4.91	O-P-	1	0.653	blitz	vault	dump	n/a
245.86	4.91	O-P-	1	0.657	trait	vine	trance	n/a
250.77	4.91	O-P+	1	0.589	swirl	knit	pearl	1.0
255.68	4.91	O-P+	1	0.629	touch	than	such	1.0
260.59	4.91	O-P-	0	0.707	glade	clips	scrape	n/a
269.5	4.91	control	1	0.652	/ /	\ /	/ /	1.0
274.41	4.91	control	1	0.541	/ /	/ \	\ \	n/a
279.32	4.91	control	1	0.513	\ \	/ \	/ /	n/a
284.23	4.91	control	1	0.38	/ \	\ \	\ \	2.0
289.14	4.91	control	1	0.361	/ /	\ /	\ /	2.0
294.05	4.91	control	1	0.456	/ /	\ /	/ \	n/a
298.96	4.91	control	1	0.431	\ \	/ /	\ \	1.0
303.87	4.91	control	1	0.576	\ /	/ \	/ /	n/a
308.78	4.91	control	1	0.503	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.477	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	0.698	crop	stall	gulf	n/a
327.51	4.91	O+P+	1	0.574	knee	grass	tree	1.0
