onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P-	1	0.511	spies	rasp	drown	n/a
8.91	4.91	O-P-	1	0.731	harp	cruised	runt	n/a
13.82	4.91	O+P+	1	0.615	slave	hard	yard	2.0
18.73	4.91	O-P+	1	0.53	click	psalm	prom	n/a
23.64	4.91	O-P+	1	0.606	white	guilt	height	n/a
28.55	4.91	O+P+	1	0.508	temple	spend	tend	2.0
33.46	4.91	O-P-	1	0.548	lust	junk	bats	n/a
38.37	4.91	O+P+	1	0.663	team	pure	dream	1.0
43.28	4.91	O-P-	1	0.48	stack	castle	mint	n/a
48.19	4.91	O-P+	1	0.633	half	flag	graph	n/a
57.1	4.91	control	1	0.484	\ \	\ /	\ /	2.0
62.01	4.91	control	1	0.401	\ /	/ \	/ \	2.0
66.92	4.91	control	1	0.536	/ /	/ \	\ \	n/a
71.83	4.91	control	1	0.56	/ /	/ \	/ /	1.0
76.74	4.91	control	1	0.544	\ \	\ /	/ \	n/a
81.65	4.91	control	1	0.504	\ /	/ \	\ /	1.0
86.56	4.91	control	1	0.651	\ /	/ \	/ /	n/a
91.47	4.91	control	1	0.453	/ /	/ \	/ \	2.0
96.38	4.91	control	1	0.55	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.551	\ \	\ /	\ \	1.0
110.2	4.91	O-P-	1	0.542	dung	squirm	cramp	n/a
115.11	4.91	O+P+	1	0.716	fool	cash	tool	1.0
120.02	4.91	O-P+	1	0.704	dense	crowned	hound	n/a
124.93	4.91	O-P+	1	0.675	mime	smash	rhyme	n/a
129.84	4.91	O+P+	1	0.611	ample	purse	nurse	2.0
134.75	4.91	O-P-	1	0.62	smooth	beard	uncle	n/a
139.66	4.91	O-P-	1	0.75	mold	twice	jack	n/a
144.57	4.91	O+P+	1	0.716	start	mind	part	1.0
149.48	4.91	O-P-	1	0.632	cracked	bunch	boots	n/a
154.39	4.91	O-P+	1	0.652	check	prize	rise	n/a
163.3	4.91	control	1	0.514	\ \	/ /	/ \	n/a
168.21	4.91	control	1	0.409	\ /	\ \	\ \	2.0
173.12	4.91	control	1	0.513	/ /	\ \	\ /	n/a
178.03	4.91	control	1	0.607	\ /	/ /	/ \	n/a
182.94	4.91	control	1	0.492	/ /	\ \	\ \	2.0
187.85	4.91	control	1	0.551	\ /	\ \	\ /	1.0
192.76	4.91	control	1	0.508	/ \	\ \	/ /	n/a
197.67	4.91	control	1	0.567	/ /	\ \	/ /	1.0
202.58	4.91	control	1	0.417	/ \	/ /	/ /	2.0
207.49	4.91	control	1	0.469	/ \	/ /	/ \	1.0
216.4	4.91	O-P+	1	0.541	duct	fused	bruised	n/a
