onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	O-P+	1	0.864	guide	folk	smoke	2.0
8.93	4.93	O-P-	1	0.729	belt	wave	struck	n/a
13.86	4.93	O-P+	1	0.648	clone	trash	moan	1.0
18.79	4.93	O+P+	1	0.608	bench	lean	dean	2.0
23.72	4.93	O-P+	1	0.731	type	globe	ripe	1.0
28.65	4.93	O-P-	1	0.71	shacks	hinge	tong	n/a
33.58	4.93	O+P+	1	0.616	bond	brass	pond	1.0
38.51	4.93	O+P+	1	0.645	flask	slime	dime	2.0
43.44	4.93	O-P-	1	0.743	hike	lurch	loaf	n/a
48.37	4.93	O-P-	1	0.81	crook	sneeze	stout	n/a
57.3	4.85	control	1	0.61	300	500	700	n/a
62.15	4.85	control	1	0.639	500	700	300	n/a
67.0	4.85	control	1	0.564	300	500	300	1.0
71.85	4.85	control	1	0.79	700	300	500	n/a
76.7	4.85	control	1	0.786	500	300	300	2.0
81.55	4.85	control	1	0.827	700	500	700	1.0
86.4	4.85	control	1	0.668	700	300	700	1.0
91.25	4.85	control	1	0.586	300	700	700	2.0
96.1	4.85	control	1	0.564	500	700	700	2.0
100.95	4.85	control	1	0.695	500	300	700	n/a
109.8	4.93	O-P+	1	0.596	tying	cursed	thirst	2.0
114.73	4.93	O-P+	1	0.735	coil	stomp	swamp	2.0
119.66	4.93	O-P-	1	0.576	crude	damp	cops	n/a
124.59	4.93	O-P-	1	0.68	bound	roof	mark	n/a
129.52	4.93	O+P+	1	0.726	mumble	dressed	messed	2.0
134.45	4.93	O-P-	1	0.611	yours	shame	tube	n/a
139.38	4.93	O-P-	1	0.949	blank	heap	odds	n/a
144.31	4.93	O-P+	1	0.769	force	judge	source	1.0
149.24	4.93	O+P+	1	0.93	stripe	spoil	swipe	1.0
154.17	4.93	O+P+	1	0.82	crutch	chuckle	clutch	1.0
163.1	4.85	control	1	0.723	300	700	300	1.0
167.95	4.85	control	1	0.633	300	500	500	2.0
172.8	4.85	control	1	0.639	300	700	500	n/a
177.65	4.85	control	1	0.627	500	300	500	1.0
182.5	4.85	control	1	0.873	500	700	500	1.0
187.35	4.85	control	1	0.665	700	500	300	n/a
192.2	4.85	control	1	0.648	700	500	500	2.0
197.05	4.85	control	1	0.784	700	300	500	n/a
201.9	4.85	control	1	0.669	500	300	700	n/a
206.75	4.85	control	1	0.626	700	300	300	2.0
215.6	4.93	O+P+	1	0.625	bees	clothe	fees	1.0
220.53	4.93	O-P+	1	0.787	spaced	dangle	chased	1.0
225.46	4.93	O-P-	1	0.65	bull	dice	chuck	n/a
230.39	4.93	O+P+	1	0.909	ring	move	prove	2.0
235.32	4.93	O+P+	1	0.646	scald	ceased	greased	2.0
240.25	4.93	O-P+	1	0.76	news	beyond	whose	1.0
245.18	4.93	O-P-	1	0.662	sand	catch	truck	n/a
250.11	4.93	O-P-	1	0.702	chick	peas	drier	n/a
255.04	4.93	O-P+	1	0.689	milk	proud	crowd	2.0
259.97	4.93	O-P-	1	0.756	just	front	then	n/a
268.9	4.85	control	1	0.72	700	500	700	1.0
273.75	4.85	control	1	0.581	700	300	500	n/a
278.6	4.85	control	1	0.824	500	300	700	n/a
283.45	4.85	control	1	0.715	500	300	300	2.0
288.3	4.85	control	1	0.654	500	700	700	2.0
293.15	4.85	control	1	0.704	300	500	700	n/a
298.0	4.85	control	1	0.992	300	500	300	1.0
302.85	4.85	control	1	0.669	500	700	300	n/a
307.7	4.85	control	1	0.636	300	700	700	2.0
312.55	4.85	control	1	0.886	700	300	700	1.0
321.4	4.93	O-P-	1	0.645	deed	thaw	lamb	n/a
326.33	4.93	O-P+	1	0.767	tense	drunk	monk	2.0
331.26	4.93	O+P+	1	0.708	haze	scold	fold	2.0
336.19	4.93	O+P+	1	0.706	bite	hump	kite	1.0
341.12	4.93	O-P-	1	0.803	thug	crossed	surf	n/a
346.05	4.93	O+P+	1	0.708	food	golf	mood	1.0
350.98	4.93	O-P+	1	0.693	lace	shrink	vase	1.0
355.91	4.93	O-P+	1	0.733	poodle	lame	maim	2.0
360.84	4.93	O-P-	1	0.819	goods	core	hill	n/a
365.77	4.93	O-P-	1	0.93	fleet	loyal	urge	n/a
374.7	4.85	control	1	0.778	300	500	500	2.0
379.55	4.85	control	1	0.564	500	300	700	n/a
384.4	4.85	control	0	n/a	700	300	300	2.0
389.25	4.85	control	1	0.789	700	500	300	n/a
394.1	4.85	control	1	0.722	500	300	500	1.0
398.95	4.85	control	1	0.579	700	500	500	2.0
403.8	4.85	control	1	0.661	300	700	300	1.0
408.65	4.85	control	1	0.63	500	700	500	1.0
413.5	4.85	control	1	0.633	300	700	500	n/a
418.35	4.85	control	1	0.774	700	300	500	n/a
427.2	4.93	O-P+	1	0.796	worn	state	freight	2.0
432.13	4.93	O+P+	1	0.617	slip	draft	craft	2.0
