onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Related	1	0.896	unfit	checkers	chess	2.0
8.93	4.93	Unrelated	1	0.878	ready	trade	square	n/a
13.86	4.93	Related	1	0.432	mom	saturn	dad	1.0
18.79	4.93	Related	1	0.987	thankful	algae	fungus	2.0
23.72	4.93	Unrelated	1	0.719	forgave	glide	maiden	n/a
28.65	4.93	Related	1	0.414	quack	ivy	duck	1.0
33.58	4.93	Related	1	0.745	skunk	cuff	stink	1.0
38.51	4.93	Unrelated	1	0.89	gently	tube	ceiling	n/a
43.44	4.93	Unrelated	1	0.853	weep	charcoal	dice	n/a
48.37	4.93	Related	1	0.489	fit	murder	kill	2.0
57.3	4.85	control	1	0.759	700	500	700	1.0
62.15	4.85	control	1	0.542	500	700	700	2.0
67.0	4.85	control	1	0.497	500	700	300	n/a
71.85	4.85	control	1	0.541	300	500	300	1.0
76.7	4.85	control	1	0.607	700	300	500	n/a
81.55	4.85	control	1	0.65	500	300	700	n/a
86.4	4.85	control	1	0.562	700	300	700	1.0
91.25	4.85	control	1	0.565	300	500	700	n/a
96.1	4.85	control	1	0.606	300	700	700	2.0
100.95	4.85	control	1	0.547	500	300	300	2.0
109.8	4.93	Unrelated	1	0.843	dessert	stir	bony	n/a
114.73	4.93	Related	1	0.654	ape	beaver	monkey	1.0
119.66	4.93	Related	1	0.648	rack	cologne	perfume	2.0
124.59	4.93	Unrelated	1	0.669	lion	steam	gap	n/a
129.52	4.93	Related	1	0.456	turn	love	hate	2.0
134.45	4.93	Unrelated	1	0.68	plug	select	belly	n/a
139.38	4.93	Related	1	0.672	dish	fancy	plate	1.0
144.31	4.93	Unrelated	1	0.664	june	lord	oil	n/a
149.24	4.93	Related	1	0.898	sunny	pepper	cloudy	1.0
154.17	4.93	Related	1	1.002	cooling	teach	learn	2.0
163.1	4.85	control	1	0.567	500	300	700	n/a
167.95	4.85	control	1	0.627	300	500	500	2.0
172.8	4.85	control	1	0.6	500	300	500	1.0
177.65	4.85	control	1	0.6	700	500	300	n/a
182.5	4.85	control	1	0.603	700	500	500	2.0
187.35	4.85	control	1	0.584	700	300	300	2.0
192.2	4.85	control	1	0.737	500	700	500	1.0
197.05	4.85	control	1	0.601	300	700	300	1.0
201.9	4.85	control	1	0.6	700	300	500	n/a
206.75	4.85	control	0	0.971	300	700	500	n/a
215.6	4.93	Unrelated	1	0.785	flow	warm	teaching	n/a
220.53	4.93	Related	1	0.729	earth	sat	ground	1.0
225.46	4.93	Unrelated	1	0.935	drinking	suit	poem	n/a
230.39	4.93	Unrelated	1	0.708	flood	spell	dim	n/a
235.32	4.93	Related	1	0.622	awful	fuel	gas	2.0
240.25	4.93	Related	1	0.644	without	again	repeat	2.0
245.18	4.93	Unrelated	1	0.811	standard	heavy	wish	n/a
250.11	4.93	Related	0	0.979	web	explode	spider	1.0
255.04	4.93	Related	1	0.999	trash	hive	garbage	1.0
259.97	4.93	Related	1	0.781	law	human	person	2.0
268.9	4.85	control	1	0.65	500	300	300	2.0
273.75	4.85	control	1	0.772	300	500	700	n/a
278.6	4.85	control	1	0.608	700	300	500	n/a
283.45	4.85	control	1	0.657	300	500	300	1.0
288.3	4.85	control	1	0.854	300	700	700	2.0
293.15	4.85	control	1	0.575	500	700	700	2.0
298.0	4.85	control	1	0.617	500	700	300	n/a
302.85	4.85	control	1	0.595	700	300	700	1.0
307.7	4.85	control	1	0.528	500	300	700	n/a
312.55	4.85	control	1	0.612	700	500	700	1.0
321.4	4.93	Related	1	0.541	loud	awake	asleep	2.0
326.33	4.93	Unrelated	1	1.019	pirate	shorten	bandage	n/a
331.26	4.93	Related	1	1.045	gather	alike	collect	1.0
336.19	4.93	Related	1	0.742	spread	ship	boat	2.0
341.12	4.93	Unrelated	1	1.054	winking	soak	invent	n/a
346.05	4.93	Unrelated	1	1.098	mop	swan	tug	n/a
350.98	4.93	Related	1	0.723	gang	hide	seek	2.0
355.91	4.93	Related	1	0.84	backbone	loaf	spine	1.0
360.84	4.93	Unrelated	1	0.942	fur	youngest	compass	n/a
365.77	4.93	Related	1	0.807	film	giving	movie	1.0
374.7	4.85	control	1	0.621	500	300	700	n/a
379.55	4.85	control	1	0.565	300	500	500	2.0
384.4	4.85	control	1	0.622	300	700	500	n/a
389.25	4.85	control	1	0.826	300	700	300	1.0
394.1	4.85	control	1	0.639	700	500	500	2.0
398.95	4.85	control	1	0.631	700	500	300	n/a
403.8	4.85	control	1	0.584	500	700	500	1.0
