onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.93	Grammatical	1	0.6	sheep	are	counted	n/a
8.93	4.93	Ungrammatical	1	0.755	athlete	are	stretch	n/a
13.86	4.93	Ungrammatical	1	0.802	foxes	had	clever	n/a
18.79	4.93	Grammatical	1	0.651	shopper	is	jealous	n/a
23.72	4.93	Grammatical	1	0.848	bulls	were	huffing	n/a
28.65	4.93	Ungrammatical	1	0.486	brides	was	return	n/a
33.58	4.93	Grammatical	1	0.531	knights	were	fighting	n/a
38.51	4.93	Ungrammatical	1	0.874	customer	has	guessing	n/a
43.44	4.93	Grammatical	1	0.833	visitors	have	gathered	n/a
48.37	4.93	Grammatical	0	0.855	singer	is	praised	n/a
57.3	4.85	control	1	0.596	500	700	700	2.0
62.15	4.85	control	1	0.736	700	300	700	1.0
67.0	4.85	control	1	0.626	500	700	300	n/a
71.85	4.85	control	1	0.729	300	500	700	n/a
76.7	4.85	control	1	0.746	300	700	700	2.0
81.55	4.85	control	1	0.635	700	500	700	1.0
86.4	4.85	control	1	0.682	700	300	500	n/a
91.25	4.85	control	1	0.658	300	500	300	1.0
96.1	4.85	control	1	0.662	500	300	700	n/a
100.95	4.85	control	1	0.635	500	300	300	2.0
109.8	4.93	Ungrammatical	0	0.69	police	can	searched	n/a
114.73	4.93	Grammatical	1	0.909	principals	have	agreed	n/a
119.66	4.93	Ungrammatical	1	0.994	rabbits	could	hopped	n/a
124.59	4.93	Grammatical	1	0.887	player	has	changed	n/a
129.52	4.93	Grammatical	1	0.761	scientists	are	trained	n/a
134.45	4.93	Grammatical	1	0.749	general	had	tripped	n/a
139.38	4.93	Ungrammatical	0	1.104	directors	is	watched	n/a
144.31	4.93	Grammatical	1	0.726	runner	could	jog	n/a
149.24	4.93	Grammatical	1	0.927	librarian	is	accused	n/a
154.17	4.93	Ungrammatical	1	1.152	painters	could	phoning	n/a
163.1	4.85	control	1	0.737	700	500	500	2.0
167.95	4.85	control	1	0.778	300	700	300	1.0
172.8	4.85	control	1	0.695	300	500	500	2.0
177.65	4.85	control	1	0.635	700	500	300	n/a
182.5	4.85	control	1	0.561	500	700	500	1.0
187.35	4.85	control	1	0.653	700	300	300	2.0
192.2	4.85	control	1	0.673	700	300	500	n/a
197.05	4.85	control	1	0.715	500	300	500	1.0
201.9	4.85	control	1	0.677	300	700	500	n/a
206.75	4.85	control	1	0.625	500	300	700	n/a
215.6	4.93	Grammatical	1	0.885	partners	were	afraid	n/a
220.53	4.93	Grammatical	1	0.876	hero	was	struggling	n/a
225.46	4.93	Ungrammatical	1	0.814	musicians	have	tuning	n/a
230.39	4.93	Ungrammatical	1	0.606	toads	was	jumping	n/a
235.32	4.93	Grammatical	1	0.953	mother	was	answering	n/a
240.25	4.93	Ungrammatical	1	0.954	lions	can	chaining	n/a
245.18	4.93	Grammatical	1	0.981	bullies	had	argued	n/a
250.11	4.93	Grammatical	1	0.767	ranger	can	wrestle	n/a
255.04	4.93	Grammatical	1	0.907	people	are	grouped	n/a
259.97	4.93	Ungrammatical	1	0.78	lady	have	help	n/a
268.9	4.85	control	1	0.813	300	700	700	2.0
273.75	4.85	control	1	0.571	700	300	500	n/a
278.6	4.85	control	1	0.62	300	500	700	n/a
283.45	4.85	control	1	0.742	700	500	700	1.0
288.3	4.85	control	1	0.797	700	300	700	1.0
293.15	4.85	control	1	0.694	500	700	700	2.0
298.0	4.85	control	1	0.581	500	300	300	2.0
302.85	4.85	control	1	0.658	500	700	300	n/a
307.7	4.85	control	1	0.661	300	500	300	1.0
312.55	4.85	control	1	0.593	500	300	700	n/a
321.4	4.93	Ungrammatical	1	0.937	janitors	can	sweeping	n/a
326.33	4.93	Grammatical	1	0.812	champions	can	stay	n/a
331.26	4.93	Grammatical	1	0.909	wives	were	creative	n/a
336.19	4.93	Ungrammatical	1	0.932	banker	can	laughing	n/a
341.12	4.93	Ungrammatical	1	0.728	senators	has	stood	n/a
346.05	4.93	Grammatical	1	0.7	queens	are	beautiful	n/a
350.98	4.93	Ungrammatical	0	0.869	frogs	were	tease	n/a
355.91	4.93	Grammatical	1	0.911	students	could	study	n/a
360.84	4.93	Grammatical	1	0.978	bears	could	remain	n/a
365.77	4.93	Grammatical	1	1.112	mayor	could	move	n/a
374.7	4.85	control	1	0.902	500	300	700	n/a
379.55	4.85	control	1	0.773	500	700	500	1.0
384.4	4.85	control	1	0.885	300	500	500	2.0
389.25	4.85	control	1	0.59	300	700	300	1.0
394.1	4.85	control	1	0.555	700	300	300	2.0
398.95	4.85	control	1	0.736	300	700	500	n/a
403.8	4.85	control	1	0.645	700	500	300	n/a
408.65	4.85	control	1	0.589	700	500	500	2.0
413.5	4.85	control	1	0.697	500	300	500	1.0
418.35	4.85	control	1	0.703	700	300	500	n/a
427.2	4.93	Ungrammatical	1	0.908	cowboys	had	walk	n/a
432.13	4.93	Ungrammatical	0	1.091	weaver	were	knitting	n/a
437.06	4.93	Grammatical	1	1.013	prince	had	forgotten	n/a
441.99	4.93	Grammatical	1	0.795	pigeons	are	noisy	n/a
446.92	4.93	Grammatical	1	1.032	thief	was	shaking	n/a
451.85	4.93	Ungrammatical	1	1.161	nurse	had	encouraging	n/a
456.78	4.93	Grammatical	1	0.949	groom	was	nervous	n/a
461.71	4.93	Grammatical	1	0.835	ducks	are	quacking	n/a
466.64	4.93	Ungrammatical	1	0.776	goats	could	petting	n/a
471.57	4.93	Grammatical	1	0.748	uncles	can	learn	n/a
480.5	4.85	control	1	0.716	700	500	700	1.0
485.35	4.85	control	1	0.698	700	300	500	n/a
490.2	4.85	control	1	0.654	300	500	300	1.0
495.05	4.85	control	1	0.641	500	300	300	2.0
499.9	4.85	control	1	0.708	700	300	700	1.0
504.75	4.85	control	1	0.668	500	700	700	2.0
509.6	4.85	control	1	0.567	300	500	700	n/a
514.45	4.85	control	1	0.613	500	300	700	n/a
519.3	4.85	control	1	0.623	300	700	700	2.0
524.15	4.85	control	1	0.612	500	700	300	n/a
