onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0685	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.1018	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.6185	1.6667	T_INK	1	Incongruent	niebieski	blue	zielony	green	incorrect	n/a
3.2584	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
3.2852	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.8018	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.8185	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.3352	1.9834	T_INK	2	Incongruent	zielony	green	żółty	yellow	hit	n/a
7.2836	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
7.3185	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.8352	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.8519	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.3685	1.7833	T_INK	3	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
11.1172	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
11.1519	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.6686	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.6852	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.2019	1.35	T_INK	4	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
14.5194	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
14.5519	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.0686	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.0853	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.6019	1.1167	T_INK	5	Incongruent	zielony	green	niebieski	blue	incorrect	n/a
17.698	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
17.7186	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.2353	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.252	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.7686	1.9	T_INK	6	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
21.6433	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
21.6686	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.1853	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.202	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.7187	1.35	T_INK	7	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
25.0456	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
25.0687	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.5853	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.602	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.1187	1.8167	T_INK	8	Incongruent	czerwony	red	niebieski	blue	hit	n/a
28.9111	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
28.9354	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.452	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.4687	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.9854	1.2167	T_INK	9	Incongruent	zielony	green	czerwony	red	hit	n/a
32.1695	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
32.2021	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.7187	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.7354	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.2521	1.25	T_INK	10	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
35.4759	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
35.5021	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.0188	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.0354	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.5521	0.8	T_INK	11	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
38.3191	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
38.3521	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.8688	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.8855	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.4021	0.85	T_INK	12	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
41.2262	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
41.2521	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
41.7688	1.0334	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.5516	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.6189	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.6355	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.1522	1.1	INK	1	Incongruent	zielony	green	niebieski	blue	incorrect	n/a
50.2191	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
50.2522	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.2689	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.7856	0.7333	INK	2	Incongruent	czerwony	red	zielony	green	incorrect	n/a
52.4873	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
52.5189	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
53.5356	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
