onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
0.032	1.0	ISI	n/a	n/a	n/a	n/a
1.032	0.5	DISTRACTOR	1	1	E	Correct Rejection
1.532	1.0	ISI	n/a	n/a	n/a	n/a
2.532	0.5	TARGET	1	2	E	Hit
3.032	1.0	ISI	n/a	n/a	n/a	n/a
3.1148	n/a	RESPONSE	n/a	n/a	n/a	n/a
4.032	0.5	DISTRACTOR	1	3	I	Correct Rejection
4.532	1.0	ISI	n/a	n/a	n/a	n/a
5.532	0.5	DISTRACTOR	1	4	J	Correct Rejection
6.032	1.0	ISI	n/a	n/a	n/a	n/a
7.032	0.5	TARGET	1	5	J	Hit
7.532	1.0	ISI	n/a	n/a	n/a	n/a
7.6352	n/a	RESPONSE	n/a	n/a	n/a	n/a
8.5321	0.5	DISTRACTOR	1	6	H	Correct Rejection
9.0321	1.0	ISI	n/a	n/a	n/a	n/a
10.0321	0.5	DISTRACTOR	1	7	A	Correct Rejection
10.5321	1.0	ISI	n/a	n/a	n/a	n/a
11.5321	0.5	DISTRACTOR	1	8	E	Correct Rejection
12.0321	1.0	ISI	n/a	n/a	n/a	n/a
13.0321	0.5	DISTRACTOR	1	9	A	Correct Rejection
13.5321	1.0	ISI	n/a	n/a	n/a	n/a
14.5321	0.5	DISTRACTOR	1	10	C	Correct Rejection
15.0321	1.0	ISI	n/a	n/a	n/a	n/a
16.0321	0.5	DISTRACTOR	1	11	F	Correct Rejection
16.5321	1.0	ISI	n/a	n/a	n/a	n/a
17.5321	0.5	TARGET	1	12	F	Hit
17.858	n/a	RESPONSE	n/a	n/a	n/a	n/a
18.0321	1.0	ISI	n/a	n/a	n/a	n/a
19.0321	0.5167	DISTRACTOR	1	13	D	Correct Rejection
19.5488	1.0167	ISI	n/a	n/a	n/a	n/a
20.5655	0.5167	DISTRACTOR	1	14	F	Correct Rejection
21.0822	1.0167	ISI	n/a	n/a	n/a	n/a
22.0988	0.5167	DISTRACTOR	1	15	A	Correct Rejection
22.6155	1.0167	ISI	n/a	n/a	n/a	n/a
23.6322	0.5167	TARGET	1	16	A	Hit
24.1488	1.0167	ISI	n/a	n/a	n/a	n/a
24.1514	n/a	RESPONSE	n/a	n/a	n/a	n/a
25.1655	0.5167	DISTRACTOR	1	17	H	Correct Rejection
25.6822	1.0167	ISI	n/a	n/a	n/a	n/a
26.6989	0.5167	DISTRACTOR	1	18	C	Correct Rejection
27.2155	1.0167	ISI	n/a	n/a	n/a	n/a
28.2322	0.5167	DISTRACTOR	1	19	B	Correct Rejection
28.7489	1.0167	ISI	n/a	n/a	n/a	n/a
29.7656	0.5167	DISTRACTOR	1	20	D	Correct Rejection
30.2822	1.0167	ISI	n/a	n/a	n/a	n/a
31.2989	0.5167	DISTRACTOR	1	21	F	Correct Rejection
31.8156	1.0167	ISI	n/a	n/a	n/a	n/a
32.8322	0.5167	DISTRACTOR	1	22	C	Correct Rejection
33.3489	1.0167	ISI	n/a	n/a	n/a	n/a
34.3656	0.5167	TARGET	1	23	C	Hit
34.8823	1.0167	ISI	n/a	n/a	n/a	n/a
34.9173	n/a	RESPONSE	n/a	n/a	n/a	n/a
35.899	0.5167	DISTRACTOR	1	24	F	Correct Rejection
36.4156	1.0167	ISI	n/a	n/a	n/a	n/a
37.4323	0.5167	DISTRACTOR	1	25	D	Correct Rejection
37.949	1.0167	ISI	n/a	n/a	n/a	n/a
38.9656	0.5167	DISTRACTOR	1	26	F	False Alarm
39.3738	n/a	RESPONSE	n/a	n/a	n/a	n/a
39.4823	1.0167	ISI	n/a	n/a	n/a	n/a
40.499	0.5167	DISTRACTOR	1	27	B	Correct Rejection
41.0157	1.0167	ISI	n/a	n/a	n/a	n/a
42.0323	0.5167	DISTRACTOR	1	28	E	Correct Rejection
42.549	1.0167	ISI	n/a	n/a	n/a	n/a
43.5657	0.5167	TARGET	1	29	E	Hit
44.0823	1.0167	ISI	n/a	n/a	n/a	n/a
44.1019	n/a	RESPONSE	n/a	n/a	n/a	n/a
45.099	0.5167	TARGET	1	30	E	Miss
45.6157	1.0167	ISI	n/a	n/a	n/a	n/a
46.6324	0.5167	DISTRACTOR	1	31	A	Correct Rejection
47.149	1.0167	ISI	n/a	n/a	n/a	n/a
48.1657	0.5167	DISTRACTOR	1	32	G	Correct Rejection
48.6824	1.0167	ISI	n/a	n/a	n/a	n/a
49.6991	0.5167	DISTRACTOR	1	33	E	Correct Rejection
50.2157	1.0167	ISI	n/a	n/a	n/a	n/a
51.2324	0.5167	DISTRACTOR	1	34	F	Correct Rejection
51.7491	1.0167	ISI	n/a	n/a	n/a	n/a
52.7657	0.5167	DISTRACTOR	1	35	G	Correct Rejection
53.2824	1.0167	ISI	n/a	n/a	n/a	n/a
54.2991	0.5167	TARGET	1	36	G	Hit
54.6762	n/a	RESPONSE	n/a	n/a	n/a	n/a
54.8158	1.0167	ISI	n/a	n/a	n/a	n/a
55.8324	0.5167	DISTRACTOR	1	37	I	Correct Rejection
56.3491	1.0167	ISI	n/a	n/a	n/a	n/a
57.3658	0.5167	DISTRACTOR	1	38	J	Correct Rejection
57.8825	1.0167	ISI	n/a	n/a	n/a	n/a
58.8991	0.5167	DISTRACTOR	1	39	C	Correct Rejection
59.4158	1.0167	ISI	n/a	n/a	n/a	n/a
60.4325	0.5167	DISTRACTOR	1	40	B	Correct Rejection
60.9492	1.0167	ISI	n/a	n/a	n/a	n/a
61.9658	0.5167	DISTRACTOR	1	41	J	Correct Rejection
62.4825	1.0167	ISI	n/a	n/a	n/a	n/a
63.4992	0.5167	DISTRACTOR	1	42	B	Correct Rejection
64.0158	1.0167	ISI	n/a	n/a	n/a	n/a
65.0325	0.5167	DISTRACTOR	1	43	D	Correct Rejection
65.5492	1.0167	ISI	n/a	n/a	n/a	n/a
66.5659	0.5167	DISTRACTOR	1	44	B	Correct Rejection
67.0825	1.0167	ISI	n/a	n/a	n/a	n/a
68.0992	0.5167	DISTRACTOR	1	45	A	Correct Rejection
68.6159	1.0167	ISI	n/a	n/a	n/a	n/a
69.6326	0.5167	DISTRACTOR	1	46	I	Correct Rejection
70.1492	1.0167	ISI	n/a	n/a	n/a	n/a
71.1659	0.5167	TARGET	1	47	I	Hit
71.6558	n/a	RESPONSE	n/a	n/a	n/a	n/a
71.6826	1.0167	ISI	n/a	n/a	n/a	n/a
72.6992	0.5166	DISTRACTOR	1	48	A	Correct Rejection
73.2158	1.0167	ISI	n/a	n/a	n/a	n/a
74.2326	0.5167	DISTRACTOR	1	49	I	Correct Rejection
74.7493	1.0167	ISI	n/a	n/a	n/a	n/a
75.7659	0.5167	TARGET	1	50	I	Hit
76.1922	n/a	RESPONSE	n/a	n/a	n/a	n/a
76.2826	1.1167	ISI	n/a	n/a	n/a	n/a
81.8309	n/a	RESPONSE	n/a	n/a	n/a	n/a
81.866	1.0	ISI	n/a	n/a	n/a	n/a
82.866	0.5	DISTRACTOR	2	1	D	Correct Rejection
83.366	1.0	ISI	n/a	n/a	n/a	n/a
84.366	0.5167	DISTRACTOR	2	2	F	Correct Rejection
84.8827	1.0167	ISI	n/a	n/a	n/a	n/a
85.8993	0.5167	DISTRACTOR	2	3	B	Correct Rejection
86.416	1.0167	ISI	n/a	n/a	n/a	n/a
87.4327	0.5167	DISTRACTOR	2	4	D	Correct Rejection
87.9494	1.0167	ISI	n/a	n/a	n/a	n/a
88.966	0.5167	DISTRACTOR	2	5	G	Correct Rejection
89.4827	1.0167	ISI	n/a	n/a	n/a	n/a
90.4994	0.5167	DISTRACTOR	2	6	G	Correct Rejection
91.0161	1.0167	ISI	n/a	n/a	n/a	n/a
92.0327	0.5167	DISTRACTOR	2	7	F	False Alarm
92.5494	1.0167	ISI	n/a	n/a	n/a	n/a
92.6929	n/a	RESPONSE	n/a	n/a	n/a	n/a
93.5661	0.5167	DISTRACTOR	2	8	B	False Alarm
94.0827	1.0167	ISI	n/a	n/a	n/a	n/a
94.9451	n/a	RESPONSE	n/a	n/a	n/a	n/a
95.0994	0.5167	DISTRACTOR	2	9	E	Correct Rejection
95.6161	1.0167	ISI	n/a	n/a	n/a	n/a
96.6328	0.5167	DISTRACTOR	2	10	A	Correct Rejection
97.1494	1.0167	ISI	n/a	n/a	n/a	n/a
98.1661	0.5167	TARGET	2	11	E	Hit
98.5392	n/a	RESPONSE	n/a	n/a	n/a	n/a
98.6828	1.0167	ISI	n/a	n/a	n/a	n/a
99.6995	0.5167	DISTRACTOR	2	12	E	Correct Rejection
100.2161	1.0167	ISI	n/a	n/a	n/a	n/a
101.2328	0.5167	DISTRACTOR	2	13	C	Correct Rejection
101.7495	1.0167	ISI	n/a	n/a	n/a	n/a
102.7661	0.5167	DISTRACTOR	2	14	D	Correct Rejection
103.2828	1.0167	ISI	n/a	n/a	n/a	n/a
104.2995	0.5167	DISTRACTOR	2	15	A	Correct Rejection
