onset	duration	trial	value	instruction
13516	6	1	1	rest
19450	1	1	2	ready
20464	6	1	3	task
26448	8	1	4	interval
34480	6	2	1	rest
40439	1	2	2	ready
41472	6	2	3	task
47459	8	2	4	interval
55487	6	3	1	rest
61447	1	3	2	ready
62468	6	3	3	task
68466	8	3	4	interval
76490	6	4	1	rest
82464	1	4	2	ready
83462	6	4	3	task
89469	8	4	4	interval
97493	6	5	1	rest
103458	1	5	2	ready
104455	6	5	3	task
110454	8	5	4	interval
118504	6	6	1	rest
124461	1	6	2	ready
125460	6	6	3	task
131483	8	6	4	interval
139508	6	7	1	rest
145468	1	7	2	ready
146477	6	7	3	task
152471	8	7	4	interval
160505	6	8	1	rest
166483	1	8	2	ready
167485	6	8	3	task
173472	8	8	4	interval
181505	6	9	1	rest
187466	1	9	2	ready
188487	6	9	3	task
194471	8	9	4	interval
202507	6	10	1	rest
208488	1	10	2	ready
209488	6	10	3	task
215466	8	10	4	interval
223508	6	11	1	rest
229469	1	11	2	ready
230472	6	11	3	task
236465	8	11	4	interval
244510	6	12	1	rest
250468	1	12	2	ready
251474	6	12	3	task
257497	8	12	4	interval
265518	6	13	1	rest
271500	1	13	2	ready
272495	6	13	3	task
278491	8	13	4	interval
286518	6	14	1	rest
292482	1	14	2	ready
293483	6	14	3	task
299476	8	14	4	interval
307525	6	15	1	rest
313479	1	15	2	ready
314489	6	15	3	task
320478	8	15	4	interval
328521	6	16	1	rest
334477	1	16	2	ready
335511	6	16	3	task
341496	8	16	4	interval
349534	6	17	1	rest
355486	1	17	2	ready
356492	6	17	3	task
362504	8	17	4	interval
370524	6	18	1	rest
376486	1	18	2	ready
377494	6	18	3	task
383488	8	18	4	interval
391532	6	19	1	rest
397482	1	19	2	ready
398505	6	19	3	task
404505	8	19	4	interval
412533	6	20	1	rest
418498	1	20	2	ready
419491	6	20	3	task
425498	8	20	4	interval
