name	subjs	links	readme	events	title	tasks	modalities	contact	notes
ds005371	14		yes	no					
ds003823	193		yes	yes		NIHcognition,emotionRegulation,labHRV,practice,recall,recognition,sart,stress,ultimatumGame,ultimatumGame-older,ultimatumGame-younger			
ds005329	25		yes	no		namingtodefinitions,namingtosounds			
ds006253	21		yes	no					
ds005613	101		yes	no					
ds006206	5		yes	no					
ds004815	8		yes	no					
ds005572	48		no	no					
ds006486	1		no	no					
ds006444	13		yes	no					
ds005795	34		yes	yes		learning,rest			
ds004973	20		yes	no					
ds004504	88		yes	no					
ds006480	68		no	yes		oddball			
ds006395	91		yes	no					
ds005346	60		yes	no					
ds006472	40		yes	yes		multi,pRF			
ds006391	127		yes	no					
ds005525	11		yes	no		ab,cd,rest			
ds005479	37		yes	no					
ds006462	100		yes	no					
ds006045	83		yes	no					
ds004212	5		yes	yes		main			
ds004456	42		yes	no					
ds006466	66		yes	yes		active,activeS,passive,passiveS,resting,restingS			
ds004830	12		yes	no					
ds005533	9		yes	no					
ds004856	464		yes	yes		Scenes,VentralVisual,Words			
ds005776	11		no	no					
ds005777	14		yes	no					
ds005929	7		no	no					
ds005930	12		no	no					
ds006460	17		no	no					
ds006459	17		no	no					
ds005280	223		yes	yes		223ByBP			
ds005292	142		yes	yes		142ByBiosemi			
ds005291	65		yes	yes		65ByANT			
ds005289	39		yes	yes		39ByBP			
ds005286	30		yes	yes		30ByANT			
ds005285	29		yes	yes		29ByANT			
ds005473	29		yes	yes		29ByBP			
ds005284	26		yes	yes		26ByBiosemi			
ds005293	0		no	no					
ds005642	21		yes	yes		faceobj			
ds005063	3		no	no					
ds004146	417		yes	no					
ds006446	29		yes	no					
ds006437	9		yes	yes		hypnotherapy			
ds005883	39		yes	yes		pain			
ds005884	22		yes	yes		motorL,motorR			
ds005107	21		yes	no					
ds005448	13		yes	no					
ds006401	14		no	no					
ds005551	47		yes	yes					
ds005700	40		yes	no					
ds006394	33		yes	no					
ds006373	2		yes	no					
ds006392	1		yes	no					
ds006370	56		yes	yes		DelayedMatchtoSampleTask			
ds006367	52		yes	yes		DelayedMatchtoSampleTask			
ds005503	6		yes	yes		multivariate,prf,univariate			
ds000116	17		yes	no		auditoryoddballwithbuttonresponsetotargetstimuli,visualoddballwithbuttonresponsetotargetstimuli			
ds006377	115		no	no					
ds006366	92		yes	yes		sleep			
ds004796	79		yes	yes		msit,rest,sternberg			
ds001705	5		yes	no					
ds004103	66		yes	yes		OTCG			
ds004621	42		yes	yes		msit,oddball,rest,srt			
ds004199	170		yes	no					
ds005602	542		yes	no					
ds004670	7		yes	no					
ds006243	54		yes	no					
ds005815	20		yes	no					
ds006239	83		yes	yes		LocalASL,LocalEng,LocalSR0,LocalSem,ReadMean,ReadPhon			
ds004669	8		yes	no					
ds006067	118		yes	no		thinkaloud			
ds004624	3		yes	no					
ds006334	30		yes	no					
ds005530	18		yes	no					
ds006266	20		yes	no					
ds006265	20		yes	no					
ds006072	11		yes	no					
ds006318	86		yes	no					
ds006317	2		yes	no					
ds005589	32		yes	yes		lowSpeed,rsvp			
ds006111	100		no	no					
ds004516	43		yes	no					
ds005137	22		yes	no					
ds006303	149		yes	yes		TAU1,TAU2,rest			
ds005215	65		yes	no					
ds004952	10		yes	no					
ds005096	63		yes	no					
