old_id	new_id	key	reason
cit_000669	cit_000665	doi:10.1016/j.clinph.2019.07.008	normalised doi variant
cit_000668	cit_000667	doi:10.1038/s41467-024-47495-y	normalised doi variant
cit_000672	cit_000671	doi:10.1101/254961v2	normalised doi variant
cit_000683	cit_000682	doi:10.1007/s00406-022-01462-0	normalised doi variant
cit_000685	cit_000684	doi:10.1101/2020.12.17.423254v3	normalised doi variant
cit_000686	cit_000684	doi:10.1101/2020.12.17.423254v3	normalised doi variant
cit_000687	cit_000684	doi:10.1101/2020.12.17.423254v3	normalised doi variant
cit_000690	cit_000689	doi:10.1101/2020.09.29.319418v4	normalised doi variant
cit_000695	cit_000694	url:https://www.eneuro.org/content/5/3/ENEURO.0083-18.2018	normalised url variant
cit_000701	cit_000696	doi:10.1038/s41597-020-00735-4	normalised doi variant
cit_001264	cit_000696	doi:10.1038/s41597-020-00735-4	normalised doi variant
cit_001266	cit_000696	doi:10.1038/s41597-020-00735-4	normalised doi variant
cit_000700	cit_000699	doi:10.1073/pnas.2110474118	normalised doi variant
cit_000707	cit_000705	url:https://www.humanconnectome.org/study/hcp-young-adult	normalised url variant
cit_000713	cit_000711	url:https://sites.wustl.edu/dualmechanisms	normalised url variant
cit_001315	cit_000711	url:https://sites.wustl.edu/dualmechanisms	normalised url variant
cit_000719	cit_000718	url:https://www.cell.com/neuron/fulltext/S0896-6273(17	normalised url variant
cit_000751	cit_000749	url:https://mafil.ceitec.cz	normalised url variant
cit_000753	cit_000752	url:https://harrisonritz.github.io	normalised url variant
cit_000756	cit_000754	doi:10.1177/0271678x221121873	normalised doi variant
cit_000767	cit_000765	doi:10.1016/j.nbd.2020.104978	normalised doi variant
cit_000769	cit_000766	doi:10.1177/0271678x221090997	normalised doi variant
cit_000772	cit_000768	doi:10.1038/jcbfm.2009.7	normalised doi variant
cit_000771	cit_000770	doi:10.1093/sleep/zsy088	normalised doi variant
cit_000784	cit_000781	doi:10.1101/2023.10.27.564326v1	normalised doi variant
cit_000783	cit_000782	url:https://www.biorxiv.org/content/make.up.the.doi.link.here	normalised url variant
cit_000789	cit_000788	doi:10.1038/ncomms15037	normalised doi variant
cit_000790	cit_000788	doi:10.1038/ncomms15037	normalised doi variant
cit_000791	cit_000788	doi:10.1038/ncomms15037	normalised doi variant
cit_000794	cit_000792	doi:10.1101/2023.10.30.564708v1	normalised doi variant
cit_000798	cit_000795	url:https://www.essex.ac.uk/research-projects/adaptive-joint-cognitive-systems	normalised url variant
cit_000797	cit_000796	url:https://www.defense.gov/News/Releases/Release/Article/1644263/dod-announces-bari-award-for-us-uk-collaboration-on-human-machine-teaming	normalised url variant
cit_000801	cit_000799	url:https://www.stressforskning.su.se/polopoly_fs/1.238736.1433421769!/menu/standard/file/Sandra%20SSC%202014.pdf	normalised url variant
cit_000812	cit_000811	doi:10.1101/2022.11.08.515705	normalised doi variant
cit_000829	cit_000828	doi:10.1101/2023.01.30.526344v1	normalised doi variant
cit_000833	cit_000831	url:https://www.dnagenotek.com/ROW/products/OG500.html	normalised url variant
cit_000839	cit_000836	url:https://www.ncbi.nlm.nih.gov/pubmed/15019707	normalised url variant
cit_000838	cit_000837	url:https://www.ncbi.nlm.nih.gov/pubmed/11244543	normalised url variant
cit_000844	cit_000843	doi:10.1101/2022.11.30.518606	normalised doi variant
cit_000849	cit_000848	url:https://www.semanticscholar.org/paper/Psychophysical-interactions-with-a-single-photon-Radin-Michel/8095890b463b7d373054b9da40a04356cc63bcf2	normalised url variant
cit_000851	cit_000850	url:https://www.jyu.fi/hytk/fi/laitokset/mutku/en/research/projects2/past-projects/coe/materials/emotion/soundtracks/set1/view	normalised url variant
cit_000864	cit_000862	doi:10.1523/jneurosci.0114-21.2021	normalised doi variant
cit_000867	cit_000866	doi:10.1038/s42255-023-00874-z	normalised doi variant
cit_000877	cit_000876	url:https://www.snu.ac.kr	normalised url variant
cit_000880	cit_000878	url:https://www.msit.go.kr	normalised url variant
cit_000885	cit_000883	doi:10.1038/s41598-022-08713-z	normalised doi variant
cit_000886	cit_000883	doi:10.1038/s41598-022-08713-z	normalised doi variant
cit_000890	cit_000888	doi:10.1101/2022.10.15.512361v1	normalised doi variant
cit_000893	cit_000892	doi:10.1101/862797v3	normalised doi variant
cit_000894	cit_000892	doi:10.1101/862797v3	normalised doi variant
cit_000895	cit_000892	doi:10.1101/862797v3	normalised doi variant
cit_000910	cit_000908	doi:10.1038/s41597-023-02286-w	normalised doi variant
cit_000911	cit_000909	doi:10.1101/2022.05.24.492109v3	normalised doi variant
cit_000914	cit_000913	url:https://www.ncbi.nlm.nih.gov/pubmed/001012092119281	normalised url variant
