onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0002	20.0121	29	2	200	1	40	2	0	0	1	0	0	0	0	0.4715	0	1	0	0	0.0002	3.0331	3.0333	17.0618	7.5223	17.0616	20.0123	3	100	100	0.6093	0.5562	2.6703	3.2255
20.0357	20.0123	30	2	150	1	60	2	0	0	1	0	0	0	0	0.8093	0	1	0	0	20.0357	23.0436	23.0436	37.0808	27.866	37.0807	40.048	3	150	0	0.8624	0.9777	2.8125	2.7723
40.0544	24.0123	31	2	200	2	40	2	0	0.6276	0	1	0	0	0	0	1	0	0	0	40.0544	40.7062	40.7182	57.0867	50.0705	57.0867	64.0667	7	0	0	0.387	0.9365	2.7926	2.8123
64.0727	22.0123	32	2	150	2	70	2	0	0.7819	0	2	0	0	0	0	2	0	0	0	64.0727	64.8782	64.8959	81.1179	74.0961	81.1179	86.085	5	150	0	0.2155	0.2635	2.7849	3.5854
86.0921	21.0126	33	2	200	1	10	2	0	0	1	0	0	0	0	0.8713	0	1	0	0	86.0921	89.103	89.103	103.137	93.9838	103.1367	107.1047	4	100	100	0.4946	0.3662	2.6353	2.8256
107.1153	26.0124	34	2	150	1	25	2	0	0	2	0	0	0	0	1.2232	0	1	0	0	107.1153	110.1222	110.1223	124.1553	115.3545	124.1553	133.1277	9	0	150	0.6515	0.6494	2.6754	2.5857
133.133	22.0122	35	2	200	2	70	2	0	0.9712	0	2	0	0	0	0	2	0	0	0	133.133	134.1221	134.1372	150.1724	143.1537	150.1724	155.1452	5	100	100	0.9488	0.5226	3.1549	2.1326
155.1512	22.0122	36	2	150	2	35	2	0	1.5944	0	2	0	0	0	0	1	0	0	0	155.1512	156.7639	156.7689	172.1776	165.1614	172.1776	177.1634	5	150	0	0.7967	0.5675	2.6993	2.8656
177.1692	23.0122	37	2	200	1	20	2	0	0	1	0	0	0	0	0.59	0	1	0	0	177.1692	180.1763	180.1765	194.2095	184.776	194.2095	200.1814	6	100	100	0.0052	0.6745	2.1682	2.799
200.187	22.0122	38	2	150	1	80	2	0	0	2	0	0	0	0	1.1202	0	1	0	0	200.187	203.1944	203.1944	217.2277	208.3239	217.2277	222.1992	5	150	0	0.2028	0.6775	2.6491	2.6257
