onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
0.0001	20.0121	57	3	200	1	40	2	0	0	1	0	0	0	0	2.7683	0	1	0	0	0.0001	3.0075	3.0076	17.0351	9.7924	17.035	20.0122	3	0	0	0.0498	0.8698	1.9097	2.0792
20.0384	23.0123	58	3	150	1	65	2	0	0	2	0	0	0	0	1.93	0	1	0	0	20.0384	23.0458	23.0458	37.0808	28.9867	37.0808	43.0507	6	150	0	0.8838	0.9579	1.2908	1.6927
43.0566	23.0123	59	3	200	2	10	2	0	0.7842	0	1	0	0	0	0	1	0	0	0	43.0566	43.8617	43.8771	60.099	53.0779	60.099	66.0689	6	100	100	0.7252	0.4259	1.5048	2.0126
66.0751	23.0123	60	3	150	2	90	2	0	0.7559	0	2	0	0	0	0	1	0	0	0	66.0751	66.8516	66.8686	83.1172	76.0984	83.1172	89.0874	6	0	150	0.0151	0.743	1.9956	1.9859
89.0941	22.0126	61	3	200	1	40	2	0	0	1	0	0	0	0	0.5195	0	1	0	0	89.0941	92.1034	92.1034	106.1359	96.631	106.1357	111.1067	5	100	100	0.1432	0.0607	1.3942	2.0392
111.1165	24.0124	62	3	150	1	70	2	0	0	2	0	0	0	0	0.6247	0	2	0	0	111.1165	114.1233	114.1234	128.1539	118.7546	128.1539	135.1289	7	150	0	0.354	0.8262	1.3798	1.4128
135.1347	26.0122	63	3	200	2	25	2	0	0.7376	0	1	0	0	0	0	1	0	0	0	135.1347	135.8879	135.8966	152.1717	145.1496	152.1717	161.1469	9	100	100	0.1016	0.1	1.9589	1.5461
161.1522	22.0122	64	3	150	2	65	2	0	2.2866	0	2	0	0	0	0	2	0	0	0	161.1522	163.4539	163.4598	179.1085	171.1636	179.1085	183.1644	5	150	0	0.7802	0.0369	2.8017	4.9182
183.1697	21.0123	65	3	200	1	35	2	0	0	1	0	0	0	0	0.4431	0	1	0	0	183.1697	186.1758	186.1759	200.2074	190.6266	200.2074	204.182	4	0	0	0.9028	0.7488	1.927	1.5461
204.1878	25.0123	66	3	150	1	80	2	0	0	2	0	0	0	0	0.9737	0	2	0	0	204.1878	207.1942	207.1942	221.2263	212.176	221.2263	229.2001	8	0	150	0.4646	0.2712	1.8614	1.8393
