onset	duration	stim	trial_number	trial_type	trial_structure	trial_length	sequential_position	probe_type	probe	probe_position	response_correct	response_key	response_time
0.0543000000000049	0.0	+	1	noun	phrase	1	1	match	sablier	5	1	y	0.72467
0.5375000000000014	0.2	lrzhw	1	noun	phrase	1	2	match	sablier	5	1	y	0.72467
0.7374000000000009	0.0	+	1	noun	phrase	1	3	match	sablier	5	1	y	0.72467
1.1372	0.2	pkq	1	noun	phrase	1	4	match	sablier	5	1	y	0.72467
1.3371000000000066	0.0	+	1	noun	phrase	1	5	match	sablier	5	1	y	0.72467
1.7369000000000057	0.2	fpmt	1	noun	phrase	1	6	match	sablier	5	1	y	0.72467
1.9368000000000052	0.0	+	1	noun	phrase	1	7	match	sablier	5	1	y	0.72467
2.3367000000000004	0.2	fgrn	1	noun	phrase	1	8	match	sablier	5	1	y	0.72467
2.5366	0.0	+	1	noun	phrase	1	9	match	sablier	5	1	y	0.72467
2.936400000000006	0.2	sablier	1	noun	phrase	1	10	match	sablier	5	1	y	0.72467
3.1363000000000056	0.0	+	1	noun	phrase	1	11	match	sablier	5	1	y	0.72467
3.5361000000000047	0.0	+	1	noun	phrase	1	12	match	sablier	5	1	y	0.72467
5.535200000000003	0.0	SABLIER	1	noun	phrase	1	13	match	sablier	5	1	y	0.72467
6.3182000000000045	0.0	+	1	noun	phrase	1	14	match	sablier	5	1	y	0.72467
6.259900000000009	0.0	[response]	1	noun	phrase	1	15	match	sablier	5	1	y	0.72467
7.934200000000004	0.0	+	2	verb	phrase	1	1	match	mieux	5	1	y	0.57296
8.483899999999998	0.2	lqcrmzv	2	verb	phrase	1	2	match	mieux	5	1	y	0.57296
8.683799999999998	0.0	+	2	verb	phrase	1	3	match	mieux	5	1	y	0.57296
9.083599999999997	0.2	hfk	2	verb	phrase	1	4	match	mieux	5	1	y	0.57296
9.2836	0.0	+	2	verb	phrase	1	5	match	mieux	5	1	y	0.57296
9.70000000000001	0.2	lj	2	verb	phrase	1	6	match	mieux	5	1	y	0.57296
9.89990000000001	0.0	+	2	verb	phrase	1	7	match	mieux	5	1	y	0.57296
10.299799999999998	0.2	cdzvknh	2	verb	phrase	1	8	match	mieux	5	1	y	0.57296
10.499699999999997	0.0	+	2	verb	phrase	1	9	match	mieux	5	1	y	0.57296
10.89950000000001	0.2	mieux	2	verb	phrase	1	10	match	mieux	5	1	y	0.57296
11.09940000000001	0.0	+	2	verb	phrase	1	11	match	mieux	5	1	y	0.57296
11.499200000000009	0.0	+	2	verb	phrase	1	12	match	mieux	5	1	y	0.57296
13.498300000000008	0.0	MIEUX	2	verb	phrase	1	13	match	mieux	5	1	y	0.57296
14.131400000000006	0.0	+	2	verb	phrase	1	14	match	mieux	5	1	y	0.57296
14.0713	0.0	[response]	2	verb	phrase	1	15	match	mieux	5	1	y	0.57296
23.893700000000003	0.0	+	3	noun	list	2	1	nomatch	sous	-1	1	p	0.80522
24.443500000000007	0.2	ltn	3	noun	list	2	2	nomatch	sous	-1	1	p	0.80522
