onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
237.5938	2.0	StroopIncon	stroop	1.0	1.6	0.57898	7.0	n/a	n/a	7	n/a	1.0	0.0	9.0	1.0	57.0	238.0	16.0	16.0003	15.9904
239.5941	2.0	StroopIncon	stroop	1.0	1.6	0.50862	7.0	n/a	n/a	7	n/a	1.0	0.0	10.0	1.0	57.0	240.0	18.0	18.0006	17.99091
241.5939	2.0	StroopIncon	stroop	1.0	1.6	0.47877	7.0	n/a	n/a	7	n/a	1.0	0.0	11.0	1.0	57.0	242.0	20.0	20.0004	19.99057
243.5937	2.0	StroopIncon	stroop	1.0	1.6	0.70055	7.0	n/a	n/a	7	n/a	1.0	0.0	12.0	1.0	57.0	244.0	22.0	22.0002	21.99061
245.59400000000002	2.0	StroopCon	stroop	2.0	1.6	0.50822	7.0	n/a	n/a	7	n/a	1.0	0.0	13.0	1.0	57.0	246.0	24.0	24.0005	23.99085
247.5945	2.0	StroopIncon	stroop	1.0	1.6	0.79613	7.0	n/a	n/a	7	n/a	1.0	0.0	14.0	1.0	57.0	248.0	26.0	26.001	25.99083
249.5948	2.0	StroopIncon	stroop	1.0	1.6	0.6413300000000001	7.0	n/a	n/a	7	n/a	1.0	0.0	15.0	1.0	57.0	250.0	28.0	28.0013	27.99029
251.46268819999997	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
256.4626882	2.0	UnpleasantScenes	affective	1.0	1.6	0.63331	8.0	n/a	n/a	7	n/a	1.0	0.0	1.0	1.0	57.0	257.0	0.0	0.0545882	-0.009338125
258.4082	2.0	PleasantScenes	affective	2.0	1.6	0.5342100000000001	8.0	n/a	n/a	7	n/a	1.0	0.0	2.0	1.0	57.0	259.0	2.0	2.0001	1.990678
260.4091	2.0	PleasantScenes	affective	2.0	1.6	0.50729	8.0	n/a	n/a	7	n/a	1.0	0.0	3.0	1.0	57.0	261.0	4.0	4.001	3.991343
262.40906	2.0	PleasantScenes	affective	2.0	1.6	0.53199	8.0	n/a	n/a	7	n/a	1.0	0.0	4.0	1.0	57.0	263.0	6.0	6.00096	5.991356
264.40929	2.0	PleasantScenes	affective	2.0	1.6	0.5605	8.0	n/a	n/a	7	n/a	1.0	0.0	5.0	1.0	57.0	265.0	8.0	8.00119	7.9913690000000015
266.4083	2.0	UnpleasantScenes	affective	1.0	1.6	0.70058	8.0	n/a	n/a	7	n/a	1.0	0.0	6.0	1.0	57.0	267.0	10.0	10.0002	9.989872
268.4084	2.0	UnpleasantScenes	affective	1.0	1.6	0.62763	8.0	n/a	n/a	7	n/a	1.0	0.0	7.0	1.0	57.0	269.0	12.0	12.0003	11.98947
270.4091	2.0	PleasantScenes	affective	2.0	1.6	0.5654100000000001	8.0	n/a	n/a	7	n/a	1.0	0.0	8.0	1.0	57.0	271.0	14.0	14.001	13.989670000000002
272.4082	2.0	UnpleasantScenes	affective	1.0	1.6	0.57706	8.0	n/a	n/a	7	n/a	1.0	0.0	9.0	1.0	57.0	273.0	16.0	16.0001	15.98941
274.4086	2.0	PleasantScenes	affective	2.0	1.6	0.5241899999999999	8.0	n/a	n/a	7	n/a	1.0	0.0	10.0	1.0	57.0	275.0	18.0	18.0005	17.98919
276.4088	2.0	UnpleasantScenes	affective	1.0	1.6	0.66362	8.0	n/a	n/a	7	n/a	1.0	0.0	11.0	1.0	57.0	277.0	20.0	20.0007	19.98935
278.4096	2.0	UnpleasantScenes	affective	1.0	1.6	0.7098800000000001	8.0	n/a	n/a	7	n/a	1.0	0.0	12.0	1.0	57.0	279.0	22.0	22.0015	21.98988
280.4094	2.0	UnpleasantScenes	affective	1.0	1.6	0.64651	8.0	n/a	n/a	7	n/a	1.0	0.0	13.0	1.0	57.0	281.0	24.0	24.0013	23.99028
282.4092	2.0	PleasantScenes	affective	2.0	1.6	0.7416	8.0	n/a	n/a	7	n/a	1.0	0.0	14.0	1.0	57.0	283.0	26.0	26.0011	25.99024
284.4082	2.0	UnpleasantScenes	affective	1.0	1.6	0.56193	8.0	n/a	n/a	7	n/a	1.0	0.0	15.0	1.0	57.0	285.0	28.0	28.0001	27.99049
286.372655387	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
291.372655387	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.7779699999999999	9.0	n/a	n/a	7	n/a	1.0	0.0	1.0	1.0	57.0	292.0	0.0	0.000255387	-0.03232913
293.3724600000001	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.4965100000000001	9.0	n/a	n/a	7	n/a	1.0	0.0	2.0	1.0	57.0	294.0	2.0	2.00006	1.967703
295.37354000000005	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.46393	9.0	n/a	n/a	7	n/a	1.0	0.0	3.0	1.0	57.0	296.0	4.0	4.00114	3.968685
297.3738400000001	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.6036699999999999	9.0	n/a	n/a	7	n/a	1.0	0.0	4.0	1.0	57.0	298.0	6.0	6.0014400000000006	5.967495
299.37351	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.41265	9.0	n/a	n/a	7	n/a	1.0	0.0	5.0	1.0	57.0	300.0	8.0	8.00111	7.968724000000001
