onset	duration	subject	task	trialHit	rt	acc
95.0773997199	0	1	house	noHit	None	1
97.0444402175	0	1	house	noHit	None	1
99.0106125845	0	1	house	noHit	None	1
100.978984579	0	1	house	noHit	None	1
102.943891736	0	1	house	noHit	None	1
104.910863065	0	1	house	Hit	1.49003010758	1
106.877027746	0	1	face	noHit	None	1
108.844097064	0	1	face	noHit	None	1
110.810469892	0	1	face	Hit	1.49004804019	1
112.777324659	0	1	face	noHit	None	1
114.74337406	0	1	face	noHit	None	1
116.710465473	0	1	face	noHit	None	1
118.676587244	0	1	face	noHit	None	1
120.643672253	0	1	face	noHit	None	1
122.609756879	0	1	face	noHit	None	1
124.576897607	0	1	face	Hit	1.49004163568	1
126.542984153	0	1	face	noHit	None	1
128.510078769	0	1	face	noHit	None	1
130.476233844	0	1	face	noHit	None	1
132.444403135	0	1	face	noHit	None	1
134.409417888	0	1	face	noHit	None	1
136.376410992	0	1	face	noHit	None	1
138.342574713	0	1	face	noHit	None	1
140.309663245	0	1	face	noHit	None	1
142.275777331	0	1	house	noHit	None	1
144.242846328	0	1	house	noHit	None	1
146.20912501	0	1	house	noHit	None	1
148.176075524	0	1	house	Hit	1.49005348402	1
150.143153488	0	1	house	noHit	None	1
152.10934635	0	1	house	noHit	None	1
154.076405421	0	1	house	noHit	None	1
156.042437529	0	1	house	noHit	None	1
158.009616684	0	1	house	noHit	None	1
159.975706113	0	1	house	noHit	None	1
161.94280297	0	1	house	noHit	None	1
163.909873889	0	1	house	noHit	None	1
165.876017756	0	1	house	noHit	None	1
167.843064978	0	1	house	noHit	None	1
169.809163693	0	1	house	Hit	1.49004932109	1
171.77540651	0	1	house	noHit	None	1
173.742324361	0	1	house	noHit	None	1
175.708421796	0	1	house	noHit	None	1
177.675584939	0	1	face	noHit	None	1
179.64163466	0	1	face	noHit	None	1
181.608725433	0	1	face	noHit	None	1
183.574890435	0	1	face	noHit	None	1
185.541930933	0	1	face	noHit	None	1
187.508006912	0	1	face	noHit	None	1
189.475154044	0	1	face	noHit	None	1
191.441246035	0	1	face	noHit	None	1
193.408356662	0	1	face	noHit	None	1
195.374429118	0	1	face	noHit	None	1
197.341648302	0	1	face	noHit	None	1
199.30766568	0	1	face	noHit	None	1
201.274742043	0	1	face	noHit	None	1
203.240905123	0	1	face	Hit	1.49004996154	1
205.207943379	0	1	face	Hit	1.49004451771	1
207.175038315	0	1	face	noHit	None	1
209.141118777	0	1	face	noHit	None	1
211.107257521	0	1	face	noHit	None	1
213.074316591	0	1	house	Hit	None	0
215.040493762	0	1	house	noHit	None	1
217.007567563	0	1	house	noHit	None	1
218.973642901	0	1	house	Hit	1.49004964132	1
