onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	1.06	8	2	1
6.001	2.5	0	3	0.95	8	2	2
11	2.5	0	3	0.75	3	1	1
16	2.5	0	3	0.73	3	1	2
21.002	2.5	0	3	0.98	5	1	1
26.001	2.5	0	3	0.67	5	1	2
41.001	2.5	0	3	0.85	6	1	1
46	2.5	0	3	0.79	6	1	2
51.001	2.5	0	3	0.96	7	2	1
56.001	2.5	0	3	0.99	7	2	2
61.001	2.5	1	0	1.72	9	2	1
66.001	2.5	1	0	1.65	9	2	2
71.001	2.5	0	3	0.94	8	2	1
76.001	2.5	0	3	0.88	8	2	2
81	2.5	0	3	0.97	12	2	1
86	2.5	0	3	1.01	12	2	2
91.001	2.5	0	3	1.38	9	2	1
96.001	2.5	0	3	1.08	9	2	2
101	2.5	0	3	1.22	11	2	1
106.001	2.5	0	3	0.86	11	2	2
111.001	2.5	0	3	0.8	2	1	1
116.001	2.5	0	3	0.77	2	1	2
121.001	2.5	0	3	1.21	10	2	1
126.002	2.5	0	3	0.95	10	2	2
131	2.5	0	3	1.09	7	2	1
136.001	2.5	0	3	0.96	7	2	2
141.002	2.5	0	3	0.99	8	2	1
146.001	2.5	0	3	0.93	8	2	2
161	2.5	0	3	0.9	3	1	1
166	2.5	0	3	0.74	3	1	2
171	2.5	0	3	0.8	3	1	1
176.001	2.5	0	3	0.98	3	1	2
181.002	2.5	0	3	0.88	1	1	1
186.002	2.5	0	3	0.78	1	1	2
191	2.5	0	3	0.7	5	1	1
196.001	2.5	0	3	0.67	5	1	2
201.001	2.5	0	3	0.73	4	1	1
206	2.5	0	3	0.7	4	1	2
211	2.5	0	3	0.69	4	1	1
216.001	2.5	0	3	0.67	4	1	2
221.001	2.5	0	3	0.77	1	1	1
226.001	2.5	0	3	0.76	1	1	2
231	2.5	0	3	1.09	10	2	1
236.002	2.5	0	3	1	10	2	2
241.001	2.5	0	3	0.76	6	1	1
246	2.5	0	3	0.74	6	1	2
251	2.5	0	3	0.98	7	2	1
256.001	2.5	0	3	0.93	7	2	2
261	2.5	0	3	1.54	9	2	1
266.001	2.5	0	3	1.27	9	2	2
271.001	2.5	0	3	1.48	11	2	1
276	2.5	0	3	0.87	11	2	2
281	2.5	0	3	0.77	2	1	1
286	2.5	0	3	0.79	2	1	2
291.001	2.5	0	3	0.96	12	2	1
296.001	2.5	0	3	1.03	12	2	2
311	2.5	0	3	1.24	11	2	1
316.001	2.5	0	3	1.02	11	2	2
321	2.5	0	3	1.04	12	2	1
326.001	2.5	0	3	0.94	12	2	2
331.002	2.5	0	3	0.74	6	1	1
336.001	2.5	1	0	2.15	6	1	2
341.001	2.5	0	3	0.82	2	1	1
346	2.5	0	3	0.77	2	1	2
361	2.5	0	3	1.09	10	2	1
366	2.5	1	0	2.23	10	2	2
371.001	2.5	0	3	0.8	4	1	1
376.001	2.5	0	3	0.75	4	1	2
391	2.5	1	0	2.45	1	1	1
396.001	2.5	0	3	0.82	1	1	2
401.001	2.5	0	3	0.73	5	1	1
406.001	2.5	0	3	0.97	5	1	2
