onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.62	8	2	1
6	2.5	0	3	1.29	8	2	2
11	2.5	0	3	1.29	10	2	1
16	2.5	0	3	1.27	10	2	2
31	2.5	0	3	1.1	10	2	1
36	2.5	0	3	1.08	10	2	2
41	2.5	1	0	1.53	11	2	1
46	2.5	1	0	1.85	11	2	2
51	2.5	0	3	1.09	6	1	1
56	2.5	0	3	1	6	1	2
61	2.5	0	3	0.91	3	1	1
66	2.5	0	3	0.98	3	1	2
71	2.5	0	3	0.92	4	1	1
76	2.5	0	3	0.77	4	1	2
91	2.5	0	3	0.9	5	1	1
96	2.5	0	3	0.76	5	1	2
101	2.5	0	3	1.44	12	2	1
106	2.5	0	3	1.35	12	2	2
111	2.5	1	0	2.73	9	2	1
116	2.5	0	3	1.61	9	2	2
121	2.5	0	3	0.94	1	1	1
126	2.5	0	3	0.97	1	1	2
141	2.5	1	0	1.69	10	2	1
146	2.5	0	3	1.1	10	2	2
151	2.5	0	3	0.84	5	1	1
156	2.5	0	3	0.77	5	1	2
161	2.5	0	3	0.87	2	1	1
166	2.5	0	3	0.77	2	1	2
171.002	2.5	0	3	0.82	2	1	1
176	2.5	0	3	0.79	2	1	2
181	2.5	0	3	0.8	5	1	1
186	2.5	1	0	0.82	5	1	2
191	2.5	1	0	2.24	11	2	1
196	2.5	0	3	1.43	11	2	2
201	2.5	0	3	1.84	9	2	1
206	2.5	0	3	1.4	9	2	2
211	2.5	0	3	1.13	7	2	1
216	2.5	1	0	1.71	7	2	2
221	2.5	0	3	1.07	7	2	1
226	2.5	0	3	1.01	7	2	2
231	2.5	0	3	1.15	9	2	1
236	2.5	1	0	1.47	9	2	2
241	2.5	0	3	1.04	8	2	1
246	2.5	0	3	1.07	8	2	2
251	2.5	0	3	1.14	7	2	1
256	2.5	0	3	0.99	7	2	2
261	2.5	0	3	0.81	3	1	1
266	2.5	0	3	0.76	3	1	2
271	2.5	0	3	1.29	1	1	1
276	2.5	0	3	0.82	1	1	2
281	2.5	0	3	1.16	12	2	1
286	2.5	0	3	0.99	12	2	2
291	2.5	0	3	1.61	11	2	1
296	2.5	1	0	1.53	11	2	2
301	2.5	0	3	0.91	2	1	1
306	2.5	0	3	0.84	2	1	2
321	2.5	0	3	0.78	4	1	1
326	2.5	0	3	0.77	4	1	2
331	2.5	0	3	0.87	6	1	1
336	2.5	0	3	0.83	6	1	2
341	2.5	0	3	0.98	12	2	1
346	2.5	0	3	0.96	12	2	2
351	2.5	0	3	0.79	1	1	1
356	2.5	0	3	0.79	1	1	2
361	2.5	0	3	1.07	3	1	1
366	2.5	0	3	1.38	3	1	2
381	2.5	0	3	1.3	8	2	1
386	2.5	0	3	0.96	8	2	2
391	2.5	0	3	0.79	4	1	1
396	2.5	0	3	0.76	4	1	2
401	2.5	0	3	0.82	6	1	1
406	2.5	0	3	0.85	6	1	2
