onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	0.8	3	1	1
6.001	2.5	0	3	0.75	3	1	2
11	2.5	0	3	1.17	9	2	1
16	2.5	0	3	1.04	9	2	2
31.001	2.5	0	3	1.02	10	2	1
36.002	2.5	0	3	0.93	10	2	2
41.001	2.5	0	3	0.95	7	2	1
46.002	2.5	0	3	0.84	7	2	2
51.002	2.5	0	3	0.71	4	1	1
56.001	2.5	1	0	1.55	4	1	2
61.001	2.5	0	3	1.13	11	2	1
66.001	2.5	0	3	1.21	11	2	2
71.001	2.5	0	3	0.76	2	1	1
76.001	2.5	0	3	0.7	2	1	2
81.001	2.5	0	3	0.76	2	1	1
86.001	2.5	0	3	0.79	2	1	2
91.001	2.5	0	3	0.7	2	1	1
96	2.5	0	3	0.71	2	1	2
101.001	2.5	0	3	0.8	1	1	1
106.001	2.5	0	3	1.54	1	1	2
111.002	2.5	0	3	1.17	8	2	1
116.001	2.5	0	3	0.89	8	2	2
121.001	2.5	1	0	1.81	12	2	1
126.002	2.5	0	3	1.07	12	2	2
131.001	2.5	0	3	0.94	10	2	1
136.001	2.5	0	3	0.88	10	2	2
141.001	2.5	1	0	1.43	12	2	1
146.001	2.5	0	3	1	12	2	2
151.001	2.5	0	3	1.14	9	2	1
156.001	2.5	0	3	0.96	9	2	2
161	2.5	0	3	0.65	4	1	1
166	2.5	0	3	0.68	4	1	2
171.001	2.5	0	3	0.97	7	2	1
176.001	2.5	0	3	0.86	7	2	2
181	2.5	0	3	0.99	8	2	1
186.001	2.5	0	3	0.82	8	2	2
201	2.5	0	3	0.89	7	2	1
206.001	2.5	0	3	0.81	7	2	2
211	2.5	0	3	1.23	10	2	1
216.002	2.5	0	3	0.84	10	2	2
221	2.5	0	3	0.73	6	1	1
226.001	2.5	0	3	0.71	6	1	2
231.001	2.5	0	3	0.71	6	1	1
236.001	2.5	0	3	0.71	6	1	2
241.001	2.5	0	3	0.78	1	1	1
246.001	2.5	0	3	0.75	1	1	2
251.001	2.5	0	3	1.09	11	2	1
256.001	2.5	0	3	1.03	11	2	2
271.001	2.5	0	3	1.35	3	1	1
276.001	2.5	0	3	0.76	3	1	2
281.001	2.5	0	3	1.19	11	2	1
286.002	2.5	0	3	0.78	11	2	2
291.001	2.5	0	3	0.76	3	1	1
296	2.5	0	3	0.72	3	1	2
301.001	2.5	0	3	0.68	4	1	1
306	2.5	0	3	0.7	4	1	2
321.001	2.5	1	0	2.05	1	1	1
326.001	2.5	0	3	0.75	1	1	2
331.001	2.5	1	0	1.96	6	1	1
336.001	2.5	1	0	2.56	6	1	2
351.001	2.5	0	3	1.39	8	2	1
356.001	2.5	0	3	0.9	8	2	2
361	2.5	0	3	1.99	9	2	1
366.001	2.5	0	3	1.08	9	2	2
371.001	2.5	0	3	1.35	5	1	1
376.002	2.5	1	0	1.69	5	1	2
381	2.5	0	3	1.32	5	1	1
386	2.5	0	3	0.85	5	1	2
391	2.5	0	3	1	5	1	1
396.001	2.5	0	3	0.7	5	1	2
401.001	2.5	0	3	1.04	12	2	1
406.002	2.5	0	3	0.94	12	2	2
