onset	duration	sample	type	value
37.68359375	0	9648	trigger	6
37.83984375	0	9688	trigger	2
37.99609375	0	9728	trigger	4
38.15234375	0	9768	trigger	2
38.27734375	0	9800	trigger	5
38.46484375	0	9848	trigger	3
38.58984375	0	9880	trigger	4
38.74609375	0	9920	trigger	1
38.90234375	0	9960	trigger	6
39.05859375	0	10000	trigger	1
39.21484375	0	10040	trigger	5
39.33984375	0	10072	trigger	4
39.49609375	0	10112	trigger	2
39.65234375	0	10152	trigger	3
39.80859375	0	10192	trigger	6
39.96484375	0	10232	trigger	3
39.99609375	0	10240	trigger	200
45.02734375	0	11528	trigger	201
47.02734375	0	12040	trigger	202
49.02734375	0	12552	trigger	203
50.02734375	0	12808	trigger	102
50.18359375	0	12848	trigger	1
50.33984375	0	12888	trigger	6
50.49609375	0	12928	trigger	4
50.65234375	0	12968	trigger	2
50.77734375	0	13000	trigger	5
50.93359375	0	13040	trigger	3
51.08984375	0	13080	trigger	1
51.24609375	0	13120	trigger	4
51.40234375	0	13160	trigger	2
51.55859375	0	13200	trigger	5
51.71484375	0	13240	trigger	6
51.83984375	0	13272	trigger	4
51.99609375	0	13312	trigger	5
52.15234375	0	13352	trigger	6
52.30859375	0	13392	trigger	1
52.46484375	0	13432	trigger	3
52.62109375	0	13472	trigger	2
52.77734375	0	13512	trigger	3
52.90234375	0	13544	trigger	1
53.05859375	0	13584	trigger	4
53.21484375	0	13624	trigger	5
53.37109375	0	13664	trigger	6
53.52734375	0	13704	trigger	2
53.65234375	0	13736	trigger	5
53.83984375	0	13784	trigger	4
53.96484375	0	13816	trigger	1
54.12109375	0	13856	trigger	3
54.27734375	0	13896	trigger	6
54.40234375	0	13928	trigger	2
54.58984375	0	13976	trigger	1
54.71484375	0	14008	trigger	2
54.87109375	0	14048	trigger	6
55.02734375	0	14088	trigger	5
55.18359375	0	14128	trigger	4
55.33984375	0	14168	trigger	3
55.46484375	0	14200	trigger	4
55.62109375	0	14240	trigger	3
55.77734375	0	14280	trigger	5
55.93359375	0	14320	trigger	1
56.08984375	0	14360	trigger	2
56.24609375	0	14400	trigger	6
56.37109375	0	14432	trigger	3
56.52734375	0	14472	trigger	6
56.68359375	0	14512	trigger	5
56.83984375	0	14552	trigger	4
56.99609375	0	14592	trigger	2
57.15234375	0	14632	trigger	1
57.27734375	0	14664	trigger	4
57.43359375	0	14704	trigger	6
57.58984375	0	14744	trigger	5
57.74609375	0	14784	trigger	2
57.90234375	0	14824	trigger	1
58.02734375	0	14856	trigger	3
58.21484375	0	14904	trigger	4
58.33984375	0	14936	trigger	3
58.49609375	0	14976	trigger	6
58.65234375	0	15016	trigger	2
58.80859375	0	15056	trigger	5
58.96484375	0	15096	trigger	1
59.08984375	0	15128	trigger	3
59.27734375	0	15176	trigger	1
59.40234375	0	15208	trigger	2
59.55859375	0	15248	trigger	6
59.71484375	0	15288	trigger	4
59.87109375	0	15328	trigger	5
59.99609375	0	15360	trigger	3
60.15234375	0	15400	trigger	4
60.30859375	0	15440	trigger	1
60.46484375	0	15480	trigger	6
60.62109375	0	15520	trigger	5
60.74609375	0	15552	trigger	2
60.93359375	0	15600	trigger	1
61.05859375	0	15632	trigger	6
61.21484375	0	15672	trigger	5
61.37109375	0	15712	trigger	3
61.52734375	0	15752	trigger	4
61.68359375	0	15792	trigger	2
61.80859375	0	15824	trigger	5
61.96484375	0	15864	trigger	2
62.12109375	0	15904	trigger	4
62.27734375	0	15944	trigger	3
62.43359375	0	15984	trigger	6
62.58984375	0	16024	trigger	1
62.71484375	0	16056	trigger	2
62.87109375	0	16096	trigger	1
63.02734375	0	16136	trigger	5
63.18359375	0	16176	trigger	4
63.33984375	0	16216	trigger	3
63.49609375	0	16256	trigger	6
63.65234375	0	16296	trigger	1
63.77734375	0	16328	trigger	6
63.93359375	0	16368	trigger	2
64.08984375	0	16408	trigger	3
64.24609375	0	16448	trigger	5
64.40234375	0	16488	trigger	4
64.52734375	0	16520	trigger	5
64.71484375	0	16568	trigger	4
64.83984375	0	16600	trigger	2
64.99609375	0	16640	trigger	3
65.15234375	0	16680	trigger	6
65.30859375	0	16720	trigger	1
65.46484375	0	16760	trigger	3
65.58984375	0	16792	trigger	2
65.74609375	0	16832	trigger	6
65.90234375	0	16872	trigger	1
66.05859375	0	16912	trigger	4
66.21484375	0	16952	trigger	5
66.37109375	0	16992	trigger	6
66.52734375	0	17032	trigger	5
66.65234375	0	17064	trigger	1
66.80859375	0	17104	trigger	4
66.96484375	0	17144	trigger	2
67.12109375	0	17184	trigger	3
67.27734375	0	17224	trigger	5
67.40234375	0	17256	trigger	1
67.55859375	0	17296	trigger	2
67.71484375	0	17336	trigger	6
67.87109375	0	17376	trigger	4
68.02734375	0	17416	trigger	3
68.18359375	0	17456	trigger	2
68.33984375	0	17496	trigger	4
68.46484375	0	17528	trigger	5
68.62109375	0	17568	trigger	3
68.77734375	0	17608	trigger	1
68.93359375	0	17648	trigger	6
69.08984375	0	17688	trigger	5
69.21484375	0	17720	trigger	6
69.37109375	0	17760	trigger	2
69.52734375	0	17800	trigger	3
69.68359375	0	17840	trigger	4
69.83984375	0	17880	trigger	1
69.99609375	0	17920	trigger	6
70.15234375	0	17960	trigger	5
70.30859375	0	18000	trigger	3
70.43359375	0	18032	trigger	1
70.58984375	0	18072	trigger	4
70.74609375	0	18112	trigger	2
70.90234375	0	18152	trigger	5
71.05859375	0	18192	trigger	4
71.18359375	0	18224	trigger	2
71.33984375	0	18264	trigger	6
71.49609375	0	18304	trigger	1
71.65234375	0	18344	trigger	3
71.80859375	0	18384	trigger	1
71.93359375	0	18416	trigger	5
72.12109375	0	18464	trigger	2
72.24609375	0	18496	trigger	6
72.40234375	0	18536	trigger	4
72.55859375	0	18576	trigger	3
72.71484375	0	18616	trigger	6
72.87109375	0	18656	trigger	1
72.99609375	0	18688	trigger	3
73.15234375	0	18728	trigger	2
73.30859375	0	18768	trigger	4
73.46484375	0	18808	trigger	5
73.62109375	0	18848	trigger	6
73.74609375	0	18880	trigger	1
73.90234375	0	18920	trigger	2
74.05859375	0	18960	trigger	3
74.21484375	0	19000	trigger	4
74.37109375	0	19040	trigger	5
74.49609375	0	19072	trigger	4
74.68359375	0	19120	trigger	1
74.80859375	0	19152	trigger	3
74.96484375	0	19192	trigger	5
75.12109375	0	19232	trigger	6
75.27734375	0	19272	trigger	2
75.43359375	0	19312	trigger	6
75.55859375	0	19344	trigger	2
75.71484375	0	19384	trigger	5
75.87109375	0	19424	trigger	4
76.02734375	0	19464	trigger	1
76.18359375	0	19504	trigger	3
76.33984375	0	19544	trigger	4
76.46484375	0	19576	trigger	5
76.65234375	0	19624	trigger	3
76.77734375	0	19656	trigger	2
76.93359375	0	19696	trigger	6
77.08984375	0	19736	trigger	1
77.24609375	0	19776	trigger	6
77.37109375	0	19808	trigger	2
77.52734375	0	19848	trigger	4
77.68359375	0	19888	trigger	3
77.83984375	0	19928	trigger	1
77.99609375	0	19968	trigger	5
78.15234375	0	20008	trigger	6
78.30859375	0	20048	trigger	2
78.43359375	0	20080	trigger	4
78.58984375	0	20120	trigger	5
78.74609375	0	20160	trigger	3
78.90234375	0	20200	trigger	1
79.05859375	0	20240	trigger	2
79.21484375	0	20280	trigger	1
79.33984375	0	20312	trigger	6
79.49609375	0	20352	trigger	4
79.65234375	0	20392	trigger	5
79.80859375	0	20432	trigger	3
79.96484375	0	20472	trigger	5
80.02734375	0	20488	trigger	200
