onset	duration	correct
61.5	22.5	1
130.5	33.0	1
195.0	72.0	1
291.0	49.5	1
388.5	58.5	1
472.5	49.5	1
547.5	88.5	1
663.0	63.0	1
747.0	60.0	1
841.5	28.5	1
907.5	52.5	1
1012.5	37.5	1
1074.0	42.0	1
1176.0	42.0	1
1255.5	64.5	1
1347.0	30.0	1
1422.0	76.5	1
1572.0	24.0	1
