onset	duration	value	response	rt	good	Acu	estim	trial
260.166	1	11	1	348.5	1	1	1 0 0	3
263.3588	1	11	3	387.9	1	1	0 0 3	4
266.4851	1	11	3	400.1	1	1	0 0 3	5
269.9273	1	11	2	400.1	1	1	0 2 0	6
272.854	1	11	2	380.1	1	1	0 2 0	7
276.1964	1	12	3	598.1	1	1	2 3 2	1
278.5744	1	12	1	750	1	0	2 1 1	2
282.2827	1	12	2	631.2	1	1	1 1 2	3
284.5442	1	12	2	438.1	1	1	1 1 2	4
288.1028	1	12	2	385.9	1	1	1 1 2	5
291.0129	1	12	3	456.4	1	0	2 3 3	6
294.239	1	12	1	628.4	1	1	2 1 2	7
297.598	1	12	1	541.4	1	1	3 3 1	8
299.9095	1	11	1	437.6	1	1	1 0 0	1
303.5512	1	11	3	368.2	1	1	0 0 3	2
306.7939	1	11	1	391.4	1	1	1 0 0	3
309.7871	1	11	1	379.7	1	1	1 0 0	4
313.2626	1	11	3	369.5	1	1	0 0 3	5
315.2248	1	12	2	826.2	1	0	3 2 2	1
317.1372	1	12	1	582.8	1	1	3 1 3	2
319.6648	1	12	2	630.5	1	0	1 3 1	3
321.9762	1	12	2	546.8	1	1	1 1 2	4
324.5205	1	12	3	598.7	1	1	3 1 1	5
327.8297	1	12	2	608.5	1	1	3 3 2	6
330.0912	1	12	3	668.7	1	0	2 1 1	7
332.3528	1	12	2	653.9	1	0	3 1 3	8
334.8637	1	11	2	505.8	1	1	0 2 0	1
338.3891	1	11	2	410.7	1	1	0 2 0	2
340.5675	1	11	2	433	1	1	0 2 0	3
343.2448	1	12	3	620.2	1	1	2 3 2	1
346.2879	1	12	3	591.8	1	1	3 2 2	2
349.1481	1	12	2	1070.5	1	1	1 1 2	3
351.9252	1	12	2	896.5	1	1	2 1 1	4
355.3175	1	12	1	628	1	0	2 3 3	5
357.5624	1	12	1	669	1	0	2 1 1	6
360.7884	1	12	3	611.6	1	1	3 2 2	7
363.4823	1	11	1	383.9	1	1	1 0 0	1
