onset	duration	trial_type	rating	response_time	database	identifier
6.261	6.005	vp	3	3.885	iaps	4290
21.144	6.004	vp	3	1.115	iaps	2395
32.427	6.016	vp	2	3.148	iaps	5700
48.527	6.015	dn	2	0.806	iaps	2120
61.642	6.016	dn	2	0.930	iaps	6230
74.739	6.004	dn	2	2.181	iaps	2455
90.820	6.007	ip	3	1.016	iaps	8034
103.484	6.009	ip	4	1.143	iaps	2170
116.948	6.011	ip	4	2.435	iaps	4800
133.025	6.017	vn	1	1.101	iaps	2590
145.826	6.016	vn	2	0.785	iaps	9180
159.224	6.016	vn	1	0.987	iaps	2278
175.308	6.012	dp	2	1.162	iaps	4610
189.291	6.010	dp	2	0.628	iaps	8120
201.458	6.007	dp	2	1.724	iaps	5600
217.542	6.004	in	3	2.094	iaps	3220
231.011	6.013	in	3	0.911	iaps	6561
243.691	6.017	in	4	0.934	iaps	6300
259.790	6.015	vt	1	1.163	iaps	7187
272.887	6.016	vt	1	1.988	iaps	7009
285.984	6.007	vt	2	1.446	iaps	7161
302.057	6.008	dn	2	0.965	iaps	9561
316.623	6.006	dn	2	1.599	iaps	9420
328.206	6.017	dn	2	1.549	iaps	9920
344.307	6.016	ip	3	0.735	iaps	2391
358.206	6.015	ip	3	0.978	iaps	2209
370.502	6.016	ip	4	0.903	iaps	8178
386.599	6.007	vn	n/a	n/a	iaps	2981
400.372	6.007	vn	2	1.269	iaps	1274
412.797	6.008	vn	n/a	n/a	iaps	9041
428.858	6.014	dp	2	2.233	iaps	1500
443.755	6.016	dp	2	0.954	iaps	7350
455.054	6.016	dp	n/a	n/a	iaps	1540
471.152	6.015	vt	n/a	n/a	iaps	2190
484.049	6.005	vt	1	2.994	iaps	7002
497.313	6.009	vt	n/a	n/a	iaps	5740
513.387	6.007	in	3	1.765	iaps	9050
527.771	6.016	in	3	1.266	iaps	2683
539.570	6.017	in	2	3.608	iaps	6213
555.669	6.016	vp	1	0.864	iaps	8179
570.067	6.015	vp	1	0.676	iaps	8510
581.848	6.005	vp	1	0.614	iaps	4641
