onset	duration	accuracy	response_time	image
12.017	2	0	0.008	-49
18.015	2	0	0.016	1
24.013	2	0	0.016	7
30.01	2	0	0.017	-53
37.008	2	0	0.994	54
41.006	2	0	0.995	51
48.003	2	0	0.018	52
55.017	2	0	0.983	-35
61.015	2	0	0.985	15
66.013	2	0	0.019	-11
71.011	2	0	0.988	45
75.01	2	0	0.99	17
79.008	2	0	0.994	-9
86.006	2	0	0.02	-5
92.004	2	0	0.02	1
96.019	2	0	0.02	-19
101.017	2	1	0.697	-9
108.014	2	1	0	31
114.012	2	1	0	-37
121.009	2	1	0	-43
125.008	2	1	0	13
131.005	2	1	0	47
135.004	2	1	0	-27
142.018	2	1	0	23
148.015	2	1	0	-50
152.014	2	1	0.749	-25
156.012	2	1	0	39
160.011	2	1	0	-3
166.009	2	1	0	-41
170.007	2	1	0	-21
177.004	2	1	0	29
181.003	2	1	0	33
185.002	2	1	0	-25
191.016	2	1	0	39
195.014	2	1	0	33
200.012	2	1	0	-3
205.011	2	1	0.592	33
212.008	2	1	0	-19
216.006	2	1	0	-43
221.005	2	1	0	-37
228.002	2	1	0	-27
232.017	2	1	0	7
238.015	2	1	0	13
242.013	2	1	0	-9
247.011	2	1	0	-21
251.01	2	1	0	1
257.007	2	0	1.985	-50
264.005	2	1	0	47
268.003	2	1	0	-41
275.017	2	1	0	29
282.015	2	1	0	-11
288.012	2	1	0	51
295.01	2	0	0	23
300.008	2	1	0	45
304.006	2	1	0	15
308.005	2	1	0	31
314.003	2	1	0	-5
318.018	2	1	0	-25
322.016	2	1	0	-35
326.015	2	1	0	52
330.013	2	1	0	-53
337.01	2	1	0	54
341.009	2	1	0	-49
346.007	2	1	0	23
350.006	2	1	0	17
356.003	2	1	1.959	15
360.002	2	1	0	-5
364.017	2	1	0	-11
369.015	2	1	0	-37
375.013	2	1	0	-41
381.01	2	1	0	-50
385.009	2	1	0	-3
391.007	2	1	0	51
398.004	2	1	0	-49
402.002	2	1	0	47
407.017	2	1	0	15
411.016	2	1	0	33
416.014	2	1	0	17
421.012	2	1	0	-9
425.01	2	1	0.631	47
429.009	2	1	0	39
436.006	2	1	0	-25
440.005	2	1	0	-53
444.003	2	1	0	-43
451.017	2	1	0	-27
455.016	2	1	0	31
459.014	2	1	0	23
465.012	2	1	0.878	39
469.01	2	1	0	54
474.008	2	1	0	13
478.007	2	1	0	29
482.005	2	1	0	7
487.004	2	1	0	45
491.002	2	1	0	-35
497.016	2	1	0	1
502.014	2	1	0	52
507.013	2	1	0	-21
511.011	2	1	0	-19
516.009	2	1	0	-25
523.007	2	1	0	-50
528.005	2	0	0	52
533.003	2	1	0	15
540.017	2	1	0	39
544.015	2	1	0	-9
549.013	2	1	0	47
556.011	2	1	0.926	-50
563.008	2	1	0	-3
567.007	2	1	0	29
574.004	2	1	0	-11
578.002	2	1	0	33
583.017	2	1	0	23
587.016	2	1	0	13
593.013	2	1	0	-41
599.011	2	1	0	-35
606.008	2	1	0	-49
611.006	2	1	0	-37
616.005	2	1	0	-19
620.003	2	1	0	-27
624.002	2	1	0	-21
628.017	2	1	0	52
635.014	2	1	0	54
641.012	2	1	0	7
646.01	2	1	0	17
653.007	2	1	0	51
657.006	2	1	0	45
661.004	2	1	0	-5
667.002	2	1	0	31
673.016	2	1	0	-53
679.014	2	1	0	1
683.012	2	1	0	-43
