onset	duration	accuracy	response_time	image
12.013	2	0	0	-49
14.062	2	1	0.796	-9
18.011	2	1	0.64	10
20.077	2	1	0.727	-12
24.009	2	1	0.754	1
26.075	2	1	1.096	2
28.14	2	1	0.614	-3
30.206	2	1	1.021	13
32.272	2	1	0.747	-14
36.004	2	1	1.349	15
42.002	2	1	0.857	54
44.068	2	1	0.704	-5
48.016	2	1	0.714	-6
50.082	2	1	0.607	8
54.014	2	1	0.972	17
58.012	2	1	1.445	18
64.01	2	1	0.551	-20
70.008	2	1	1.044	51
76.006	2	1	1.076	-21
78.071	2	0	0.397	-22
84.003	2	1	0.778	23
86.068	2	1	1.069	1
92.016	2	0	1.689	2
94.082	2	0	0.561	-4
96.148	2	1	0.662	52
98.214	2	0	1.604	17
100.28	2	1	0.915	18
106.011	2	0	0	-19
108.06	2	0	1.48	13
114.008	2	1	0.665	-14
118.006	2	1	1.206	16
120.072	2	1	0.905	-50
122.138	2	1	0.655	-21
124.204	2	0	0.463	-22
130.002	2	1	0.864	24
132.068	2	1	1.777	-53
134.133	2	1	0.025	-5
136.199	2	0	0	-6
138.249	2	1	0.688	7
142.014	2	1	0.677	-9
148.012	2	1	0.808	10
150.077	2	1	0.815	-11
154.009	2	1	1.017	1
160.007	2	1	0.796	2
164.006	2	0	0	-4
166.055	2	0	0	-21
168.104	2	0	0.753	-22
172.003	2	1	0.769	24
174.068	2	1	1.006	17
176.134	2	0	0	18
178.183	2	0	0.193	-19
180.249	2	1	0.697	54
182.315	2	1	0.551	-9
188.013	2	1	1.252	10
190.079	2	1	0.683	-11
196.01	2	0	0	52
202.008	2	1	0.842	-5
206.006	2	0	0.988	-6
212.004	2	0	0	8
216.002	2	1	0.656	-21
218.085	2	0	0.645	-22
222.017	2	1	0.691	23
224.099	2	0	0.983	51
230.014	2	1	0.701	13
232.096	2	1	0.812	-14
234.179	2	0	1.59	15
236.261	2	0	0.758	-53
242.009	2	0	0	-9
246.008	2	1	0.723	10
248.09	2	1	0.641	-12
252.005	2	0	1.119	-49
256.004	2	1	0.773	-5
258.087	2	1	1.531	-6
264.018	2	0	1.487	7
268.016	2	0	0.698	1
270.099	2	1	1.217	2
274.014	2	1	0.7	-3
278.012	2	1	0.744	13
284.01	2	1	0.593	-14
286.092	2	1	0.727	16
292.007	2	1	0.62	-50
294.089	2	1	1.151	17
298.005	2	0	0	18
300.071	2	1	1.012	-20
