onset	duration	accuracy	response_time	image
12.016	2	0	0	54
18.014	2	1	1.011	-9
20.08	2	1	0.658	10
24.012	2	1	0.783	-12
26.078	2	1	0.732	-21
28.127	2	0	0.565	-22
30.193	2	1	0.57	23
32.259	2	0	0.968	51
34.325	2	1	0.853	17
38.006	2	1	0.907	18
44.004	2	1	1.469	-19
46.07	2	0	1.243	-9
48.136	2	1	0.922	10
52.018	2	1	0.695	-11
54.084	2	1	0.973	1
58.015	2	1	1.466	2
60.081	2	1	0.698	-4
62.147	2	1	0.841	-21
68.012	2	0	0.766	-22
70.078	2	1	0.677	24
76.009	2	1	0.784	-5
78.058	2	1	0.698	-6
84.006	2	1	0.822	8
88.004	2	1	0.933	-53
92.003	2	1	0.825	17
94.068	2	1	0.783	18
100.016	2	1	0.674	-20
104.015	2	0	1.222	-49
106.081	2	1	1.337	13
110.012	2	1	1.117	-14
112.078	2	1	1.109	15
116.01	2	1	0.775	-50
122.008	2	1	0.811	1
124.074	2	1	1.121	2
126.14	2	1	0.789	-3
128.206	2	1	0.726	52
134.003	2	1	0.831	-5
138.002	2	1	1.128	-6
144.016	2	1	0.963	7
148.015	2	0	0.957	13
150.081	2	1	1.099	-14
152.146	2	1	1.352	16
154.212	2	1	0.781	54
156.278	2	1	0.693	-5
158.327	2	1	0.633	-6
160.393	2	1	0.602	8
164.009	2	1	1.385	-9
166.075	2	1	0.711	10
172.006	2	1	0.733	-12
178.003	2	1	0.71	1
182.002	2	1	1.159	2
188.016	2	1	1.065	-4
192.015	2	1	0.693	-21
194.081	2	0	0.771	-22
198.012	2	0	1.007	23
200.078	2	1	1.275	17
202.127	2	1	0.749	18
204.193	2	1	0.543	-20
208.009	2	0	0.865	-53
210.074	2	1	0.704	-5
214.006	2	1	0.781	-6
216.072	2	1	0.827	7
220.004	2	0	1.469	-49
222.087	2	1	0.964	13
226.002	2	1	1.679	-14
232.016	2	1	1.124	15
238.014	2	1	0.695	-50
240.096	2	0	0	-9
242.162	2	1	1.296	10
248.01	2	1	0.711	-11
250.093	2	1	0.701	52
256.007	2	1	0.653	-21
262.005	2	0	0.652	-22
266.003	2	1	0.822	24
268.086	2	0	1.118	51
270.168	2	1	0.937	1
272.234	2	1	0.664	2
278.015	2	1	0.738	-3
280.098	2	1	0.697	13
282.18	2	1	0.98	-14
288.012	2	1	0.712	16
294.009	2	1	0.667	17
298.008	2	1	1.203	18
300.09	2	1	0.679	-19
