onset	duration	accuracy	response_time	image
12.014	2	0	0	-21
18.012	2	0	0.799	-22
22.011	2	1	0.824	24
26.009	2	0	1.016	51
28.075	2	1	0.863	13
34.006	2	1	1.63	-14
36.072	2	1	0.715	15
38.138	2	1	0.618	-50
44.002	2	1	0.641	17
50.017	2	1	0.665	18
52.083	2	1	0.655	-19
54.148	2	1	1.143	-5
56.214	2	1	0.723	-6
62.012	2	1	0.768	7
64.061	2	1	1.095	-9
66.127	2	0	0	10
72.008	2	1	0.643	-11
76.007	2	1	0.579	-21
78.073	2	0	0.448	-22
82.004	2	1	0.734	23
86.003	2	1	1.313	-5
88.069	2	0	1.02	-6
94.017	2	1	0.979	8
100.014	2	0	0	-53
102.064	2	1	0.619	1
104.113	2	1	0.753	2
106.179	2	1	0.566	-4
108.244	2	1	0.734	-49
114.009	2	1	0.817	17
116.075	2	1	0.759	18
118.141	2	1	0.654	-20
120.207	2	1	0.629	52
126.004	2	1	1.159	13
128.054	2	1	0.871	-14
130.12	2	1	1.074	16
132.185	2	1	0.721	54
134.251	2	0	0.59	-9
136.317	2	1	0.589	10
142.015	2	0	1.242	-12
144.081	2	0	0.488	1
148.013	2	1	1.054	2
150.079	2	1	1.389	-3
152.144	2	1	1.035	13
158.009	2	0	1.192	-14
162.007	2	1	1.036	15
164.073	2	1	0.907	51
166.139	2	1	0.713	-21
172.004	2	0	0.662	-22
174.07	2	1	0.877	24
178.001	2	0	0	-9
180.067	2	1	0.121	10
184.016	2	1	0.923	-11
186.082	2	0	0	52
192.013	2	1	0.725	-5
194.079	2	0	0.923	-6
198.011	2	1	0.706	7
200.076	2	0	1.006	17
202.142	2	0	0	18
206.007	2	1	0.666	-20
212.005	2	1	0.583	1
216.004	2	1	1.423	2
222.001	2	0	0	-3
226.016	2	1	0.595	-50
230.015	2	0	0.803	-9
232.097	2	1	0.635	10
236.013	2	1	0.797	-12
240.011	2	1	0.894	13
242.094	2	1	0.765	-14
246.009	2	1	0.843	16
248.091	2	1	0.991	54
254.006	2	1	0.659	17
260.004	2	1	1.304	18
264.002	2	1	0.767	-19
266.085	2	0	0.752	-49
272.016	2	1	0.633	-21
274.098	2	0	0.783	-22
276.181	2	1	0.965	23
278.263	2	1	1.717	1
280.346	2	1	0.736	2
286.01	2	1	0.96	-4
290.009	2	1	1.082	-53
296.007	2	1	0.829	-5
298.089	2	0	0	-6
302.004	2	0	0.04	8
