onset	duration	accuracy	response_time	image
12.006	2	0	0.008	-5
18.004	2	1	1.103	-6
20.07	2	1	1.147	7
22.136	2	0	0.818	13
24.202	2	1	1.039	-14
30.016	2	1	1.315	15
32.082	2	1	0.857	1
36.014	2	1	1.326	2
42.012	2	1	0.961	-4
46.01	2	1	0.802	-50
48.076	2	0	1.032	-9
52.008	2	1	1.139	10
58.006	2	0	1.291	-12
64.003	2	1	1.296	17
68.018	2	1	1.072	18
74.016	2	1	0.761	-20
80.014	2	1	1.206	1
82.08	2	0	1.194	2
88.011	2	1	0.785	-3
94.009	2	1	0.723	52
100.006	2	1	1.123	-21
106.004	2	0	1.67	-22
108.07	2	1	1.324	24
114.018	2	1	0.671	-9
116.083	2	1	0.661	10
122.015	2	0	1.325	-11
126.013	2	0	1.092	-49
130.012	2	0	1.286	-5
132.077	2	1	1.115	-6
134.143	2	1	0.773	8
136.209	2	1	0.737	54
138.275	2	0	1.176	17
140.341	2	1	0.94	18
146.005	2	1	1.237	-19
152.003	2	1	1.007	51
154.069	2	1	0.735	-21
158.018	2	0	0.827	-22
160.084	2	1	0.793	23
166.015	2	1	0.973	-53
168.08	2	1	0.985	13
170.146	2	1	1.054	-14
176.011	2	1	1.016	16
178.077	2	1	0.765	-9
180.143	2	1	0.59	10
182.208	2	1	1.027	-11
188.006	2	1	1.261	-5
190.072	2	1	1.386	-6
194.004	2	1	0.654	8
200.002	2	1	0.746	-21
204.017	2	0	0.922	-22
206.083	2	1	0.785	23
210.015	2	0	1.218	51
214.013	2	1	0.783	1
218.012	2	1	1.049	2
220.094	2	1	0.726	-4
222.16	2	1	0.796	17
226.008	2	1	0.876	18
228.074	2	1	0.703	-20
230.14	2	0	0.862	-49
232.206	2	0	1.018	-5
238.004	2	1	0.774	-6
242.002	2	1	0.782	7
244.085	2	1	0.623	54
246.167	2	1	0.635	-21
252.015	2	0	0.986	-22
254.098	2	1	0.834	24
258.013	2	1	0.852	1
260.096	2	1	0.562	2
262.178	2	1	0.658	-3
266.01	2	1	0.823	-50
270.008	2	1	0.736	13
272.091	2	1	0.8	-14
276.006	2	1	1.318	15
278.089	2	1	1.04	-53
280.171	2	0	0.983	-9
284.003	2	1	0.638	10
286.086	2	1	0.907	-12
288.168	2	0	0.699	52
292.017	2	1	0.881	17
294.099	2	1	0.616	18
296.182	2	1	0.827	-19
298.264	2	1	0.964	13
300.347	2	1	1.201	-14
304.012	2	1	1.573	16
