onset	duration	accuracy	response_time	image
12.015	2	0	0	54
16.014	2	0	0.844	17
18.08	2	1	0.755	18
20.146	2	1	0.682	-19
22.211	2	1	0.849	13
24.277	2	1	0.709	-14
30.009	2	1	0.976	15
32.074	2	1	0.568	-21
38.006	2	0	1.198	-22
40.071	2	1	0.634	23
42.137	2	1	0.706	-53
44.203	2	1	0.865	-5
50.018	2	1	0.833	-6
54.016	2	1	0.681	7
56.082	2	1	0.687	52
62.013	2	1	1.18	-9
64.079	2	1	0.602	10
66.145	2	1	0.811	-11
68.211	2	0	1.103	-49
74.008	2	1	0.819	-21
78.007	2	0	1.413	-22
80.073	2	1	0.634	24
84.005	2	1	0.863	-50
86.071	2	1	0.738	17
92.002	2	1	0.712	18
94.068	2	1	0.599	-20
98.016	2	1	0.786	51
100.082	2	1	0.746	1
106.013	2	1	0.703	2
110.012	2	1	0.68	-3
116.009	2	1	0.81	-5
118.075	2	0	1.233	-6
122.007	2	1	0.605	8
126.005	2	1	1.031	-9
132.003	2	1	0.697	10
134.069	2	1	0.812	-12
138.018	2	1	0.729	13
142.016	2	1	1.028	-14
148.014	2	1	0.812	16
152.012	2	1	1.102	1
154.078	2	1	0.764	2
158.01	2	1	0.864	-4
164.008	2	1	0.723	13
166.074	2	1	0.673	-14
168.139	2	1	1.166	15
174.004	2	0	0.822	-53
178.002	2	0	1.097	-9
184.017	2	1	0.704	10
188.015	2	1	0.738	-12
190.081	2	1	0.785	52
194.013	2	1	0.764	1
196.062	2	1	0.756	2
198.128	2	1	0.738	-4
200.194	2	1	0.873	-5
202.26	2	1	1.079	-6
204.326	2	1	0.599	8
206.392	2	1	0.882	-49
208.457	2	1	0.563	17
210.523	2	1	1.014	18
214.005	2	1	0.71	-19
216.071	2	1	0.738	1
222.002	2	1	0.646	2
224.085	2	1	0.629	-3
226.167	2	1	0.955	-50
232.015	2	1	0.658	13
236.014	2	1	1.147	-14
238.096	2	1	0.626	16
240.179	2	1	0.655	-21
244.011	2	0	0.857	-22
246.093	2	1	1.092	24
248.176	2	1	0.674	54
252.008	2	1	0.781	-5
258.005	2	1	1.092	-6
260.088	2	1	0.586	7
266.002	2	1	0.72	51
268.085	2	1	0.725	17
274.016	2	1	0.676	18
278.014	2	1	0.803	-20
284.012	2	1	0.671	-21
290.01	2	0	0.792	-22
292.092	2	1	0.559	23
294.158	2	1	0.867	-9
296.241	2	1	0.504	10
300.006	2	1	0.643	-11
