onset	duration	accuracy	response_time	image
12.015	2	0	0	-9
16.014	2	1	1.035	10
18.079	2	1	0.716	-12
20.145	2	1	1.017	13
22.211	2	1	0.695	-14
24.26	2	1	1.04	15
28.009	2	0	1.136	51
30.075	2	1	1.031	-5
36.006	2	1	0.878	-6
40.005	2	1	0.677	8
46.002	2	0	1.625	-53
50.017	2	1	0.634	-21
52.083	2	0	0.703	-22
56.015	2	1	0.643	23
60.013	2	1	0.627	-50
66.011	2	0	0.814	1
72.009	2	1	0.85	2
74.075	2	1	0.734	-3
80.006	2	1	0.829	54
82.072	2	0	0.644	17
88.003	2	0	0.726	18
90.069	2	1	0.764	-19
92.135	2	1	0.716	-49
98.016	2	1	1.251	-9
104.014	2	1	0.573	10
106.079	2	1	0.644	-11
108.145	2	1	0.858	-5
110.211	2	0	0.593	-6
114.01	2	0	0	7
116.059	2	1	1.728	1
118.125	2	1	0.024	2
120.191	2	0	0.024	-4
124.006	2	1	0.676	52
130.004	2	0	0.984	13
136.001	2	1	0.704	-14
138.067	2	1	0.582	16
144.015	2	1	0.668	-21
146.081	2	0	0.827	-22
150.013	2	1	1.877	24
154.011	2	1	1.206	17
156.077	2	1	0.724	18
158.143	2	1	0.644	-20
160.192	2	1	1.002	13
162.258	2	1	0.953	-14
166.007	2	1	0.749	15
172.004	2	1	0.646	54
178.002	2	0	1.136	17
180.068	2	1	0.718	18
184.017	2	1	0.867	-20
186.082	2	1	1.194	52
190.014	2	1	0.964	-21
192.08	2	0	0	-22
198.011	2	0	1.128	23
202.01	2	1	0.715	-9
208.007	2	0	0	10
210.057	2	1	0.761	-11
212.123	2	1	0.769	17
218.004	2	1	1.022	18
222.002	2	1	0.831	-19
224.068	2	1	0.696	-21
226.134	2	0	0.556	-22
232.015	2	1	1.188	24
234.081	2	1	0.562	51
236.147	2	1	0.664	-9
240.012	2	0	1.168	10
242.094	2	1	0.773	-12
244.177	2	1	1.001	-53
246.26	2	0	1.423	-5
248.342	2	1	1.484	-6
250.425	2	1	0.738	7
254.007	2	1	1.372	1
260.004	2	0	0.821	2
264.003	2	1	0.777	-3
266.085	2	0	0	13
272.016	2	1	0.628	-14
276.015	2	1	0.946	16
278.097	2	1	0.675	-50
284.012	2	1	0.797	-5
290.01	2	1	0.912	-6
292.092	2	1	0.599	8
294.175	2	1	0.861	-49
296.257	2	0	0	1
298.323	2	0	0	2
302.005	2	1	0.813	-4
