onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
1.281	0.001	1282	Stimulus	S 11
3.511	0.001	3512	Stimulus	S 31
5.674	0.001	5675	Stimulus	S 61
6.684	0.001	6685	Stimulus	S 81
9.063	0.001	9064	Stimulus	S  1
10.62	0.001	10621	Stimulus	S 11
11.423	0.001	11424	Stimulus	S 21
12.512	0.001	12513	Stimulus	S 31
13.064	0.001	13065	Stimulus	S 31
13.675	0.001	13676	Stimulus	S 31
15.868	0.001	15869	Stimulus	S 21
16.276	0.001	16277	Stimulus	S 61
17.287	0.001	17288	Stimulus	S 81
34.945	0.001	34946	Stimulus	S  1
37.776	0.001	37777	Stimulus	S 11
38.799	0.001	38800	Stimulus	S 31
39.649	0.001	39650	Stimulus	S 21
41.264	0.001	41265	Stimulus	S 31
42.177	0.001	42178	Stimulus	S 21
42.737	0.001	42738	Stimulus	S 21
43.422	0.001	43423	Stimulus	S 21
44.29	0.001	44291	Stimulus	S 31
44.819	0.001	44820	Stimulus	S 21
45.464	0.001	45465	Stimulus	S 31
45.908	0.001	45909	Stimulus	S 31
46.441	0.001	46442	Stimulus	S 21
47.091	0.001	47092	Stimulus	S 21
47.631	0.001	47632	Stimulus	S 31
48.116	0.001	48117	Stimulus	S 31
48.714	0.001	48715	Stimulus	S 21
49.534	0.001	49535	Stimulus	S 21
49.875	0.001	49876	Stimulus	S 31
50.113	0.001	50114	Stimulus	S 31
50.329	0.001	50330	Stimulus	S 31
50.923	0.001	50924	Stimulus	S 31
51.522	0.001	51523	Stimulus	S 21
52.053	0.001	52054	Stimulus	S 21
52.685	0.001	52686	Stimulus	S 21
53.095	0.001	53096	Stimulus	S 31
53.616	0.001	53617	Stimulus	S 31
53.857	0.001	53858	Stimulus	S 31
54.23	0.001	54231	Stimulus	S 21
54.808	0.001	54809	Stimulus	S 21
55.355	0.001	55356	Stimulus	S 31
55.999	0.001	56000	Stimulus	S 21
56.513	0.001	56514	Stimulus	S 31
57.053	0.001	57054	Stimulus	S 31
57.93	0.001	57931	Stimulus	S 21
58.379	0.001	58380	Stimulus	S 31
58.775	0.001	58776	Stimulus	S 31
59.324	0.001	59325	Stimulus	S 31
60.229	0.001	60230	Stimulus	S 21
60.724	0.001	60725	Stimulus	S 31
61.197	0.001	61198	Stimulus	S 21
61.776	0.001	61777	Stimulus	S 21
62.29	0.001	62291	Stimulus	S 31
62.738	0.001	62739	Stimulus	S 31
63.312	0.001	63313	Stimulus	S 31
63.737	0.001	63738	Stimulus	S 21
64.205	0.001	64206	Stimulus	S 21
64.825	0.001	64826	Stimulus	S 21
65.385	0.001	65386	Stimulus	S 31
65.866	0.001	65867	Stimulus	S 31
66.467	0.001	66468	Stimulus	S 31
66.873	0.001	66874	Stimulus	S 21
67.361	0.001	67362	Stimulus	S 21
67.997	0.001	67998	Stimulus	S 21
68.272	0.001	68273	Stimulus	S 31
68.528	0.001	68529	Stimulus	S 31
68.98	0.001	68981	Stimulus	S 31
69.702	0.001	69703	Stimulus	S 31
70.152	0.001	70153	Stimulus	S 21
70.747	0.001	70748	Stimulus	S 21
71.161	0.001	71162	Stimulus	S 31
71.618	0.001	71619	Stimulus	S 31
72.114	0.001	72115	Stimulus	S 21
72.595	0.001	72596	Stimulus	S 21
73.012	0.001	73013	Stimulus	S 31
73.362	0.001	73363	Stimulus	S 31
73.922	0.001	73923	Stimulus	S 21
74.397	0.001	74398	Stimulus	S 31
74.922	0.001	74923	Stimulus	S 31
75.565	0.001	75566	Stimulus	S 31
75.903	0.001	75904	Stimulus	S 21
76.423	0.001	76424	Stimulus	S 21
76.735	0.001	76736	Stimulus	S 21
77.259	0.001	77260	Stimulus	S 21
77.608	0.001	77609	Stimulus	S 31
77.828	0.001	77829	Stimulus	S 31
78.081	0.001	78082	Stimulus	S 31
78.714	0.001	78715	Stimulus	S 21
79.298	0.001	79299	Stimulus	S 21
79.753	0.001	79754	Stimulus	S 31
80.365	0.001	80366	Stimulus	S 31
80.855	0.001	80856	Stimulus	S 21
81.461	0.001	81462	Stimulus	S 21
81.824	0.001	81825	Stimulus	S 31
82.066	0.001	82067	Stimulus	S 31
82.655	0.001	82656	Stimulus	S 31
83.203	0.001	83204	Stimulus	S 31
83.62	0.001	83621	Stimulus	S 21
84.187	0.001	84188	Stimulus	S 21
84.526	0.001	84527	Stimulus	S 21
84.878	0.001	84879	Stimulus	S 21
85.255	0.001	85256	Stimulus	S 31
85.496	0.001	85497	Stimulus	S 31
85.789	0.001	85790	Stimulus	S 31
85.998	0.001	85999	Stimulus	S 31
86.263	0.001	86264	Stimulus	S 31
86.719	0.001	86720	Stimulus	S 31
87.185	0.001	87186	Stimulus	S 21
87.571	0.001	87572	Stimulus	S 21
87.834	0.001	87835	Stimulus	S 21
88.141	0.001	88142	Stimulus	S 21
88.787	0.001	88788	Stimulus	S 21
89.455	0.001	89456	Stimulus	S 21
89.568	0.001	89569	Stimulus	S 31
89.817	0.001	89818	Stimulus	S 31
90.129	0.001	90130	Stimulus	S 31
90.729	0.001	90730	Stimulus	S 31
91.468	0.001	91469	Stimulus	S 31
91.785	0.001	91786	Stimulus	S 21
92.282	0.001	92283	Stimulus	S 21
92.781	0.001	92782	Stimulus	S 21
93.109	0.001	93110	Stimulus	S 21
93.36	0.001	93361	Stimulus	S 21
93.901	0.001	93902	Stimulus	S 21
94.421	0.001	94422	Stimulus	S 31
94.61	0.001	94611	Stimulus	S 31
95.071	0.001	95072	Stimulus	S 31
95.354	0.001	95355	Stimulus	S 31
95.733	0.001	95734	Stimulus	S 21
96.271	0.001	96272	Stimulus	S 21
96.627	0.001	96628	Stimulus	S 21
97.147	0.001	97148	Stimulus	S 31
97.364	0.001	97365	Stimulus	S 31
97.85	0.001	97851	Stimulus	S 71
98.899	0.001	98900	Stimulus	S 81
100.959	0.001	100960	Stimulus	S  1
106.68	0.001	106681	Stimulus	S 11
107.452	0.001	107453	Stimulus	S 21
108.023	0.001	108024	Stimulus	S 31
108.587	0.001	108588	Stimulus	S 31
108.992	0.001	108993	Stimulus	S 21
109.45	0.001	109451	Stimulus	S 21
110.219	0.001	110220	Stimulus	S 21
110.519	0.001	110520	Stimulus	S 31
111.306	0.001	111307	Stimulus	S 31
111.539	0.001	111540	Stimulus	S 31
111.716	0.001	111717	Stimulus	S 31
112.342	0.001	112343	Stimulus	S 31
113.148	0.001	113149	Stimulus	S 21
114.065	0.001	114066	Stimulus	S 31
114.736	0.001	114737	Stimulus	S 21
115.612	0.001	115613	Stimulus	S 31
116.164	0.001	116165	Stimulus	S 21
117.377	0.001	117378	Stimulus	S 31
117.844	0.001	117845	Stimulus	S 21
118.421	0.001	118422	Stimulus	S 21
119.073	0.001	119074	Stimulus	S 31
120.748	0.001	120749	Stimulus	S 31
121.184	0.001	121185	Stimulus	S 21
121.827	0.001	121828	Stimulus	S 21
122.269	0.001	122270	Stimulus	S 21
123.289	0.001	123290	Stimulus	S 31
123.61	0.001	123611	Stimulus	S 31
124.138	0.001	124139	Stimulus	S 21
124.806	0.001	124807	Stimulus	S 21
125.427	0.001	125428	Stimulus	S 31
126.047	0.001	126048	Stimulus	S 21
126.688	0.001	126689	Stimulus	S 31
127.435	0.001	127436	Stimulus	S 21
130.04	0.001	130041	Stimulus	S 21
130.608	0.001	130609	Stimulus	S 31
131.767	0.001	131768	Stimulus	S 31
132.551	0.001	132552	Stimulus	S 21
133.042	0.001	133043	Stimulus	S 21
134.716	0.001	134717	Stimulus	S 31
135.404	0.001	135405	Stimulus	S 21
137.328	0.001	137329	Stimulus	S 21
139.019	0.001	139020	Stimulus	S 31
140.235	0.001	140236	Stimulus	S 31
142.221	0.001	142222	Stimulus	S 31
144.502	0.001	144503	Stimulus	S 21
145.798	0.001	145799	Stimulus	S 21
147.789	0.001	147790	Stimulus	S 31
149.305	0.001	149306	Stimulus	S 21
151.042	0.001	151043	Stimulus	S 21
152.802	0.001	152803	Stimulus	S 31
154.929	0.001	154930	Stimulus	S 21
157.314	0.001	157315	Stimulus	S 31
158.095	0.001	158096	Stimulus	S 31
159.629	0.001	159630	Stimulus	S 21
160.03	0.001	160031	Stimulus	S 21
160.342	0.001	160343	Stimulus	S 21
161.057	0.001	161058	Stimulus	S 21
161.623	0.001	161624	Stimulus	S 21
162.927	0.001	162928	Stimulus	S 31
163.388	0.001	163389	Stimulus	S 31
163.588	0.001	163589	Stimulus	S 31
164.327	0.001	164328	Stimulus	S 31
164.864	0.001	164865	Stimulus	S 21
165.395	0.001	165396	Stimulus	S 21
165.692	0.001	165693	Stimulus	S 21
166.466	0.001	166467	Stimulus	S 21
166.752	0.001	166753	Stimulus	S 71
167.76	0.001	167761	Stimulus	S 81
218.054	0.001	218055	Stimulus	S  4
219.784	0.001	219785	Stimulus	S 14
