onset	duration	Event	Cue
0	10	Rest	Yellow
10	18	Grip	Blue
28	60	Rest	Yellow
88	18	Grip	Blue
106	60	Rest	Yellow
166	18	Grip	Blue
184	60	Rest	Yellow
244	18	Grip	Blue
262	60	Rest	Yellow
322	18	Grip	Blue
340	60	Rest	Yellow
