onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
42.002	2.8023	2	1	2	1	0	1	1	1	1	1
43.8521	2.8023	2	1	2	1	0	1	1	1	2	2
46.4771	2.8023	2	1	2	1	0	1	1	1	3	3
49.103	2.8023	2	1	1	2	0	2	1	1	4	4
51.7275	2.8023	2	1	1	2	0	1	1	1	5	5
54.353	2.8023	2	1	1	2	0	1	1	1	6	6
56.978	2.8023	2	1	1	2	0	1	1	1	7	7
59.6035	2.8023	2	1	2	1	0	1	1	1	8	8
62.229	2.8023	2	1	2	1	0	1	1	1	9	9
64.854	2.8023	2	1	1	2	0	2	1	1	10	10
67.4795	2.8023	2	1	2	1	0	1	1	1	11	11
70.8975	2.8023	1	1	1	2	12	1	1	1	12	12
73.522	2.8023	1	1	2	1	7	1	1	1	13	13
76.147	2.8023	1	1	2	1	19	2	1	1	14	14
78.7725	2.8023	1	1	2	1	9	1	1	1	15	15
81.3979	2.8023	1	1	1	2	12	1	1	1	16	16
84.0229	2.8023	1	1	1	2	10	1	1	1	17	17
86.6484	2.8023	1	1	2	1	9	1	1	1	18	18
89.2739	2.8023	1	1	1	2	10	1	1	1	19	19
91.8989	2.8023	1	1	2	1	21	2	1	1	20	20
94.5244	2.8023	1	1	1	2	10	1	1	1	21	21
97.1499	2.8023	1	1	1	2	12	1	1	1	22	22
99.0171	2.8023	2	1	1	2	0	1	1	1	23	23
101.6421	2.8023	2	1	1	2	0	1	1	1	24	24
104.2671	2.8023	2	1	1	2	0	1	1	1	25	25
106.8926	2.8023	2	1	2	1	0	1	1	1	26	26
109.5181	2.8023	2	1	1	2	0	1	1	1	27	27
112.1431	2.8023	2	1	1	2	0	1	1	1	28	28
114.7686	2.8023	2	1	2	1	0	1	1	1	29	29
117.3936	2.8023	2	1	1	2	0	1	1	1	30	30
120.019	2.8023	2	1	1	2	0	1	1	1	31	31
122.6445	2.8023	2	1	1	2	0	2	1	1	32	32
126.0615	2.8023	1	1	2	1	9	1	1	1	33	33
128.687	2.8023	1	1	1	2	12	1	1	1	34	34
131.312	2.8023	1	1	1	2	12	1	1	1	35	35
133.938	2.8023	1	1	2	1	8	1	1	1	36	36
136.6797	2.8023	1	1	2	1	8	1	1	1	37	37
139.3047	2.8023	1	1	1	2	12	1	1	1	38	38
141.9302	2.8023	1	1	1	2	10	1	1	1	39	39
144.5557	2.8023	1	1	2	1	7	1	1	1	40	40
147.1807	2.8023	1	1	2	1	9	1	1	1	41	41
155.3652	2.8023	2	2	2	2	0	1	1	2	42	1
157.2153	2.8023	2	2	2	2	0	1	1	2	43	2
159.8408	2.8023	2	2	2	2	0	1	1	2	44	3
162.4658	2.8023	2	2	1	1	0	1	1	2	45	4
165.0913	2.8023	2	2	2	2	0	1	1	2	46	5
167.7163	2.8023	2	2	1	1	0	1	1	2	47	6
170.3418	2.8023	2	2	1	1	0	2	1	2	48	7
172.9673	2.8023	2	2	1	1	0	1	1	2	49	8
175.5923	2.8023	2	2	2	2	0	1	1	2	50	9
178.2178	2.8023	2	2	1	1	0	1	1	2	51	10
181.6348	2.8023	1	2	1	1	4	1	1	2	52	11
184.2603	2.8023	1	2	2	2	2	1	1	2	53	12
186.8857	2.8023	1	2	2	2	1	1	1	2	54	13
189.5107	2.8023	1	2	1	1	6	1	1	2	55	14
192.1362	2.8023	1	2	1	1	17	2	1	2	56	15
194.7617	2.8023	1	2	1	1	6	1	1	2	57	16
197.3867	2.8023	1	2	1	1	5	1	1	2	58	17
200.0122	2.8023	1	2	2	2	2	1	1	2	59	18
202.6377	2.8023	1	2	1	1	5	1	1	2	60	19
205.2627	2.8023	1	2	1	1	4	1	1	2	61	20
207.0962	2.8023	2	2	1	1	0	1	1	2	62	21
209.7217	2.8023	2	2	1	1	0	1	1	2	63	22
212.3467	2.8023	2	2	1	1	0	2	1	2	64	23
214.9722	2.8023	2	2	1	1	0	1	1	2	65	24
217.5977	2.8023	2	2	2	2	0	1	1	2	66	25
220.2227	2.8023	2	2	1	1	0	1	1	2	67	26
222.8481	2.8023	2	2	1	1	0	1	1	2	68	27
225.4736	2.8023	2	2	2	2	0	1	1	2	69	28
228.0986	2.8023	2	2	2	2	0	2	1	2	70	29
230.7241	2.8023	2	2	2	2	0	1	1	2	71	30
233.3496	2.8023	2	2	2	2	0	1	1	2	72	31
236.7666	2.8023	1	2	1	1	4	1	1	2	73	32
239.3921	2.8023	1	2	2	2	1	1	1	2	74	33
242.0171	2.8023	1	2	2	2	3	1	1	2	75	34
244.6426	2.8023	1	2	1	1	6	1	1	2	76	35
247.2681	2.8023	1	2	1	1	17	2	1	2	77	36
249.8936	2.8023	1	2	2	2	3	1	1	2	78	37
252.5186	2.8023	1	2	2	2	1	1	1	2	79	38
255.144	2.8023	1	2	1	1	4	1	1	2	80	39
257.769	2.8023	1	2	2	2	2	1	1	2	81	40
260.3945	2.8023	1	2	2	2	3	1	1	2	82	41
268.2539	2.8023	2	1	1	2	0	1	1	3	83	1
270.104	2.8023	2	1	2	1	0	1	1	3	84	2
272.729	2.8023	2	1	2	1	0	1	1	3	85	3
275.3545	2.8023	2	1	1	2	0	1	1	3	86	4
277.98	2.8023	2	1	2	1	0	1	1	3	87	5
280.605	2.8023	2	1	1	2	0	1	1	3	88	6
283.2305	2.8023	2	1	1	2	0	1	1	3	89	7
285.856	2.8023	2	1	2	1	0	1	1	3	90	8
288.481	2.8023	2	1	1	2	0	1	1	3	91	9
291.8984	2.8023	1	1	2	1	7	1	1	3	92	10
294.5234	2.8023	1	1	2	1	7	1	1	3	93	11
297.1489	2.8023	1	1	2	1	8	1	1	3	94	12
299.7744	2.8023	1	1	1	2	11	1	1	3	95	13
302.3994	2.8023	1	1	2	1	8	1	1	3	96	14
305.0249	2.8023	1	1	2	1	20	2	1	3	97	15
307.6504	2.8023	1	1	2	1	9	1	1	3	98	16
310.2759	2.8023	1	1	1	2	11	1	1	3	99	17
312.9009	2.8023	1	1	1	2	10	1	1	3	100	18
315.5264	2.8023	1	1	2	1	8	1	1	3	101	19
317.3594	2.8023	2	1	2	1	0	1	1	3	102	20
319.9849	2.8023	2	1	2	1	0	1	1	3	103	21
322.6104	2.8023	2	1	1	2	0	1	1	3	104	22
325.2354	2.8023	2	1	1	2	0	1	1	3	105	23
327.8608	2.8023	2	1	2	1	0	1	1	3	106	24
330.4863	2.8023	2	1	2	1	0	1	1	3	107	25
333.1113	2.8023	2	1	1	2	0	1	1	3	108	26
335.7368	2.8023	2	1	2	1	0	1	1	3	109	27
338.3623	2.8023	2	1	1	2	0	2	1	3	110	28
340.9873	2.8023	2	1	2	1	0	1	1	3	111	29
344.4048	2.8023	1	1	1	2	11	1	1	3	112	30
347.0298	2.8023	1	1	2	1	8	1	1	3	113	31
349.6553	2.8023	1	1	2	1	9	1	1	3	114	32
352.2808	2.8023	1	1	2	1	7	1	1	3	115	33
354.9058	2.8023	1	1	1	2	10	1	1	3	116	34
357.5317	2.8023	1	1	1	2	11	1	1	3	117	35
360.1567	2.8023	1	1	2	1	7	1	1	3	118	36
362.7817	2.8023	1	1	1	2	11	1	1	3	119	37
365.4072	2.8023	1	1	1	2	11	1	1	3	120	38
373.0996	2.8023	2	2	2	2	0	1	1	4	121	1
374.9497	2.8023	2	2	2	2	0	1	1	4	122	2
377.5752	2.8023	2	2	1	1	0	1	1	4	123	3
380.2007	2.8023	2	2	2	2	0	1	1	4	124	4
382.8257	2.8023	2	2	2	2	0	1	1	4	125	5
385.4512	2.8023	2	2	2	2	0	1	1	4	126	6
388.0767	2.8023	2	2	1	1	0	1	1	4	127	7
390.7017	2.8023	2	2	1	1	0	1	1	4	128	8
393.3271	2.8023	2	2	2	2	0	1	1	4	129	9
396.7441	2.8023	1	2	2	2	2	1	1	4	130	10
399.3696	2.8023	1	2	1	1	4	1	1	4	131	11
401.9951	2.8023	1	2	1	1	5	1	1	4	132	12
404.6201	2.8023	1	2	2	2	3	1	1	4	133	13
407.2456	2.8023	1	2	1	1	5	1	1	4	134	14
409.8706	2.8023	1	2	2	2	2	1	1	4	135	15
412.4966	2.8023	1	2	1	1	18	2	1	4	136	16
415.1216	2.8023	1	2	1	1	6	1	1	4	137	17
417.7466	2.8023	1	2	1	1	5	1	1	4	138	18
420.3721	2.8023	1	2	1	1	6	1	1	4	139	19
422.2056	2.8023	2	2	1	1	0	1	1	4	140	20
424.8311	2.8023	2	2	1	1	0	1	1	4	141	21
427.4561	2.8023	2	2	1	1	0	1	1	4	142	22
430.0815	2.8023	2	2	2	2	0	1	1	4	143	23
432.707	2.8023	2	2	2	2	0	2	1	4	144	24
435.332	2.8023	2	2	2	2	0	1	1	4	145	25
437.9575	2.8023	2	2	1	1	0	1	1	4	146	26
440.583	2.8023	2	2	2	2	0	1	1	4	147	27
443.208	2.8023	2	2	1	1	0	2	1	4	148	28
445.8335	2.8023	2	2	1	1	0	1	1	4	149	29
448.4585	2.8023	2	2	1	1	0	1	1	4	150	30
451.876	2.8023	1	2	2	2	2	1	1	4	151	31
454.501	2.8023	1	2	2	2	1	1	1	4	152	32
457.1265	2.8023	1	2	2	2	3	1	1	4	153	33
459.752	2.8023	1	2	1	1	4	1	1	4	154	34
462.377	2.8023	1	2	2	2	15	2	1	4	155	35
465.0024	2.8023	1	2	1	1	6	1	1	4	156	36
467.6279	2.8023	1	2	1	1	5	1	1	4	157	37
470.2529	2.8023	1	2	2	2	1	1	1	4	158	38
472.8784	2.8023	1	2	2	2	1	1	1	4	159	39
475.5039	2.8023	1	2	2	2	3	1	1	4	160	40
485.6885	2.8023	1	2	2	2	3	1	2	1	1	1
488.314	2.8023	1	2	2	2	1	1	2	1	2	2
490.939	2.8023	1	2	1	1	5	1	2	1	3	3
493.564	2.8023	1	2	1	1	5	1	2	1	4	4
496.1895	2.8023	1	2	2	2	1	1	2	1	5	5
498.8149	2.8023	1	2	2	2	2	1	2	1	6	6
501.4404	2.8023	1	2	1	1	6	1	2	1	7	7
504.0654	2.8023	1	2	2	2	2	1	2	1	8	8
506.6909	2.8023	1	2	2	2	3	1	2	1	9	9
508.5244	2.8023	2	2	2	2	0	1	2	1	10	10
511.1494	2.8023	2	2	2	2	0	1	2	1	11	11
513.7749	2.8023	2	2	2	2	0	2	2	1	12	12
516.4004	2.8023	2	2	1	1	0	1	2	1	13	13
519.0254	2.8023	2	2	2	2	0	1	2	1	14	14
521.6509	2.8023	2	2	1	1	0	1	2	1	15	15
524.2764	2.8023	2	2	1	1	0	2	2	1	16	16
526.9014	2.8023	2	2	1	1	0	1	2	1	17	17
529.5269	2.8023	2	2	1	1	0	1	2	1	18	18
532.1523	2.8023	2	2	2	2	0	1	2	1	19	19
534.7773	2.8023	2	2	2	2	0	1	2	1	20	20
538.1943	2.8023	1	2	2	2	2	1	2	1	21	21
540.8198	2.8023	1	2	1	1	6	1	2	1	22	22
543.4453	2.8023	1	2	2	2	1	1	2	1	23	23
546.0708	2.8023	1	2	2	2	3	1	2	1	24	24
548.6958	2.8023	1	2	1	1	18	2	2	1	25	25
551.3213	2.8023	1	2	1	1	6	1	2	1	26	26
553.9463	2.8023	1	2	1	1	4	1	2	1	27	27
556.5718	2.8023	1	2	2	2	2	1	2	1	28	28
559.1973	2.8023	1	2	2	2	13	2	2	1	29	29
561.8223	2.8023	1	2	1	1	4	1	2	1	30	30
564.4478	2.8023	1	2	2	2	3	1	2	1	31	31
566.2813	2.8023	2	2	1	1	0	1	2	1	32	32
568.9067	2.8023	2	2	2	2	0	2	2	1	33	33
571.5317	2.8023	2	2	2	2	0	1	2	1	34	34
574.1572	2.8023	2	2	1	1	0	1	2	1	35	35
576.7827	2.8023	2	2	1	1	0	1	2	1	36	36
579.4077	2.8023	2	2	2	2	0	1	2	1	37	37
582.0332	2.8023	2	2	2	2	0	1	2	1	38	38
584.6587	2.8023	2	2	2	2	0	2	2	1	39	39
587.2837	2.8023	2	2	2	2	0	1	2	1	40	40
589.9092	2.8023	2	2	1	1	0	1	2	1	41	41
592.5347	2.8023	2	2	1	1	0	1	2	1	42	42
602.5024	2.8023	1	1	2	1	7	1	2	2	43	1
605.1279	2.8023	1	1	2	1	9	1	2	2	44	2
607.7529	2.8023	1	1	1	2	10	1	2	2	45	3
610.3784	2.8023	1	1	1	2	12	1	2	2	46	4
613.0034	2.8023	1	1	2	1	8	1	2	2	47	5
615.6289	2.8023	1	1	2	1	9	1	2	2	48	6
618.2544	2.8023	1	1	2	1	7	1	2	2	49	7
620.8794	2.8023	1	1	1	2	10	1	2	2	50	8
623.5049	2.8023	1	1	2	1	9	1	2	2	51	9
626.1304	2.8023	1	1	2	1	19	2	2	2	52	10
627.9639	2.8023	2	1	2	1	0	1	2	2	53	11
630.5889	2.8023	2	1	2	1	0	1	2	2	54	12
633.2144	2.8023	2	1	1	2	0	1	2	2	55	13
635.8398	2.8023	2	1	1	2	0	1	2	2	56	14
638.4648	2.8023	2	1	2	1	0	1	2	2	57	15
641.0903	2.8023	2	1	2	1	0	1	2	2	58	16
643.7158	2.8023	2	1	2	1	0	1	2	2	59	17
646.3408	2.8023	2	1	1	2	0	1	2	2	60	18
648.9663	2.8023	2	1	2	1	0	2	2	2	61	19
651.5913	2.8023	2	1	1	2	0	1	2	2	62	20
655.0088	2.8023	1	1	1	2	10	1	2	2	63	21
657.6338	2.8023	1	1	1	2	11	1	2	2	64	22
660.2593	2.8023	1	1	2	1	8	1	2	2	65	23
662.8848	2.8023	1	1	1	2	24	2	2	2	66	24
665.5098	2.8023	1	1	1	2	11	1	2	2	67	25
668.1353	2.8023	1	1	2	1	7	1	2	2	68	26
670.7607	2.8023	1	1	2	1	9	1	2	2	69	27
673.3857	2.8023	1	1	2	1	9	1	2	2	70	28
676.0112	2.8023	1	1	1	2	11	1	2	2	71	29
678.6367	2.8023	1	1	2	1	7	1	2	2	72	30
680.4702	2.8023	2	1	2	1	0	1	2	2	73	31
683.0952	2.8023	2	1	2	1	0	1	2	2	74	32
685.7207	2.8023	2	1	1	2	0	1	2	2	75	33
688.3462	2.8023	2	1	1	2	0	1	2	2	76	34
690.9712	2.8023	2	1	1	2	0	1	2	2	77	35
693.5967	2.8023	2	1	2	1	0	1	2	2	78	36
696.2222	2.8023	2	1	2	1	0	2	2	2	79	37
698.8472	2.8023	2	1	2	1	0	1	2	2	80	38
701.4727	2.8023	2	1	2	1	0	1	2	2	81	39
704.0977	2.8023	2	1	1	2	0	1	2	2	82	40
713.5659	2.8023	1	2	1	1	4	1	2	3	83	1
716.1909	2.8023	1	2	1	1	6	1	2	3	84	2
718.8164	2.8023	1	2	2	2	1	1	2	3	85	3
721.4414	2.8023	1	2	2	2	2	1	2	3	86	4
724.0669	2.8023	1	2	2	2	15	2	2	3	87	5
726.6929	2.8023	1	2	2	2	1	1	2	3	88	6
729.3179	2.8023	1	2	1	1	5	1	2	3	89	7
731.9429	2.8023	1	2	2	2	3	1	2	3	90	8
734.5684	2.8023	1	2	1	1	5	1	2	3	91	9
737.1934	2.8023	1	2	1	1	4	1	2	3	92	10
739.0269	2.8023	2	2	1	1	0	1	2	3	93	11
741.6523	2.8023	2	2	1	1	0	1	2	3	94	12
744.2778	2.8023	2	2	1	1	0	1	2	3	95	13
746.9028	2.8023	2	2	2	2	0	1	2	3	96	14
749.5283	2.8023	2	2	2	2	0	1	2	3	97	15
752.1538	2.8023	2	2	2	2	0	1	2	3	98	16
754.7788	2.8023	2	2	1	1	0	1	2	3	99	17
757.4043	2.8023	2	2	2	2	0	1	2	3	100	18
